Year,Units,Տարիք,Գտնվելու վայրը,Value
2015,%,,,29.1
2016,%,,,29.4
2017,%,,,28.7
2018,%,,,25.8
2019,%,,,26.2
2020,%,,,30.8
2015,%,,քաղաք,32.4
2016,%,,քաղաք,32.2
2017,%,,քաղաք,29.5
2018,%,,քաղաք,27.3
2019,%,,քաղաք,27.6
2020,%,,քաղաք,29.2
2020,%,30-44,,30.0
2015,%,,գյուղ,17.3
2016,%,,գյուղ,19.9
2017,%,,գյուղ,25.6
2018,%,,գյուղ,21.6
2019,%,,գյուղ,22.0
2020,%,,գյուղ,34.6
2020,%,45-59,,37.1
2021,%,,,32.4
2018,%,30-44,,29.3
2018,%,45-59,,19.6
2018,%,60-74,,18.8
2018,%,15-64,,25.9
2019,%,30-44,,31.1
2019,%,45-59,,26.6
2019,%,60-74,,14.8
2019,%,15-64,,27.3
2020,%,60-74,,23.2
2020,%,15-64,,31.2
2021,%,,քաղաք,30.5
2021,%,,գյուղ,37.3
2021,%,30-44,,26.4
2021,%,45-59,,41.1
2021,%,60-74,,30.2
2021,%,15-64,,32.1
2022,%,30-44,,23.1
2022,%,45-59,,38.8
2022,%,60-74,,22.6
2022,%,15-64,,28.8
2022,%,,քաղաք,31.3
2022,%,,գյուղ,19.3
2022,%,,,29.1
2023,%,,,33.0
2023,%,30-44,,30.5
2023,%,45-59,,41.5
2023,%,60-74,,20.7
2023,%,15-64,,34.1
2023,%,,քաղաք,34.1
2023,%,,գյուղ,28.7
