Year,Units,Պրոքսի E,Value
2015,Number of applicable proxies,Not available,3
2016,Number of applicable proxies,Not available,3
2017,Number of applicable proxies,Not available,3
2018,Number of applicable proxies,Not available,3
2019,Number of applicable proxies,Not available,3
2020,Number of applicable proxies,Not available,3
2021,Number of applicable proxies,Not available,3
2022,Number of applicable proxies,Not available,3
2023,Number of applicable proxies,Not available,3
2024,Number of applicable proxies,Not available,3
