Year,Տեսակ,Units,Value
2015,ALL RENEWABLES,Մլն. ԱՄՆ դոլլար,24.72
2015,BIOENERGY,Մլն. ԱՄՆ դոլլար,0.0
2015,GEOTHERMAL ENERGY,Մլն. ԱՄՆ դոլլար,9.75
2015,HYDROPOWER,Մլն. ԱՄՆ դոլլար,14.87
2015,MULTIPLE RENEWABLES,Մլն. ԱՄՆ դոլլար,0.1
2015,SOLAR ENERGY,Մլն. ԱՄՆ դոլլար,0.0
2016,ALL RENEWABLES,Մլն. ԱՄՆ դոլլար,126.49
2016,BIOENERGY,Մլն. ԱՄՆ դոլլար,0.0
2016,GEOTHERMAL ENERGY,Մլն. ԱՄՆ դոլլար,0.0
2016,HYDROPOWER,Մլն. ԱՄՆ դոլլար,73.16
2016,MULTIPLE RENEWABLES,Մլն. ԱՄՆ դոլլար,3.4
2016,SOLAR ENERGY,Մլն. ԱՄՆ դոլլար,49.93
2017,ALL RENEWABLES,Մլն. ԱՄՆ դոլլար,1.63
2017,BIOENERGY,Մլն. ԱՄՆ դոլլար,0.09
2017,GEOTHERMAL ENERGY,Մլն. ԱՄՆ դոլլար,0.0
2017,HYDROPOWER,Մլն. ԱՄՆ դոլլար,1.46
2017,MULTIPLE RENEWABLES,Մլն. ԱՄՆ դոլլար,0.08
2017,SOLAR ENERGY,Մլն. ԱՄՆ դոլլար,0.0
2018,ALL RENEWABLES,Մլն. ԱՄՆ դոլլար,29.37
2018,BIOENERGY,Մլն. ԱՄՆ դոլլար,0.0
2018,GEOTHERMAL ENERGY,Մլն. ԱՄՆ դոլլար,0.0
2018,HYDROPOWER,Մլն. ԱՄՆ դոլլար,0.0
2018,MULTIPLE RENEWABLES,Մլն. ԱՄՆ դոլլար,0.05
2018,SOLAR ENERGY,Մլն. ԱՄՆ դոլլար,29.32
2019,ALL RENEWABLES,Մլն. ԱՄՆ դոլլար,56.91
2019,BIOENERGY,Մլն. ԱՄՆ դոլլար,0.0
2019,GEOTHERMAL ENERGY,Մլն. ԱՄՆ դոլլար,0.0
2019,HYDROPOWER,Մլն. ԱՄՆ դոլլար,0.0
2019,MULTIPLE RENEWABLES,Մլն. ԱՄՆ դոլլար,56.88
2019,SOLAR ENERGY,Մլն. ԱՄՆ դոլլար,0.03
2020,ALL RENEWABLES,Մլն. ԱՄՆ դոլլար,26.98
2020,BIOENERGY,Մլն. ԱՄՆ դոլլար,0.0
2020,GEOTHERMAL ENERGY,Մլն. ԱՄՆ դոլլար,0.0
2020,HYDROPOWER,Մլն. ԱՄՆ դոլլար,0.0
2020,MULTIPLE RENEWABLES,Մլն. ԱՄՆ դոլլար,16.97
2020,SOLAR ENERGY,Մլն. ԱՄՆ դոլլար,10.01
2021,ALL RENEWABLES,Մլն. ԱՄՆ դոլլար,63.99
2021,BIOENERGY,Մլն. ԱՄՆ դոլլար,0.0
2021,GEOTHERMAL ENERGY,Մլն. ԱՄՆ դոլլար,0.0
2021,HYDROPOWER,Մլն. ԱՄՆ դոլլար,0.0
2021,MULTIPLE RENEWABLES,Մլն. ԱՄՆ դոլլար,63.85
2021,SOLAR ENERGY,Մլն. ԱՄՆ դոլլար,0.14
2022,ALL RENEWABLES,Մլն. ԱՄՆ դոլլար,1.13
2022,BIOENERGY,Մլն. ԱՄՆ դոլլար,0.0
2022,GEOTHERMAL ENERGY,Մլն. ԱՄՆ դոլլար,0.0
2022,HYDROPOWER,Մլն. ԱՄՆ դոլլար,0.0
2022,MULTIPLE RENEWABLES,Մլն. ԱՄՆ դոլլար,0.12
2022,SOLAR ENERGY,Մլն. ԱՄՆ դոլլար,1.01
2023,ALL RENEWABLES,Մլն. ԱՄՆ դոլլար,20.58
2023,BIOENERGY,Մլն. ԱՄՆ դոլլար,0.0
2023,GEOTHERMAL ENERGY,Մլն. ԱՄՆ դոլլար,0.0
2023,HYDROPOWER,Մլն. ԱՄՆ դոլլար,0.0
2023,MULTIPLE RENEWABLES,Մլն. ԱՄՆ դոլլար,19.59
2023,SOLAR ENERGY,Մլն. ԱՄՆ դոլլար,0.99
