Year,Units,Տարիք,Սեռ,Գտնվելու վայրը,Կատեգորիա,Value
2015,%,,,,,17.9
2016,%,,,,,18.1
2017,%,,,,,18.3
2018,%,,,,,21.2
2019,%,,,,,18.1
2020,%,,,,,15.3
2020,%,,,,,15.7
2015,%,,տղամարդ,,,23.1
2016,%,,տղամարդ,,,22.0
2017,%,,տղամարդ,,,21.9
2018,%,,տղամարդ,,,26.9
2019,%,,տղամարդ,,,23.2
2020,%,,տղամարդ,,,21.3
2015,%,,կին,,,11.2
2016,%,,կին,,,13.3
2017,%,,կին,,,13.9
2018,%,,կին,,,14.1
2019,%,,կին,,,12.1
2020,%,,կին,,,9.1
2020,%,15-29,,,,12.1
2018,%,15-64,,,,21.5
2018,%,15-29,,,,21.2
2018,%,30-44,,,,22.6
2018,%,45-59,,,,22.7
2018,%,60-74,,,,12.7
2019,%,15-64,,,,18.4
2019,%,15-29,,,,17.3
2019,%,30-44,,,,18.8
2019,%,45-59,,,,19.3
2019,%,60-74,,,,15.0
2020,%,30-44,,,,17.7
2020,%,45-59,,,,16.3
2020,%,60-74,,,,11.2
2021,%,,,,,14.3
2021,%,,տղամարդ,,,20.3
2021,%,,կին,,,7.9
2021,%,15-64,,,,14.7
2021,%,15-29,,,,12.3
2021,%,30-44,,,,15.7
2021,%,45-59,,,,15.8
2021,%,60-74,,,,10.7
2020,%,15-64,,,,15.7
2018,%,,,քաղաք,,19.1
2019,%,,,քաղաք,,17.0
2020,%,,,քաղաք,,15.8
2021,%,,,քաղաք,,13.8
2018,%,,,գյուղ,,26.0
2019,%,,,գյուղ,,21.5
2020,%,,,գյուղ,,14.2
2021,%,,,գյուղ,,15.7
2018,%,,,,հաշմանդամություն ունեցող,19.3
2019,%,,,,հաշմանդամություն ունեցող,21.9
2020,%,,,,հաշմանդամություն ունեցող,19.1
2021,%,,,,հաշմանդամություն ունեցող,16.2
2022,%,,,,,17.3
2022,%,,տղամարդ,,,23.0
2022,%,,կին,,,10.2
2022,%,,,քաղաք,,15.2
2022,%,,,գյուղ,,23.6
2022,%,15-64,,,,17.5
2022,%,15-29,,,,14.8
2022,%,30-44,,,,17.9
2022,%,45-59,,,,19.6
2022,%,60-74,,,,14.2
2022,%,,,,հաշմանդամություն ունեցող,18.7
2023,%,,տղամարդ,,,25.3
2023,%,,կին,,,9.9
2023,%,,,քաղաք,,17.3
2023,%,,,գյուղ,,22.1
2023,%,15-64,,,,18.5
2023,%,15-29,,,,18.0
2023,%,30-44,,,,20.5
2023,%,45-59,,,,17.5
2023,%,60-74,,,,12.1
2023,%,,,,հաշմանդամություն ունեցող,21.4
2023,%,,,,,18.0
