Year,Series,Units,Value
2015,Առևտրի համար օգնության համար նախատեսված պաշտոնական հոսքերի (հատկացումների) ընդհանուր ծավալը՝ ըստ ստացող երկրների,մլն հաստատուն 2024 թվականի ԱՄՆ դոլար,240.726
2016,Առևտրի համար օգնության համար նախատեսված պաշտոնական հոսքերի (հատկացումների) ընդհանուր ծավալը՝ ըստ ստացող երկրների,մլն հաստատուն 2024 թվականի ԱՄՆ դոլար,198.952
2017,Առևտրի համար օգնության համար նախատեսված պաշտոնական հոսքերի (հատկացումների) ընդհանուր ծավալը՝ ըստ ստացող երկրների,մլն հաստատուն 2024 թվականի ԱՄՆ դոլար,237.62
2018,Առևտրի համար օգնության համար նախատեսված պաշտոնական հոսքերի (հատկացումների) ընդհանուր ծավալը՝ ըստ ստացող երկրների,մլն հաստատուն 2024 թվականի ԱՄՆ դոլար,115.731
2019,Առևտրի համար օգնության համար նախատեսված պաշտոնական հոսքերի (հատկացումների) ընդհանուր ծավալը՝ ըստ ստացող երկրների,մլն հաստատուն 2024 թվականի ԱՄՆ դոլար,84.4021
2020,Առևտրի համար օգնության համար նախատեսված պաշտոնական հոսքերի (հատկացումների) ընդհանուր ծավալը՝ ըստ ստացող երկրների,մլն հաստատուն 2024 թվականի ԱՄՆ դոլար,102.029
2021,Առևտրի համար օգնության համար նախատեսված պաշտոնական հոսքերի (հատկացումների) ընդհանուր ծավալը՝ ըստ ստացող երկրների,մլն հաստատուն 2024 թվականի ԱՄՆ դոլար,194.551
2022,Առևտրի համար օգնության համար նախատեսված պաշտոնական հոսքերի (հատկացումների) ընդհանուր ծավալը՝ ըստ ստացող երկրների,մլն հաստատուն 2024 թվականի ԱՄՆ դոլար,254.316
2023,Առևտրի համար օգնության համար նախատեսված պաշտոնական հոսքերի (հատկացումների) ընդհանուր ծավալը՝ ըստ ստացող երկրների,մլն հաստատուն 2024 թվականի ԱՄՆ դոլար,97.0976
2024,Առևտրի համար օգնության համար նախատեսված պաշտոնական հոսքերի (հատկացումների) ընդհանուր ծավալը՝ ըստ ստացող երկրների,մլն հաստատուն 2024 թվականի ԱՄՆ դոլար,61.1282
2015,"Առևտրի համար օգնության համար նախատեսված պաշտոնական հոսքերի (պարտավորությունների) ընդհանուր ծավալը, ըստ ստացող երկրների",մլն հաստատուն 2024 թվականի ԱՄՆ դոլար,300.996
2016,"Առևտրի համար օգնության համար նախատեսված պաշտոնական հոսքերի (պարտավորությունների) ընդհանուր ծավալը, ըստ ստացող երկրների",մլն հաստատուն 2024 թվականի ԱՄՆ դոլար,265.243
2017,"Առևտրի համար օգնության համար նախատեսված պաշտոնական հոսքերի (պարտավորությունների) ընդհանուր ծավալը, ըստ ստացող երկրների",մլն հաստատուն 2024 թվականի ԱՄՆ դոլար,157.939
2018,"Առևտրի համար օգնության համար նախատեսված պաշտոնական հոսքերի (պարտավորությունների) ընդհանուր ծավալը, ըստ ստացող երկրների",մլն հաստատուն 2024 թվականի ԱՄՆ դոլար,53.7545
2019,"Առևտրի համար օգնության համար նախատեսված պաշտոնական հոսքերի (պարտավորությունների) ընդհանուր ծավալը, ըստ ստացող երկրների",մլն հաստատուն 2024 թվականի ԱՄՆ դոլար,119.822
2020,"Առևտրի համար օգնության համար նախատեսված պաշտոնական հոսքերի (պարտավորությունների) ընդհանուր ծավալը, ըստ ստացող երկրների",մլն հաստատուն 2024 թվականի ԱՄՆ դոլար,124.756
2021,"Առևտրի համար օգնության համար նախատեսված պաշտոնական հոսքերի (պարտավորությունների) ընդհանուր ծավալը, ըստ ստացող երկրների",մլն հաստատուն 2024 թվականի ԱՄՆ դոլար,224.775
2022,"Առևտրի համար օգնության համար նախատեսված պաշտոնական հոսքերի (պարտավորությունների) ընդհանուր ծավալը, ըստ ստացող երկրների",մլն հաստատուն 2024 թվականի ԱՄՆ դոլար,42.628
2023,"Առևտրի համար օգնության համար նախատեսված պաշտոնական հոսքերի (պարտավորությունների) ընդհանուր ծավալը, ըստ ստացող երկրների",մլն հաստատուն 2024 թվականի ԱՄՆ դոլար,48.5641
2024,"Առևտրի համար օգնության համար նախատեսված պաշտոնական հոսքերի (պարտավորությունների) ընդհանուր ծավալը, ըստ ստացող երկրների",մլն հաստատուն 2024 թվականի ԱՄՆ դոլար,78.9039
