Year,Units,Տարիք,Սեռ,Տարածք,Value
2015,%,,ընդամենը,,7.9
2016,%,,ընդամենը,,8.3
2017,%,,ընդամենը,,9.1
2018,%,,ընդամենը,,9.9
2019,%,,ընդամենը,,10.5
2020,%,,ընդամենը,,10.1
2015,%,,արական,,9.4
2016,%,,արական,,10.0
2017,%,,արական,,10.9
2018,%,,արական,,10.5
2019,%,,արական,,11.3
2020,%,,արական,,10.4
2015,%,,իգական,,6.1
2016,%,,իգական,,6.4
2017,%,,իգական,,7.2
2018,%,,իգական,,9.2
2019,%,,իգական,,9.5
2020,%,,իգական,,9.7
2015,%,,,քաղաք,11.1
2016,%,,,քաղաք,12.0
2017,%,,,քաղաք,13.2
2018,%,,,քաղաք,13.5
2019,%,,,քաղաք,13.7
2020,%,,,քաղաք,13.4
2015,%,,,գյուղ,4.3
2016,%,,,գյուղ,4.3
2017,%,,,գյուղ,4.6
2018,%,,,գյուղ,6.0
2019,%,,,գյուղ,6.2
2020,%,,,գյուղ,5.6
