Year,Value,Units,Series
2015,0.283,%,Fossil-fuel subsidies (consumption and production) as a proportion of total GDP
2016,0.196,%,Fossil-fuel subsidies (consumption and production) as a proportion of total GDP
2017,0.184,%,Fossil-fuel subsidies (consumption and production) as a proportion of total GDP
2018,0.035,%,Fossil-fuel subsidies (consumption and production) as a proportion of total GDP
2019,0.032,%,Fossil-fuel subsidies (consumption and production) as a proportion of total GDP
2020,0.092,%,Fossil-fuel subsidies (consumption and production) as a proportion of total GDP
2015,0.032,billions of nominal USD,Fossil-fuel subsidies (consumption and production)
2016,0.022,billions of nominal USD,Fossil-fuel subsidies (consumption and production)
2017,0.022,billions of nominal USD,Fossil-fuel subsidies (consumption and production)
2018,0.004,billions of nominal USD,Fossil-fuel subsidies (consumption and production)
2019,0.004,billions of nominal USD,Fossil-fuel subsidies (consumption and production)
2020,0.012,billions of nominal USD,Fossil-fuel subsidies (consumption and production)
2015,10.8,անվանական ԱՄՆ դոլար,Fossil-fuel subsidies (consumption and production) per capita
2016,7.5,անվանական ԱՄՆ դոլար,Fossil-fuel subsidies (consumption and production) per capita
2017,7.6,անվանական ԱՄՆ դոլար,Fossil-fuel subsidies (consumption and production) per capita
2018,1.5,անվանական ԱՄՆ դոլար,Fossil-fuel subsidies (consumption and production) per capita
2019,1.5,անվանական ԱՄՆ դոլար,Fossil-fuel subsidies (consumption and production) per capita
2020,4.0,անվանական ԱՄՆ դոլար,Fossil-fuel subsidies (consumption and production) per capita
