Year,Value,Units
2015,1,"1=համապատասխանում է, 0=մասնակի է համապատասխանում"
2016,1,"1=համապատասխանում է, 0=մասնակի է համապատասխանում"
2017,1,"1=համապատասխանում է, 0=մասնակի է համապատասխանում"
2018,1,"1=համապատասխանում է, 0=մասնակի է համապատասխանում"
2015,1,"1=համապատասխանում է, 0=մասնակի է համապատասխանում"
2016,1,"1=համապատասխանում է, 0=մասնակի է համապատասխանում"
2017,1,"1=համապատասխանում է, 0=մասնակի է համապատասխանում"
2018,1,"1=համապատասխանում է, 0=մասնակի է համապատասխանում"
2019,1,"1=համապատասխանում է, 0=մասնակի է համապատասխանում"
2020,1,"1=համապատասխանում է, 0=մասնակի է համապատասխանում"
2021,1,"1=համապատասխանում է, 0=մասնակի է համապատասխանում"
2022,1,"1=համապատասխանում է, 0=մասնակի է համապատասխանում"
2023,1,"1=համապատասխանում է, 0=մասնակի է համապատասխանում"
2024,1,"1=համապատասխանում է, 0=մասնակի է համապատասխանում"
