Year,Value,Units,Series
2015,0.008967,%,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ապրանքային գլոբալ արտահանման մեջ
2016,0.011164,%,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ապրանքային գլոբալ արտահանման մեջ
2017,0.012659,%,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ապրանքային գլոբալ արտահանման մեջ
2018,0.01234,%,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ապրանքային գլոբալ արտահանման մեջ
2019,0.01389,%,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ապրանքային գլոբալ արտահանման մեջ
2020,0.014417,%,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ապրանքային գլոբալ արտահանման մեջ
2021,0.01356,%,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ապրանքային գլոբալ արտահանման մեջ
2022,0.021524,%,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ապրանքային գլոբալ արտահանման մեջ
2023,0.035804,%,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ապրանքային գլոբալ արտահանման մեջ
2024,0.053533,%,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ապրանքային գլոբալ արտահանման մեջ
2015,0.029839,%,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ծառայությունների գլոբալ արտահանման մեջ
2016,0.032441,%,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ծառայությունների գլոբալ արտահանման մեջ
2017,0.035967,%,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ծառայությունների գլոբալ արտահանման մեջ
2018,0.03554,%,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ծառայությունների գլոբալ արտահանման մեջ
2019,0.038427,%,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ծառայությունների գլոբալ արտահանման մեջ
2020,0.02139,%,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ծառայությունների գլոբալ արտահանման մեջ
2021,0.027521,%,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ծառայությունների գլոբալ արտահանման մեջ
2022,0.059367,%,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ծառայությունների գլոբալ արտահանման մեջ
2023,0.070636,%,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ծառայությունների գլոբալ արտահանման մեջ
2024,0.064198,%,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ծառայությունների գլոբալ արտահանման մեջ
2015,0.019366,%,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ապրանքների գլոբալ ներմուծման մեջ
2016,0.020203,%,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ապրանքների գլոբալ ներմուծման մեջ
2017,0.023317,%,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ապրանքների գլոբալ ներմուծման մեջ
2018,0.025056,%,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ապրանքների գլոբալ ներմուծման մեջ
2019,0.028535,%,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ապրանքների գլոբալ ներմուծման մեջ
2020,0.025508,%,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ապրանքների գլոբալ ներմուծման մեջ
2021,0.023731,%,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ապրանքների գլոբալ ներմուծման մեջ
2022,0.034172,%,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ապրանքների գլոբալ ներմուծման մեջ
2023,0.052548,%,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ապրանքների գլոբալ ներմուծման մեջ
2024,0.068866,%,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ապրանքների գլոբալ ներմուծման մեջ
2015,0.032347,%,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ծառայությունների գլոբալ ներմուծման մեջ
2016,0.031994,%,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ծառայությունների գլոբալ ներմուծման մեջ
2017,0.034268,%,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ծառայությունների գլոբալ ներմուծման մեջ
2018,0.0371,%,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ծառայությունների գլոբալ ներմուծման մեջ
2019,0.04166,%,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ծառայությունների գլոբալ ներմուծման մեջ
2020,0.02004,%,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ծառայությունների գլոբալ ներմուծման մեջ
2021,0.023444,%,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ծառայությունների գլոբալ ներմուծման մեջ
2022,0.039539,%,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ծառայությունների գլոբալ ներմուծման մեջ
2023,0.045054,%,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ծառայությունների գլոբալ ներմուծման մեջ
2024,0.047621,%,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ծառայությունների գլոբալ ներմուծման մեջ
