Year,Value,Units,Series
2015,240.726,մլն հաստատուն 2024 թվականի ԱՄՆ դոլար,Առևտրի համար օգնության համար նախատեսված պաշտոնական հոսքերի (հատկացումների) ընդհանուր ծավալը՝ ըստ ստացող երկրների
2016,198.952,մլն հաստատուն 2024 թվականի ԱՄՆ դոլար,Առևտրի համար օգնության համար նախատեսված պաշտոնական հոսքերի (հատկացումների) ընդհանուր ծավալը՝ ըստ ստացող երկրների
2017,237.62,մլն հաստատուն 2024 թվականի ԱՄՆ դոլար,Առևտրի համար օգնության համար նախատեսված պաշտոնական հոսքերի (հատկացումների) ընդհանուր ծավալը՝ ըստ ստացող երկրների
2018,115.731,մլն հաստատուն 2024 թվականի ԱՄՆ դոլար,Առևտրի համար օգնության համար նախատեսված պաշտոնական հոսքերի (հատկացումների) ընդհանուր ծավալը՝ ըստ ստացող երկրների
2019,84.4021,մլն հաստատուն 2024 թվականի ԱՄՆ դոլար,Առևտրի համար օգնության համար նախատեսված պաշտոնական հոսքերի (հատկացումների) ընդհանուր ծավալը՝ ըստ ստացող երկրների
2020,102.029,մլն հաստատուն 2024 թվականի ԱՄՆ դոլար,Առևտրի համար օգնության համար նախատեսված պաշտոնական հոսքերի (հատկացումների) ընդհանուր ծավալը՝ ըստ ստացող երկրների
2021,194.551,մլն հաստատուն 2024 թվականի ԱՄՆ դոլար,Առևտրի համար օգնության համար նախատեսված պաշտոնական հոսքերի (հատկացումների) ընդհանուր ծավալը՝ ըստ ստացող երկրների
2022,254.316,մլն հաստատուն 2024 թվականի ԱՄՆ դոլար,Առևտրի համար օգնության համար նախատեսված պաշտոնական հոսքերի (հատկացումների) ընդհանուր ծավալը՝ ըստ ստացող երկրների
2023,97.0976,մլն հաստատուն 2024 թվականի ԱՄՆ դոլար,Առևտրի համար օգնության համար նախատեսված պաշտոնական հոսքերի (հատկացումների) ընդհանուր ծավալը՝ ըստ ստացող երկրների
2024,61.1282,մլն հաստատուն 2024 թվականի ԱՄՆ դոլար,Առևտրի համար օգնության համար նախատեսված պաշտոնական հոսքերի (հատկացումների) ընդհանուր ծավալը՝ ըստ ստացող երկրների
2015,300.996,մլն հաստատուն 2024 թվականի ԱՄՆ դոլար,"Առևտրի համար օգնության համար նախատեսված պաշտոնական հոսքերի (պարտավորությունների) ընդհանուր ծավալը, ըստ ստացող երկրների"
2016,265.243,մլն հաստատուն 2024 թվականի ԱՄՆ դոլար,"Առևտրի համար օգնության համար նախատեսված պաշտոնական հոսքերի (պարտավորությունների) ընդհանուր ծավալը, ըստ ստացող երկրների"
2017,157.939,մլն հաստատուն 2024 թվականի ԱՄՆ դոլար,"Առևտրի համար օգնության համար նախատեսված պաշտոնական հոսքերի (պարտավորությունների) ընդհանուր ծավալը, ըստ ստացող երկրների"
2018,53.7545,մլն հաստատուն 2024 թվականի ԱՄՆ դոլար,"Առևտրի համար օգնության համար նախատեսված պաշտոնական հոսքերի (պարտավորությունների) ընդհանուր ծավալը, ըստ ստացող երկրների"
2019,119.822,մլն հաստատուն 2024 թվականի ԱՄՆ դոլար,"Առևտրի համար օգնության համար նախատեսված պաշտոնական հոսքերի (պարտավորությունների) ընդհանուր ծավալը, ըստ ստացող երկրների"
2020,124.756,մլն հաստատուն 2024 թվականի ԱՄՆ դոլար,"Առևտրի համար օգնության համար նախատեսված պաշտոնական հոսքերի (պարտավորությունների) ընդհանուր ծավալը, ըստ ստացող երկրների"
2021,224.775,մլն հաստատուն 2024 թվականի ԱՄՆ դոլար,"Առևտրի համար օգնության համար նախատեսված պաշտոնական հոսքերի (պարտավորությունների) ընդհանուր ծավալը, ըստ ստացող երկրների"
2022,42.628,մլն հաստատուն 2024 թվականի ԱՄՆ դոլար,"Առևտրի համար օգնության համար նախատեսված պաշտոնական հոսքերի (պարտավորությունների) ընդհանուր ծավալը, ըստ ստացող երկրների"
2023,48.5641,մլն հաստատուն 2024 թվականի ԱՄՆ դոլար,"Առևտրի համար օգնության համար նախատեսված պաշտոնական հոսքերի (պարտավորությունների) ընդհանուր ծավալը, ըստ ստացող երկրների"
2024,78.9039,մլն հաստատուն 2024 թվականի ԱՄՆ դոլար,"Առևտրի համար օգնության համար նախատեսված պաշտոնական հոսքերի (պարտավորությունների) ընդհանուր ծավալը, ըստ ստացող երկրների"
