Year,Units,Пол,Категория,Возраст,Value
2015,%,,,,15.53
2016,%,,,,15.69
2017,%,,,,15.41
2018,%,,,,15.62
2019,%,,,,15.76
2020,%,,,,15.76
2015,%,мужчина,,,12.73
2016,%,мужчина,,,12.93
2017,%,мужчина,,,12.74
2018,%,мужчина,,,12.97
2019,%,мужчина,,,13.14
2020,%,мужчина,,,13.15
2015,%,женщина,,,18.09
2016,%,женщина,,,18.19
2017,%,женщина,,,17.82
2018,%,женщина,,,17.99
2019,%,женщина,,,18.11
2020,%,женщина,,,18.09
2015,%,,возрастные,,10.19
2016,%,,возрастные,,10.33
2017,%,,возрастные,,10.52
2018,%,,возрастные,,10.88
2019,%,,возрастные,,11.15
2020,%,,возрастные,,11.29
2015,%,мужчина,возрастные,,7.93
2016,%,мужчина,возрастные,,8.09
2017,%,мужчина,возрастные,,8.3
2018,%,мужчина,возрастные,,8.65
2019,%,мужчина,возрастные,,8.93
2020,%,мужчина,возрастные,,9.08
2015,%,женщина,возрастные,,12.25
2016,%,женщина,возрастные,,12.36
2017,%,женщина,возрастные,,12.53
2018,%,женщина,возрастные,,12.88
2019,%,женщина,возрастные,,13.14
2020,%,женщина,возрастные,,13.27
2015,%,,на льготных условиях,,0.09
2016,%,,на льготных условиях,,0.08
2017,%,,на льготных условиях,,0.08
2018,%,,на льготных условиях,,0.07
2019,%,,на льготных условиях,,0.06
2020,%,,на льготных условиях,,0.05
2015,%,мужчина,на льготных условиях,,0.14
2016,%,мужчина,на льготных условиях,,0.13
2017,%,мужчина,на льготных условиях,,0.12
2018,%,мужчина,на льготных условиях,,0.11
2019,%,мужчина,на льготных условиях,,0.09
2020,%,мужчина,на льготных условиях,,0.08
2015,%,женщина,на льготных условиях,,0.05
2016,%,женщина,на льготных условиях,,0.05
2017,%,женщина,на льготных условиях,,0.04
2018,%,женщина,на льготных условиях,,0.03
2019,%,женщина,на льготных условиях,,0.03
2020,%,женщина,на льготных условиях,,0.03
2015,%,,за выслугу лет,,0.04
2016,%,,за выслугу лет,,0.02
2017,%,,за выслугу лет,,0.02
2018,%,,за выслугу лет,,0.02
2019,%,,за выслугу лет,,0.02
2020,%,,за выслугу лет,,0.01
2015,%,мужчина,за выслугу лет,,0.04
2016,%,мужчина,за выслугу лет,,0.03
2017,%,мужчина,за выслугу лет,,0.03
2018,%,мужчина,за выслугу лет,,0.02
2019,%,мужчина,за выслугу лет,,0.02
2020,%,мужчина,за выслугу лет,,0.02
2015,%,женщина,за выслугу лет,,0.04
2016,%,женщина,за выслугу лет,,0.02
2017,%,женщина,за выслугу лет,,0.01
2018,%,женщина,за выслугу лет,,0.01
2019,%,женщина,за выслугу лет,,0.01
2020,%,женщина,за выслугу лет,,0.01
2015,%,,частичные,,0.5
2016,%,,частичные,,0.49
2017,%,,частичные,,0.47
2018,%,,частичные,,0.44
2019,%,,частичные,,0.41
2020,%,,частичные,,0.37
2015,%,мужчина,частичные,,0.11
2016,%,мужчина,частичные,,0.11
2017,%,мужчина,частичные,,0.1
2018,%,мужчина,частичные,,0.09
2019,%,мужчина,частичные,,0.09
2020,%,мужчина,частичные,,0.07
2015,%,женщина,частичные,,0.85
2016,%,женщина,частичные,,0.83
2017,%,женщина,частичные,,0.8
2018,%,женщина,частичные,,0.76
2019,%,женщина,частичные,,0.7
2020,%,женщина,частичные,,0.64
2015,%,,по инвалидности,,4.28
2016,%,,по инвалидности,,4.35
2017,%,,по инвалидности,,3.93
2018,%,,по инвалидности,,3.84
2019,%,,по инвалидности,,3.78
2020,%,,по инвалидности,,3.7
2015,%,мужчина,по инвалидности,,4.13
2016,%,мужчина,по инвалидности,,4.19
2017,%,мужчина,по инвалидности,,3.82
2018,%,мужчина,по инвалидности,,3.74
2019,%,мужчина,по инвалидности,,3.68
2020,%,мужчина,по инвалидности,,3.59
2015,%,женщина,по инвалидности,,4.41
2016,%,женщина,по инвалидности,,4.48
2017,%,женщина,по инвалидности,,4.02
