Year,Units,Пол,Возраст,Value
2015,человек,,,78
2016,человек,,,64
2017,человек,,,45
2018,человек,,,52
2019,человек,,,81
2020,человек,,,35
2015,человек,мужчина,,38
2016,человек,мужчина,,39
2017,человек,мужчина,,21
2018,человек,мужчина,,25
2019,человек,мужчина,,41
2020,человек,мужчина,,14
2015,человек,женщина,,40
2016,человек,женщина,,25
2017,человек,женщина,,24
2018,человек,женщина,,27
2019,человек,женщина,,40
2020,человек,женщина,,21
2015,человек,,до 1 года,11
2016,человек,,до 1 года,6
2017,человек,,до 1 года,2
2018,человек,,до 1 года,4
2019,человек,,до 1 года,7
2020,человек,,до 1 года,0
2015,человек,мужчина,до 1 года,6
2016,человек,мужчина,до 1 года,5
2017,человек,мужчина,до 1 года,0
2018,человек,мужчина,до 1 года,1
2019,человек,мужчина,до 1 года,4
2020,человек,мужчина,до 1 года,0
2015,человек,женщина,до 1 года,5
2016,человек,женщина,до 1 года,1
2017,человек,женщина,до 1 года,2
2018,человек,женщина,до 1 года,3
2019,человек,женщина,до 1 года,3
2020,человек,женщина,до 1 года,0
2015,человек,,1-6 лет,32
2016,человек,,1-6 лет,19
2017,человек,,1-6 лет,15
2018,человек,,1-6 лет,21
2019,человек,,1-6 лет,21
2020,человек,,1-6 лет,8
2015,человек,мужчина,1-6 лет,15
2016,человек,мужчина,1-6 лет,11
2017,человек,мужчина,1-6 лет,8
2018,человек,мужчина,1-6 лет,11
2019,человек,мужчина,1-6 лет,13
2020,человек,мужчина,1-6 лет,4
2015,человек,женщина,1-6 лет,17
2016,человек,женщина,1-6 лет,8
2017,человек,женщина,1-6 лет,7
2018,человек,женщина,1-6 лет,10
2019,человек,женщина,1-6 лет,8
2020,человек,женщина,1-6 лет,4
2015,человек,,7-9 лет,14
2016,человек,,7-9 лет,13
2017,человек,,7-9 лет,7
2018,человек,,7-9 лет,8
2019,человек,,7-9 лет,20
2020,человек,,7-9 лет,9
2015,человек,мужчина,7-9 лет,6
2016,человек,мужчина,7-9 лет,6
2017,человек,мужчина,7-9 лет,4
2018,человек,мужчина,7-9 лет,5
2019,человек,мужчина,7-9 лет,7
2020,человек,мужчина,7-9 лет,2
2015,человек,женщина,7-9 лет,8
2016,человек,женщина,7-9 лет,7
2017,человек,женщина,7-9 лет,3
2018,человек,женщина,7-9 лет,3
2019,человек,женщина,7-9 лет,13
2020,человек,женщина,7-9 лет,7
2015,человек,,10-15 лет,18
2016,человек,,10-15 лет,20
2017,человек,,10-15 лет,15
2018,человек,,10-15 лет,11
2019,человек,,10-15 лет,19
2020,человек,,10-15 лет,12
2015,человек,мужчина,10-15 лет,8
2016,человек,мужчина,10-15 лет,15
2017,человек,мужчина,10-15 лет,6
2018,человек,мужчина,10-15 лет,5
2019,человек,мужчина,10-15 лет,10
2020,человек,мужчина,10-15 лет,6
2015,человек,женщина,10-15 лет,10
2016,человек,женщина,10-15 лет,5
2017,человек,женщина,10-15 лет,9
2018,человек,женщина,10-15 лет,6
2019,человек,женщина,10-15 лет,9
2020,человек,женщина,10-15 лет,6
2015,человек,,16-17 лет,3
2016,человек,,16-17 лет,6
2017,человек,,16-17 лет,6
2018,человек,,16-17 лет,2
2019,человек,,16-17 лет,14
2020,человек,,16-17 лет,6
2015,человек,мужчина,16-17 лет,3
2016,человек,мужчина,16-17 лет,2
2017,человек,мужчина,16-17 лет,3
2018,человек,мужчина,16-17 лет,0
2019,человек,мужчина,16-17 лет,7
2020,человек,мужчина,16-17 лет,2
2015,человек,женщина,16-17 лет,0
2016,человек,женщина,16-17 лет,4
2017,человек,женщина,16-17 лет,3
2018,человек,женщина,16-17 лет,2
2019,человек,женщина,16-17 лет,7
2020,человек,женщина,16-17 лет,4
2021,человек,,,20
2021,человек,мужчина,,11
2021,человек,женщина,,9
2021,человек,,до 1 года,2
2021,человек,мужчина,до 1 года,0
2021,человек,женщина,до 1 года,2
2021,человек,,1-6 лет,11
2021,человек,мужчина,1-6 лет,3
2021,человек,женщина,1-6 лет,8
2021,человек,,7-9 лет,0
2021,человек,мужчина,7-9 лет,0
2021,человек,женщина,7-9 лет,0
2021,человек,,10-15 лет,5
2021,человек,мужчина,10-15 лет,0
2021,человек,женщина,10-15 лет,5
2021,человек,,16-17 лет,2
2021,человек,мужчина,16-17 лет,1
2021,человек,женщина,16-17 лет,1
2022,человек,,,49
2022,человек,мужчина,,23
2022,человек,женщина,,26
2022,человек,,до 1 года,3
2022,человек,мужчина,до 1 года,2
2022,человек,женщина,до 1 года,1
2022,человек,,1-6 лет,22
2022,человек,мужчина,1-6 лет,7
2022,человек,женщина,1-6 лет,15
2022,человек,,7-9 лет,7
2022,человек,мужчина,7-9 лет,5
2022,человек,женщина,7-9 лет,2
2022,человек,,10-15 лет,8
2022,человек,мужчина,10-15 лет,7
2022,человек,женщина,10-15 лет,1
2022,человек,,16-17 лет,9
2022,человек,мужчина,16-17 лет,2
2022,человек,женщина,16-17 лет,7
2023,человек,,,16
2023,человек,,,11
2023,человек,,,5
2023,человек,,до 1 года,2
2023,человек,,до 1 года,2
2023,человек,,до 1 года,0
2023,человек,,1-6 лет,4
2023,человек,,1-6 лет,3
2023,человек,,1-6 лет,1
2023,человек,,7-9 лет,0
2023,человек,,7-9 лет,0
2023,человек,,7-9 лет,0
2023,человек,,10-15 лет,6
2023,человек,,10-15 лет,4
2023,человек,,10-15 лет,2
2023,человек,,16-17 лет,4
2023,человек,,16-17 лет,2
2023,человек,,16-17 лет,2
2024,человек,,,29
2024,человек,boys,,18
2024,человек,girls,,11
2024,человек,,до 1 года,2
2024,человек,boys,до 1 года,1
2024,человек,girls,до 1 года,1
2024,человек,,1-6 лет,6
2024,человек,boys,1-6 лет,4
2024,человек,girls,1-6 лет,2
2024,человек,,7-9 лет,9
2024,человек,boys,7-9 лет,4
2024,человек,girls,7-9 лет,5
2024,человек,,10-15 лет,6
2024,человек,boys,10-15 лет,5
2024,человек,girls,10-15 лет,1
2024,человек,,16-17 лет,6
2024,человек,boys,16-17 лет,4
2024,человек,girls,16-17 лет,2
