Year,Units,Пол,Возраст,Value
2015,человек,,,96
2016,человек,,,75
2017,человек,,,56
2018,человек,,,48
2019,человек,,,19
2020,человек,,,33
2015,человек,мужчина,,50
2016,человек,мужчина,,37
2017,человек,мужчина,,27
2018,человек,мужчина,,22
2019,человек,мужчина,,10
2020,человек,мужчина,,17
2015,человек,женщина,,46
2016,человек,женщина,,38
2017,человек,женщина,,29
2018,человек,женщина,,26
2019,человек,женщина,,9
2020,человек,женщина,,16
2015,человек,,до 6 месяцов,1
2016,человек,,до 6 месяцов,1
2017,человек,,до 6 месяцов,3
2018,человек,,до 6 месяцов,1
2019,человек,,до 6 месяцов,0
2020,человек,,до 6 месяцов,0
2015,человек,мужчина,до 6 месяцов,0
2016,человек,мужчина,до 6 месяцов,0
2017,человек,мужчина,до 6 месяцов,2
2018,человек,мужчина,до 6 месяцов,0
2019,человек,мужчина,до 6 месяцов,0
2020,человек,мужчина,до 6 месяцов,0
2015,человек,женщина,до 6 месяцов,1
2016,человек,женщина,до 6 месяцов,1
2017,человек,женщина,до 6 месяцов,1
2018,человек,женщина,до 6 месяцов,1
2019,человек,женщина,до 6 месяцов,0
2020,человек,женщина,до 6 месяцов,0
2015,человек,,с 6 месяцев до 1 года,16
2016,человек,,с 6 месяцев до 1 года,11
2017,человек,,с 6 месяцев до 1 года,9
2018,человек,,с 6 месяцев до 1 года,7
2019,человек,,с 6 месяцев до 1 года,0
2020,человек,,с 6 месяцев до 1 года,3
2015,человек,мужчина,с 6 месяцев до 1 года,7
2016,человек,мужчина,с 6 месяцев до 1 года,5
2017,человек,мужчина,с 6 месяцев до 1 года,4
2018,человек,мужчина,с 6 месяцев до 1 года,4
2019,человек,мужчина,с 6 месяцев до 1 года,0
2020,человек,мужчина,с 6 месяцев до 1 года,2
2015,человек,женщина,с 6 месяцев до 1 года,9
2016,человек,женщина,с 6 месяцев до 1 года,6
2017,человек,женщина,с 6 месяцев до 1 года,5
2018,человек,женщина,с 6 месяцев до 1 года,3
2019,человек,женщина,с 6 месяцев до 1 года,0
2020,человек,женщина,с 6 месяцев до 1 года,1
2015,человек,,1-5 лет,56
2016,человек,,1-5 лет,41
2017,человек,,1-5 лет,30
2018,человек,,1-5 лет,27
2019,человек,,1-5 лет,12
2020,человек,,1-5 лет,21
2015,человек,мужчина,1-5 лет,27
