Year,тип права,Пол,Units,Value
2015,,,случай,94167
2016,,,случай,94748
2017,,,случай,103978
2018,,,случай,125524
2019,,,случай,158793
2020,,,случай,159189
2021,,,случай,200701
2022,,,случай,246958
2023,,,случай,233930
2024,,,случай,262616
2015,,мужчина,случай,70428
2016,,мужчина,случай,69362
2017,,мужчина,случай,75751
2018,,мужчина,случай,90719
2019,,мужчина,случай,115842
2020,,мужчина,случай,116904
2021,,мужчина,случай,141646
2022,,мужчина,случай,177406
2023,,мужчина,случай,158372
2024,,мужчина,случай,170599
2015,,женщина,случай,23738
2016,,женщина,случай,25385
2017,,женщина,случай,28226
2018,,женщина,случай,34805
2019,,женщина,случай,42951
2020,,женщина,случай,42285
2021,,женщина,случай,59055
2022,,женщина,случай,69548
2023,,женщина,случай,69548
2024,,женщина,случай,91991
2015,,нейтральный,случай,1
2016,,нейтральный,случай,1
2017,,нейтральный,случай,1
2018,,нейтральный,случай,0
2019,,нейтральный,случай,0
2020,,нейтральный,случай,0
2021,,нейтральный,случай,0
2022,,нейтральный,случай,2
2023,,нейтральный,случай,0
2024,,нейтральный,случай,26
2015,Собственность,мужчина,случай,36048
2015,Общая совместная собственность,мужчина,случай,11714
2015,Общая долевая собственность,мужчина,случай,18407
2015,Аренда,мужчина,случай,2065
2015,Поднаем,мужчина,случай,61
2015,Залог,мужчина,случай,283
2015,Права на застройку  земельного участка,мужчина,случай,583
2015,Безвозмездное пользование,мужчина,случай,59
2015,Пользование жилым помещением,мужчина,случай,5
2015,Сервитут,мужчина,случай,5
2015,Right of constructor or unauthorised buidlings,мужчина,случай,1091
2015,Использование,мужчина,случай,14
2015,Право покупки возводимого недвижимого имущества,мужчина,случай,93
2016,Собственность,мужчина,случай,34508
2016,Общая совместная собственность,мужчина,случай,11817
2016,Общая долевая собственность,мужчина,случай,18308
2016,Аренда,мужчина,случай,2333
2016,Поднаем,мужчина,случай,41
2016,Залог,мужчина,случай,262
2016,Права на застройку  земельного участка,мужчина,случай,570
2016,Безвозмездное пользование,мужчина,случай,79
2016,Сервитут,мужчина,случай,5
2016,Right of constructor or unauthorised buidlings,мужчина,случай,1037
2016,Право покупки возводимого недвижимого имущества,мужчина,случай,21
2016,Использование,мужчина,случай,380
2016,Пользование жилым помещением,мужчина,случай,1
2017,Собственность,мужчина,случай,38934
2017,Общая совместная собственность,мужчина,случай,11531
2017,Общая долевая собственность,мужчина,случай,19430
2017,Аренда,мужчина,случай,3211
2017,Поднаем,мужчина,случай,48
2017,Залог,мужчина,случай,247
2017,Права на застройку  земельного участка,мужчина,случай,598
2017,Безвозмездное пользование,мужчина,случай,66
2017,Сервитут,мужчина,случай,8
2017,Доверительное управление,мужчина,случай,2
2017,Right of constructor or unauthorised buidlings,мужчина,случай,1133
2017,Использование,мужчина,случай,9
2017,Право покупки возводимого недвижимого имущества,мужчина,случай,530
2017,Use of unauthorised,мужчина,случай,2
2017,Пользование жилым помещением,мужчина,случай,2
2018,Собственность,мужчина,случай,46585
2018,Общая совместная собственность,мужчина,случай,12801
2018,Общая долевая собственность,мужчина,случай,24446
2018,Аренда,мужчина,случай,2984
2018,Поднаем,мужчина,случай,58
2018,Залог,мужчина,случай,279
2018,Права на застройку  земельного участка,мужчина,случай,644
2018,Безвозмездное пользование,мужчина,случай,80
2018,Пользование жилым помещением,мужчина,случай,2
2018,Сервитут,мужчина,случай,8
2018,Доверительное управление,мужчина,случай,1
2018,Right of constructor or unauthorised buidlings,мужчина,случай,1682
2018,Использование,мужчина,случай,10
