Year,Units,Категория,Value
2018,%,,43.8
2019,%,,42.8
2020,%,,45.3
2018,%,образование,10.1
2019,%,образование,9.5
2020,%,образование,9.1
2018,%,здоровье,5.4
2019,%,здоровье,6.0
2020,%,здоровье,7.7
2018,%,социальная защита,28.3
2019,%,социальная защита,27.3
2020,%,социальная защита,28.5
2021,%,,47.0
2021,%,образование,9.0
2021,%,здоровье,7.8
2021,%,социальная защита,30.2
2022,%,,41.5
2022,%,образование,8.9
2022,%,здоровье,6.1
2022,%,социальная защита,26.5
2023,%,,41.0
2023,%,образование,8.8
2023,%,здоровье,5.4
2023,%,социальная защита,26.8
