Year,Series,Units,Тип продукта,Value
2015,"Доля тарифных позиций, применяемых к импорту с нулевым тарифом",%,AGR,82.12974
2015,"Доля тарифных позиций, применяемых к импорту с нулевым тарифом",%,ALP,74.38948
2015,"Доля тарифных позиций, применяемых к импорту с нулевым тарифом",%,ARM,100.0
2015,"Доля тарифных позиций, применяемых к импорту с нулевым тарифом",%,CLO,35.6044
2015,"Доля тарифных позиций, применяемых к импорту с нулевым тарифом",%,IND,80.70551
2015,"Доля тарифных позиций, применяемых к импорту с нулевым тарифом",%,TEX,64.0
2016,"Доля тарифных позиций, применяемых к импорту с нулевым тарифом",%,AGR,81.63265
2016,"Доля тарифных позиций, применяемых к импорту с нулевым тарифом",%,ALP,74.533
2016,"Доля тарифных позиций, применяемых к импорту с нулевым тарифом",%,ARM,100.0
2016,"Доля тарифных позиций, применяемых к импорту с нулевым тарифом",%,CLO,34.27332
2016,"Доля тарифных позиций, применяемых к импорту с нулевым тарифом",%,IND,81.69791
2016,"Доля тарифных позиций, применяемых к импорту с нулевым тарифом",%,TEX,61.11111
2017,"Доля тарифных позиций, применяемых к импорту с нулевым тарифом",%,AGR,81.25595
2017,"Доля тарифных позиций, применяемых к импорту с нулевым тарифом",%,ALP,75.83393
2017,"Доля тарифных позиций, применяемых к импорту с нулевым тарифом",%,CLO,48.30986
2017,"Доля тарифных позиций, применяемых к импорту с нулевым тарифом",%,IND,81.35667
2017,"Доля тарифных позиций, применяемых к импорту с нулевым тарифом",%,TEX,85.95041
2018,"Доля тарифных позиций, применяемых к импорту с нулевым тарифом",%,AGR,81.41087
2018,"Доля тарифных позиций, применяемых к импорту с нулевым тарифом",%,ALP,76.09008
2018,"Доля тарифных позиций, применяемых к импорту с нулевым тарифом",%,CLO,48.4507
2018,"Доля тарифных позиций, применяемых к импорту с нулевым тарифом",%,IND,81.56059
2018,"Доля тарифных позиций, применяемых к импорту с нулевым тарифом",%,TEX,88.42975
2019,"Доля тарифных позиций, применяемых к импорту с нулевым тарифом",%,AGR,79.68878
2019,"Доля тарифных позиций, применяемых к импорту с нулевым тарифом",%,ALP,78.88889
2019,"Доля тарифных позиций, применяемых к импорту с нулевым тарифом",%,CLO,52.88832
2019,"Доля тарифных позиций, применяемых к импорту с нулевым тарифом",%,IND,84.63259
2019,"Доля тарифных позиций, применяемых к импорту с нулевым тарифом",%,TEX,86.11111
2020,"Доля тарифных позиций, применяемых к импорту с нулевым тарифом",%,AGR,81.98559
2020,"Доля тарифных позиций, применяемых к импорту с нулевым тарифом",%,ALP,78.2982
2020,"Доля тарифных позиций, применяемых к импорту с нулевым тарифом",%,ARM,50.0
2020,"Доля тарифных позиций, применяемых к импорту с нулевым тарифом",%,CLO,51.51176
2020,"Доля тарифных позиций, применяемых к импорту с нулевым тарифом",%,IND,84.89286
2020,"Доля тарифных позиций, применяемых к импорту с нулевым тарифом",%,TEX,84.48276
2021,"Доля тарифных позиций, применяемых к импорту с нулевым тарифом",%,AGR,80.4631
2021,"Доля тарифных позиций, применяемых к импорту с нулевым тарифом",%,ALP,77.65479
2021,"Доля тарифных позиций, применяемых к импорту с нулевым тарифом",%,ARM,25.0
2021,"Доля тарифных позиций, применяемых к импорту с нулевым тарифом",%,CLO,47.36347
2021,"Доля тарифных позиций, применяемых к импорту с нулевым тарифом",%,IND,87.02511
2021,"Доля тарифных позиций, применяемых к импорту с нулевым тарифом",%,TEX,75.0
2022,"Доля тарифных позиций, применяемых к импорту с нулевым тарифом",%,AGR,71.28783
2022,"Доля тарифных позиций, применяемых к импорту с нулевым тарифом",%,ALP,67.90763
2022,"Доля тарифных позиций, применяемых к импорту с нулевым тарифом",%,ARM,50.0
2022,"Доля тарифных позиций, применяемых к импорту с нулевым тарифом",%,CLO,31.96108
2022,"Доля тарифных позиций, применяемых к импорту с нулевым тарифом",%,IND,78.80923
2022,"Доля тарифных позиций, применяемых к импорту с нулевым тарифом",%,TEX,61.99262
2023,"Доля тарифных позиций, применяемых к импорту с нулевым тарифом",%,AGR,72.79466
2023,"Доля тарифных позиций, применяемых к импорту с нулевым тарифом",%,ALP,65.95968
2023,"Доля тарифных позиций, применяемых к импорту с нулевым тарифом",%,ARM,100.0
2023,"Доля тарифных позиций, применяемых к импорту с нулевым тарифом",%,CLO,28.53087
2023,"Доля тарифных позиций, применяемых к импорту с нулевым тарифом",%,IND,76.39683
2023,"Доля тарифных позиций, применяемых к импорту с нулевым тарифом",%,TEX,54.05405
2024,"Доля тарифных позиций, применяемых к импорту с нулевым тарифом",%,AGR,73.12874
2024,"Доля тарифных позиций, применяемых к импорту с нулевым тарифом",%,ALP,66.67557
2024,"Доля тарифных позиций, применяемых к импорту с нулевым тарифом",%,ARM,100.0
2024,"Доля тарифных позиций, применяемых к импорту с нулевым тарифом",%,CLO,32.51089
2024,"Доля тарифных позиций, применяемых к импорту с нулевым тарифом",%,IND,76.17654
2024,"Доля тарифных позиций, применяемых к импорту с нулевым тарифом",%,TEX,55.28701
