Year,Series,Units,Value
2010,Вся территория,mgr/m^3,52.917
2011,Вся территория,mgr/m^3,56.662
2012,Вся территория,mgr/m^3,52.872
2013,Вся территория,mgr/m^3,47.439
2014,Вся территория,mgr/m^3,42.963
2015,Вся территория,mgr/m^3,47.511
2016,Вся территория,mgr/m^3,41.97
2017,Вся территория,mgr/m^3,39.128
2018,Вся территория,mgr/m^3,38.466
2019,Вся территория,mgr/m^3,40.66
2020,Вся территория,mgr/m^3,35.253
2021,Вся территория,mgr/m^3,37.388
2022,Вся территория,mgr/m^3,34.045
2023,Вся территория,mgr/m^3,30.108
2010,Город,mgr/m^3,60.099
2011,Город,mgr/m^3,64.869
2012,Город,mgr/m^3,60.722
2013,Город,mgr/m^3,54.279
2014,Город,mgr/m^3,49.207
2015,Город,mgr/m^3,54.62
2016,Город,mgr/m^3,47.845
2017,Город,mgr/m^3,45.017
2018,Город,mgr/m^3,44.307
2019,Город,mgr/m^3,46.7
2020,Город,mgr/m^3,40.957
2021,Город,mgr/m^3,42.816
2022,Город,mgr/m^3,39.399
2023,Город,mgr/m^3,34.882
2010,село,mgr/m^3,35.842
2011,село,mgr/m^3,38.565
2012,село,mgr/m^3,35.92
2013,село,mgr/m^3,32.191
2014,село,mgr/m^3,29.167
2015,село,mgr/m^3,32.324
2016,село,mgr/m^3,28.575
2017,село,mgr/m^3,26.728
2018,село,mgr/m^3,26.206
2019,село,mgr/m^3,27.925
2020,село,mgr/m^3,24.179
2021,село,mgr/m^3,25.602
2022,село,mgr/m^3,23.45
2023,село,mgr/m^3,20.842
2010,Малый город и полуплотно населённая,mgr/m^3,48.344
2011,Малый город и полуплотно населённая,mgr/m^3,51.621
2012,Малый город и полуплотно населённая,mgr/m^3,48.41
2013,Малый город и полуплотно населённая,mgr/m^3,43.399
2014,Малый город и полуплотно населённая,mgr/m^3,39.414
2015,Малый город и полуплотно населённая,mgr/m^3,43.547
2016,Малый город и полуплотно населённая,mgr/m^3,38.626
2017,Малый город и полуплотно населённая,mgr/m^3,36.234
2018,Малый город и полуплотно населённая,mgr/m^3,35.421
2019,Малый город и полуплотно населённая,mgr/m^3,37.785
2020,Малый город и полуплотно населённая,mgr/m^3,32.739
2021,Малый город и полуплотно населённая,mgr/m^3,34.722
2022,Малый город и полуплотно населённая,mgr/m^3,31.62
2023,Малый город и полуплотно населённая,mgr/m^3,28.117
2010,город,mgr/m^3,55.163
2011,город,mgr/m^3,59.205
2012,город,mgr/m^3,55.482
2013,город,mgr/m^3,49.482
2014,город,mgr/m^3,44.765
2015,город,mgr/m^3,49.419
2016,город,mgr/m^3,43.599
2017,город,mgr/m^3,41.063
2018,город,mgr/m^3,40.152
2019,город,mgr/m^3,42.462
2020,город,mgr/m^3,36.771
2021,город,mgr/m^3,39.064
2022,город,mgr/m^3,35.483
2023,город,mgr/m^3,31.531
