Year,Пол,Место нахождения,Возраст,Категория,Quintiles,услуги,Value
2015,,,,,,водоснабжение,83.0
2016,,,,,,водоснабжение,85.8
2017,,,,,,водоснабжение,85.8
2018,,,,,,водоснабжение,87.3
2019,,,,,,водоснабжение,89.6
2020,,,,,,водоснабжение,94.0
2021,,,,,,водоснабжение,95.0
2021,мужчина,,,,,водоснабжение,93.6
2021,женщина,,,,,водоснабжение,94.8
2021,,город,,,,водоснабжение,97.6
2021,,село,,,,водоснабжение,89.3
2021,,,aged 0-25 years,,,водоснабжение,93.7
2021,,,aged 25-34 years,,,водоснабжение,94.4
2021,,,aged 35-44 years,,,водоснабжение,94.6
2021,,,aged 45-54 years,,,водоснабжение,93.8
2021,,,aged 55-64 years,,,водоснабжение,94.8
2021,,,aged 65 and over,,,водоснабжение,94.5
2021,,,,инвалиды,,водоснабжение,94.8
2021,,,,,1.0,водоснабжение,91.2
2021,,,,,2.0,водоснабжение,94.7
2021,,,,,3.0,водоснабжение,94.9
2021,,,,,4.0,водоснабжение,94.6
2021,,,,,5.0,водоснабжение,95.7
2015,,,,,,канализация,72.3
2016,,,,,,канализация,70.8
2017,,,,,,канализация,74.2
2018,,,,,,канализация,76.5
2019,,,,,,канализация,94.6
2020,,,,,,канализация,97.5
2021,,,,,,канализация,99.0
2021,мужчина,,,,,канализация,99.4
2021,женщина,,,,,канализация,99.1
2021,,город,,,,канализация,99.3
2021,,село,,,,канализация,99.0
2021,,,aged 0-25 years,,,канализация,99.5
2021,,,aged 25-34 years,,,канализация,99.2
2021,,,aged 35-44 years,,,канализация,99.2
2021,,,aged 45-54 years,,,канализация,99.1
2021,,,aged 55-64 years,,,канализация,99.5
2021,,,aged 65 and over,,,канализация,98.7
2021,,,,инвалиды,,канализация,99.2
2021,,,,,1.0,канализация,99.1
2021,,,,,2.0,канализация,99.3
2021,,,,,3.0,канализация,99.2
2021,,,,,4.0,канализация,99.1
2021,,,,,5.0,канализация,99.4
2015,,,,,,вывоз мусора,78.2
2016,,,,,,вывоз мусора,79.8
2017,,,,,,вывоз мусора,76.4
2018,,,,,,вывоз мусора,78.7
2019,,,,,,вывоз мусора,82.3
2020,,,,,,вывоз мусора,96.4
2021,,,,,,вывоз мусора,97.7
2021,мужчина,,,,,вывоз мусора,98.0
2021,женщина,,,,,вывоз мусора,97.8
2021,,город,,,,вывоз мусора,98.5
2021,,село,,,,вывоз мусора,96.9
2021,,,aged 0-25 years,,,вывоз мусора,98.0
2021,,,aged 25-34 years,,,вывоз мусора,97.9
2021,,,aged 35-44 years,,,вывоз мусора,98.4
2021,,,aged 45-54 years,,,вывоз мусора,97.3
2021,,,aged 55-64 years,,,вывоз мусора,97.5
2021,,,aged 65 and over,,,вывоз мусора,98.3
2021,,,,инвалиды,,вывоз мусора,97.5
2021,,,,,1.0,вывоз мусора,98.5
2021,,,,,2.0,вывоз мусора,97.7
2021,,,,,3.0,вывоз мусора,97.5
2021,,,,,4.0,вывоз мусора,98.2
2021,,,,,5.0,вывоз мусора,97.6
2015,,,,,,телефон стационарный,61.1
2016,,,,,,телефон стационарный,57.1
2017,,,,,,телефон стационарный,53.1
2018,,,,,,телефон стационарный,49.2
2019,,,,,,телефон стационарный,96.7
2020,,,,,,телефон стационарный,98.8
2021,,,,,,телефон стационарный,98.6
2021,мужчина,,,,,телефон стационарный,100.0
2021,женщина,,,,,телефон стационарный,100.0
2021,,город,,,,телефон стационарный,100.0
2021,,село,,,,телефон стационарный,99.7
2021,,,aged 0-25 years,,,телефон стационарный,100.0
2021,,,aged 25-34 years,,,телефон стационарный,100.0
2021,,,aged 35-44 years,,,телефон стационарный,100.0
2021,,,aged 45-54 years,,,телефон стационарный,100.0
2021,,,aged 55-64 years,,,телефон стационарный,99.9
2021,,,aged 65 and over,,,телефон стационарный,100.0
2021,,,,инвалиды,,телефон стационарный,99.8
2021,,,,,1.0,телефон стационарный,100.0
2021,,,,,2.0,телефон стационарный,100.0
2021,,,,,3.0,телефон стационарный,100.0
2021,,,,,4.0,телефон стационарный,99.9
2021,,,,,5.0,телефон стационарный,100.0
