Year,Units,Series,Position,Пол,Возраст,Тип,Value
2024,Ratio,"b) Proportions of positions in the public service (national and local), by various characteristics, compared to national distributions",Total national-level public service personnel,женщина,,,0.95
2024,Ratio,"b) Proportions of positions in the public service (national and local), by various characteristics, compared to national distributions",Total national-level public service personnel,женщина,18-24,,1.51
2024,Ratio,"b) Proportions of positions in the public service (national and local), by various characteristics, compared to national distributions",Total national-level public service personnel,женщина,25-34,,1.4
2024,Ratio,"b) Proportions of positions in the public service (national and local), by various characteristics, compared to national distributions",Total national-level public service personnel,женщина,35-44,,0.83
2024,Ratio,"b) Proportions of positions in the public service (national and local), by various characteristics, compared to national distributions",Total national-level public service personnel,женщина,45-54,,0.98
2024,Ratio,"b) Proportions of positions in the public service (national and local), by various characteristics, compared to national distributions",Total national-level public service personnel,женщина,55-64,,0.81
2024,Ratio,"b) Proportions of positions in the public service (national and local), by various characteristics, compared to national distributions",Total national-level public service personnel,женщина,65-74,,0.44
2024,Ratio,"b) Proportions of positions in the public service (national and local), by various characteristics, compared to national distributions",Total national-level public service personnel,женщина,,With disability,0.61
2024,Ratio,"b) Proportions of positions in the public service (national and local), by various characteristics, compared to national distributions",Senior Managers and other Managers,женщина,,,0.61
2024,Ratio,"c) Proportions of positions in the judiciary (national and local), by various characteristics, compared to national distributions",Lower Courts,женщина,,,0.62
2024,Ratio,"c) Proportions of positions in the judiciary (national and local), by various characteristics, compared to national distributions",Constitutional Court,женщина,,,0.21
2024,Ratio,"c) Proportions of positions in the judiciary (national and local), by various characteristics, compared to national distributions",Higher Courts,женщина,,,0.59
2024,Ratio,"b) Proportions of positions in the public service (national and local), by various characteristics, compared to national distributions",General and Keyboard Clerks,женщина,,,1.2
2024,Ratio,"b) Proportions of positions in the public service (national and local), by various characteristics, compared to national distributions",Business and Administration Associate Professionalss,женщина,,,1.15
2024,Ratio,"b) Proportions of positions in the public service (national and local), by various characteristics, compared to national distributions",Administration Professionals,женщина,,,0.97
2024,Ratio,"c) Proportions of positions in the judiciary (national and local), by various characteristics, compared to national distributions",Judges total,женщина,,,0.6
