Year,Series,Units,Unnamed: 4,Unnamed: 5,Value
2010,Объем отслеживаемых экспортируемых экологически чистых технологий,долларов США,,,19729128.0
2011,Объем отслеживаемых экспортируемых экологически чистых технологий,долларов США,,,17601676.0
2012,Объем отслеживаемых экспортируемых экологически чистых технологий,долларов США,,,18501042.0
2013,Объем отслеживаемых экспортируемых экологически чистых технологий,долларов США,,,24104887.0
2014,Объем отслеживаемых экспортируемых экологически чистых технологий,долларов США,,,22295597.0
2015,Объем отслеживаемых экспортируемых экологически чистых технологий,долларов США,,,17474495.0
2016,Объем отслеживаемых экспортируемых экологически чистых технологий,долларов США,,,23322041.0
2017,Объем отслеживаемых экспортируемых экологически чистых технологий,долларов США,,,29123447.3
2018,Объем отслеживаемых экспортируемых экологически чистых технологий,долларов США,,,32180263.7
2019,Объем отслеживаемых экспортируемых экологически чистых технологий,долларов США,,,47427293.0
2020,Объем отслеживаемых экспортируемых экологически чистых технологий,долларов США,,,30338376.1
2021,Объем отслеживаемых экспортируемых экологически чистых технологий,долларов США,,,34883781.8
2022,Объем отслеживаемых экспортируемых экологически чистых технологий,долларов США,,,102063223.8
2023,Объем отслеживаемых экспортируемых экологически чистых технологий,долларов США,,,128675175.4
2024,Объем отслеживаемых экспортируемых экологически чистых технологий,долларов США,,,110363475.7
2010,Объем отслеживаемых импортируемых экологически чистых технологий,долларов США,,,229483676.0
2011,Объем отслеживаемых импортируемых экологически чистых технологий,долларов США,,,174337163.0
2012,Объем отслеживаемых импортируемых экологически чистых технологий,долларов США,,,177370787.0
2013,Объем отслеживаемых импортируемых экологически чистых технологий,долларов США,,,238356795.0
2014,Объем отслеживаемых импортируемых экологически чистых технологий,долларов США,,,240982150.0
2015,Объем отслеживаемых импортируемых экологически чистых технологий,долларов США,,,161357732.0
2016,Объем отслеживаемых импортируемых экологически чистых технологий,долларов США,,,165319783.0
2017,Объем отслеживаемых импортируемых экологически чистых технологий,долларов США,,,216430808.2
