Year,Units,Категория,Value
2015,"1,000 га",пашня,446.7
2016,"1,000 га",пашня,446.4
2017,"1,000 га",пашня,446.0
2018,"1,000 га",пашня,445.6
2019,"1,000 га",пашня,444.8
2020,"1,000 га",пашня,444.0
2015,"1,000 га",посевные площади,337.5
2016,"1,000 га",посевные площади,353.4
2017,"1,000 га",посевные площади,294.5
2018,"1,000 га",посевные площади,242.3
2019,"1,000 га",посевные площади,227.9
2020,"1,000 га",посевные площади,222.7
2015,"1,000 га",многолетние насаждения,57.6
2016,"1,000 га",многолетние насаждения,57.6
2017,"1,000 га",многолетние насаждения,58.1
2018,"1,000 га",многолетние насаждения,59.1
2019,"1,000 га",многолетние насаждения,59.9
2020,"1,000 га",многолетние насаждения,60.4
