Year,Units,Пол,Value
2015,"на 1,000 живорожденных",Total,8.8
2016,"на 1,000 живорожденных",Total,8.6
2017,"на 1,000 живорожденных",Total,8.2
2018,"на 1,000 живорожденных",Total,7.1
2019,"на 1,000 живорожденных",Total,6.1
2020,"на 1,000 живорожденных",Total,7.4
2021,"на 1,000 живорожденных",Total,6.9
2015,"на 1,000 живорожденных",boy,9.4
2016,"на 1,000 живорожденных",boy,9.9
2017,"на 1,000 живорожденных",boy,8.8
2018,"на 1,000 живорожденных",boy,7.4
2019,"на 1,000 живорожденных",boy,6.8
2020,"на 1,000 живорожденных",boy,8.2
2021,"на 1,000 живорожденных",boy,7.8
2015,"на 1,000 живорожденных",girl,8.2
2016,"на 1,000 живорожденных",girl,7.3
2017,"на 1,000 живорожденных",girl,7.6
2018,"на 1,000 живорожденных",girl,6.8
2019,"на 1,000 живорожденных",girl,5.3
2020,"на 1,000 живорожденных",girl,6.4
2021,"на 1,000 живорожденных",girl,5.9
