Year,Units,Возраст,Расположение,Value
2015,"на 1,000 женщин",10-14 лет,Total,0.03
2015,"на 1,000 женщин",10-14 лет,город,0.04
2015,"на 1,000 женщин",10-14 лет,село,0.0
2015,"на 1,000 женщин",15-19 лет,Total,24.3
2015,"на 1,000 женщин",15-19 лет,город,18.5
2015,"на 1,000 женщин",15-19 лет,село,32.6
2016,"на 1,000 женщин",10-14 лет,Total,0.05
2016,"на 1,000 женщин",10-14 лет,город,0.04
2016,"на 1,000 женщин",10-14 лет,село,0.06
2016,"на 1,000 женщин",15-19 лет,Total,24.0
2016,"на 1,000 женщин",15-19 лет,город,18.1
2016,"на 1,000 женщин",15-19 лет,село,32.7
2017,"на 1,000 женщин",10-14 лет,Total,0.02
2017,"на 1,000 женщин",10-14 лет,город,0.04
2017,"на 1,000 женщин",10-14 лет,село,0.0
2017,"на 1,000 женщин",15-19 лет,Total,21.1
2017,"на 1,000 женщин",15-19 лет,город,14.4
2017,"на 1,000 женщин",15-19 лет,село,31.1
2018,"на 1,000 женщин",10-14 лет,Total,0.05
2018,"на 1,000 женщин",10-14 лет,город,0.06
2018,"на 1,000 женщин",10-14 лет,село,0.03
2018,"на 1,000 женщин",15-19 лет,Total,18.9
2018,"на 1,000 женщин",15-19 лет,город,13.5
2018,"на 1,000 женщин",15-19 лет,село,27.4
2019,"на 1,000 женщин",10-14 лет,Total,0.03
2019,"на 1,000 женщин",10-14 лет,город,0.05
2019,"на 1,000 женщин",10-14 лет,село,0.0
2019,"на 1,000 женщин",15-19 лет,Total,16.7
2019,"на 1,000 женщин",15-19 лет,город,11.9
2019,"на 1,000 женщин",15-19 лет,село,24.4
2020,"на 1,000 женщин",10-14 лет,Total,0.0
2020,"на 1,000 женщин",10-14 лет,город,0.0
2020,"на 1,000 женщин",10-14 лет,село,0.0
2020,"на 1,000 женщин",15-19 лет,Total,13.9
2020,"на 1,000 женщин",15-19 лет,город,11.1
2020,"на 1,000 женщин",15-19 лет,село,18.5
