Year,Тип,Units,Value
2015,Всего возобновляемые,Млн. США доллар,24.72
2015,Биоэнергия,Млн. США доллар,0.0
2015,Геотермальная энергия,Млн. США доллар,9.75
2015,Гидроэнергия,Млн. США доллар,14.87
2015,Множественные источники возобновляемой энергии,Млн. США доллар,0.1
2015,Солнечная энергия,Млн. США доллар,0.0
2016,Всего возобновляемые,Млн. США доллар,126.49
2016,Биоэнергия,Млн. США доллар,0.0
2016,Геотермальная энергия,Млн. США доллар,0.0
2016,Гидроэнергия,Млн. США доллар,73.16
2016,Множественные источники возобновляемой энергии,Млн. США доллар,3.4
2016,Солнечная энергия,Млн. США доллар,49.93
2017,Всего возобновляемые,Млн. США доллар,1.63
2017,Биоэнергия,Млн. США доллар,0.09
2017,Геотермальная энергия,Млн. США доллар,0.0
2017,Гидроэнергия,Млн. США доллар,1.46
2017,Множественные источники возобновляемой энергии,Млн. США доллар,0.08
2017,Солнечная энергия,Млн. США доллар,0.0
2018,Всего возобновляемые,Млн. США доллар,29.37
2018,Биоэнергия,Млн. США доллар,0.0
2018,Геотермальная энергия,Млн. США доллар,0.0
2018,Гидроэнергия,Млн. США доллар,0.0
2018,Множественные источники возобновляемой энергии,Млн. США доллар,0.05
2018,Солнечная энергия,Млн. США доллар,29.32
2019,Всего возобновляемые,Млн. США доллар,56.91
2019,Биоэнергия,Млн. США доллар,0.0
2019,Геотермальная энергия,Млн. США доллар,0.0
2019,Гидроэнергия,Млн. США доллар,0.0
2019,Множественные источники возобновляемой энергии,Млн. США доллар,56.88
2019,Солнечная энергия,Млн. США доллар,0.03
2020,Всего возобновляемые,Млн. США доллар,26.98
2020,Биоэнергия,Млн. США доллар,0.0
2020,Геотермальная энергия,Млн. США доллар,0.0
2020,Гидроэнергия,Млн. США доллар,0.0
2020,Множественные источники возобновляемой энергии,Млн. США доллар,16.97
2020,Солнечная энергия,Млн. США доллар,10.01
2021,Всего возобновляемые,Млн. США доллар,63.99
2021,Биоэнергия,Млн. США доллар,0.0
2021,Геотермальная энергия,Млн. США доллар,0.0
2021,Гидроэнергия,Млн. США доллар,0.0
2021,Множественные источники возобновляемой энергии,Млн. США доллар,63.85
2021,Солнечная энергия,Млн. США доллар,0.14
2022,Всего возобновляемые,Млн. США доллар,1.13
2022,Биоэнергия,Млн. США доллар,0.0
2022,Геотермальная энергия,Млн. США доллар,0.0
2022,Гидроэнергия,Млн. США доллар,0.0
2022,Множественные источники возобновляемой энергии,Млн. США доллар,0.12
2022,Солнечная энергия,Млн. США доллар,1.01
2023,Всего возобновляемые,Млн. США доллар,20.58
2023,Биоэнергия,Млн. США доллар,0.0
2023,Геотермальная энергия,Млн. США доллар,0.0
2023,Гидроэнергия,Млн. США доллар,0.0
2023,Множественные источники возобновляемой энергии,Млн. США доллар,19.59
2023,Солнечная энергия,Млн. США доллар,0.99
