Year,Units,Отделения/Банкоматы,Value
2015,на 100 000 взрослых,Банкоматы,58.8
2016,на 100 000 взрослых,Банкоматы,58.6
2017,на 100 000 взрослых,Банкоматы,61.1
2018,на 100 000 взрослых,Банкоматы,64.9
2019,на 100 000 взрослых,Банкоматы,67.9
2020,на 100 000 взрослых,Банкоматы,67.8
2021,на 100 000 взрослых,Банкоматы,70.5
2022,на 100 000 взрослых,Банкоматы,69.6
2015,на 100 000 взрослых,Отделения,21.6
2016,на 100 000 взрослых,Отделения,21.9
2017,на 100 000 взрослых,Отделения,22.1
2018,на 100 000 взрослых,Отделения,22.7
2019,на 100 000 взрослых,Отделения,23.3
2020,на 100 000 взрослых,Отделения,23.6
2021,на 100 000 взрослых,Отделения,23.4
2022,на 100 000 взрослых,Отделения,23.4
