Year,Units,Пол,Employed,Value
2020,всего,,Работающие по найму,53761
2020,всего,,,76067
2020,всего,,Работающие не по найму,22306
2020,всего,мужчина,,50998
2020,всего,женщина,,25068
2020,,женщина,Работающие по найму,24121
2020,,женщина,Работающие не по найму,947
2020,,мужчина,Работающие по найму,29640
2020,,мужчина,Работающие не по найму,21358
2021,всего,,,69806
2021,всего,мужчина,,42008
2021,всего,женщина,,27797
2021,всего,,Работающие по найму,53015
2021,всего,,Работающие не по найму,16791
2021,,женщина,Работающие по найму,27024
2021,,женщина,Работающие не по найму,773
2021,,мужчина,Работающие по найму,25991
2021,,мужчина,Работающие не по найму,16017
2022,всего,,,80374
2022,всего,женщина,,29630
2022,всего,мужчина,,50744
2022,всего,,Работающие по найму,61398
2022,всего,,Работающие не по найму,18976
2022,,женщина,Работающие по найму,27807
2022,,женщина,Работающие не по найму,1823
2022,,мужчина,Работающие по найму,33591
2022,,мужчина,Работающие не по найму,17153
2023,всего,,,89491
2023,всего,женщина,,32065
2023,всего,мужчина,,57426
2023,всего,,Работающие по найму,62351
2023,всего,,Работающие не по найму,27140
2023,,женщина,Работающие по найму,28831
2023,,женщина,Работающие не по найму,3234
2023,,мужчина,Работающие по найму,33520
2023,,мужчина,Работающие не по найму,23906
