Year,Units,Пол,Место нахождения,Возраст,Value
2015,%,,,,6.68
2016,%,,,,6.87
2017,%,,,,6.51
2018,%,,,,6.36
2019,%,,,,6.49
2020,%,,,,6.47
2015,%,мужчина,,,7.25
2016,%,мужчина,,,7.42
2017,%,мужчина,,,7.14
2018,%,мужчина,,,7.01
2019,%,мужчина,,,7.15
2020,%,мужчина,,,7.13
2015,%,женщина,,,6.16
2016,%,женщина,,,6.37
2017,%,женщина,,,5.94
2018,%,женщина,,,5.77
2019,%,женщина,,,5.89
2020,%,женщина,,,5.88
2015,%,,город,,7.15
2016,%,,город,,7.29
2017,%,,город,,6.92
2018,%,,город,,6.74
2019,%,,город,,6.83
2020,%,,город,,6.77
2015,%,мужчина,город,,7.68
2016,%,мужчина,город,,7.8
2017,%,мужчина,город,,7.5
2018,%,мужчина,город,,7.33
2019,%,мужчина,город,,7.42
2020,%,мужчина,город,,7.36
2015,%,женщина,город,,6.69
2016,%,женщина,город,,6.84
2017,%,женщина,город,,6.42
2018,%,женщина,город,,6.23
2019,%,женщина,город,,6.31
2020,%,женщина,город,,6.27
2015,%,,село,,5.85
2016,%,,село,,6.13
2017,%,,село,,5.77
2018,%,,село,,5.67
2019,%,,село,,5.89
2020,%,,село,,5.94
2015,%,мужчина,село,,6.54
2016,%,мужчина,село,,6.78
2017,%,мужчина,село,,6.55
2018,%,мужчина,село,,6.47
2019,%,мужчина,село,,6.7
2020,%,мужчина,село,,6.76
2015,%,женщина,село,,5.17
2016,%,женщина,село,,5.5
2017,%,женщина,село,,5.03
2018,%,женщина,село,,4.9
2019,%,женщина,село,,5.11
2020,%,женщина,село,,5.16
2015,%,,,0-17 лет,1.13
2016,%,,,0-17 лет,1.18
2017,%,,,0-17 лет,1.18
2018,%,,,0-17 лет,1.17
2019,%,,,0-17 лет,1.23
2020,%,,,0-17 лет,1.24
2015,%,мужчина,,0-17 лет,1.46
2016,%,мужчина,,0-17 лет,1.5
2017,%,мужчина,,0-17 лет,1.52
2018,%,мужчина,,0-17 лет,1.51
2019,%,мужчина,,0-17 лет,1.58
2020,%,мужчина,,0-17 лет,1.6
2015,%,женщина,,0-17 лет,0.75
2016,%,женщина,,0-17 лет,0.8
2017,%,женщина,,0-17 лет,0.79
2018,%,женщина,,0-17 лет,0.78
2019,%,женщина,,0-17 лет,0.82
2020,%,женщина,,0-17 лет,0.83
2015,%,,,18-39 лет,2.48
2016,%,,,18-39 лет,2.52
2017,%,,,18-39 лет,2.4
2018,%,,,18-39 лет,2.31
2019,%,,,18-39 лет,2.36
2020,%,,,18-39 лет,2.36
2015,%,мужчина,,18-39 лет,3.47
2016,%,мужчина,,18-39 лет,3.52
2017,%,мужчина,,18-39 лет,3.39
2018,%,мужчина,,18-39 лет,3.26
2019,%,мужчина,,18-39 лет,3.3
2020,%,мужчина,,18-39 лет,3.3
2015,%,женщина,,18-39 лет,1.55
2016,%,женщина,,18-39 лет,1.57
2017,%,женщина,,18-39 лет,1.48
2018,%,женщина,,18-39 лет,1.41
2019,%,женщина,,18-39 лет,1.47
2020,%,женщина,,18-39 лет,1.48
2015,%,,,40-62 лет,11.61
2016,%,,,40-62 лет,11.76
2017,%,,,40-62 лет,10.39
2018,%,,,40-62 лет,9.66
2019,%,,,40-62 лет,9.6
2020,%,,,40-62 лет,9.25
2015,%,мужчина,,40-62 лет,12.58
2016,%,мужчина,,40-62 лет,12.85
2017,%,мужчина,,40-62 лет,11.85
2018,%,мужчина,,40-62 лет,11.29
2019,%,мужчина,,40-62 лет,11.36
2020,%,мужчина,,40-62 лет,11.06
2015,%,женщина,,40-62 лет,10.81
2016,%,женщина,,40-62 лет,10.85
2017,%,женщина,,40-62 лет,9.19
2018,%,женщина,,40-62 лет,8.34
2019,%,женщина,,40-62 лет,8.19
2020,%,женщина,,40-62 лет,7.78
2015,%,,,63 и более лет,16.87
2016,%,,,63 и более лет,17.59
2017,%,,,63 и более лет,17.74
2018,%,,,63 и более лет,17.92
2019,%,,,63 и более лет,18.2
2020,%,,,63 и более лет,18.36
2015,%,мужчина,,63 и более лет,19.81
2016,%,мужчина,,63 и более лет,20.19
2017,%,мужчина,,63 и более лет,20.18
2018,%,мужчина,,63 и более лет,20.25
2019,%,мужчина,,63 и более лет,20.44
2020,%,мужчина,,63 и более лет,20.48
2015,%,женщина,,63 и более лет,14.9
2016,%,женщина,,63 и более лет,15.85
2017,%,женщина,,63 и более лет,16.12
2018,%,женщина,,63 и более лет,16.37
2019,%,женщина,,63 и более лет,16.71
2020,%,женщина,,63 и более лет,16.95
2021,%,,,,6.61
2021,%,мужчина,,,7.33
2021,%,женщина,,,5.96
2021,%,,город,,6.88
2021,%,мужчина,город,,7.53
2021,%,женщина,город,,6.31
2021,%,,село,,6.13
2021,%,мужчина,село,,7.0
2021,%,женщина,село,,5.29
2021,%,,,0-17 лет,1.3
2021,%,мужчина,,0-17 лет,1.67
2021,%,женщина,,0-17 лет,0.87
2021,%,,,18-39 лет,2.54
2021,%,мужчина,,18-39 лет,3.61
2021,%,женщина,,18-39 лет,1.53
2021,%,,,40-62 лет,9.1
2021,%,мужчина,,40-62 лет,11.03
2021,%,женщина,,40-62 лет,7.54
2021,%,,,63 и более лет,18.58
2021,%,мужчина,,63 и более лет,20.69
2021,%,женщина,,63 и более лет,17.19
2022,%,,,,6.49
2022,%,мужчина,,,7.2
2022,%,женщина,,,5.85
2022,%,,город,,6.78
2022,%,мужчина,город,,7.44
2022,%,женщина,город,,6.22
2022,%,,село,,5.96
2022,%,мужчина,село,,6.8
2022,%,женщина,село,,5.16
2022,%,,,0-17 лет,1.31
2022,%,мужчина,,0-17 лет,1.69
2022,%,женщина,,0-17 лет,0.88
2022,%,,,18-39 лет,2.41
2022,%,мужчина,,18-39 лет,3.39
2022,%,женщина,,18-39 лет,1.48
2022,%,,,40-62 лет,8.36
2022,%,мужчина,,40-62 лет,10.35
2022,%,женщина,,40-62 лет,6.74
2022,%,,,63 и более лет,18.8
2022,%,мужчина,,63 и более лет,20.93
2022,%,женщина,,63 и более лет,17.4
2023,%,,,,6.18
2023,%,мужчина,,,6.85
2023,%,женщина,,,5.58
2023,%,,город,,6.47
2023,%,мужчина,город,,7.08
2023,%,женщина,город,,5.94
2023,%,,село,,5.68
2023,%,мужчина,село,,6.47
2023,%,женщина,село,,4.92
2023,%,,,0-17 лет,1.2
2023,%,мужчина,,0-17 лет,1.54
2023,%,женщина,,0-17 лет,0.81
2023,%,,,18-39 лет,2.19
2023,%,мужчина,,18-39 лет,3.1
2023,%,женщина,,18-39 лет,1.33
2023,%,,,40-62 лет,7.44
2023,%,мужчина,,40-62 лет,9.4
2023,%,женщина,,40-62 лет,5.84
2023,%,,,63 и более лет,19.16
2023,%,мужчина,,63 и более лет,21.31
2023,%,женщина,,63 и более лет,17.76
2024,%,,,,5.32
2024,%,мужчина,,,5.82
2024,%,женщина,,,4.88
2024,%,,город,,5.57
2024,%,мужчина,город,,6.08
2024,%,женщина,город,,5.14
2024,%,,село,,4.88
2024,%,мужчина,село,,5.39
2024,%,женщина,село,,4.36
2024,%,,,0-17 лет,0.96
2024,%,мужчина,,0-17 лет,1.23
2024,%,женщина,,0-17 лет,0.65
2024,%,,,18-39 лет,1.87
2024,%,мужчина,,18-39 лет,2.63
2024,%,женщина,,18-39 лет,1.13
2024,%,,,40-62 лет,5.57
2024,%,мужчина,,40-62 лет,7.09
2024,%,женщина,,40-62 лет,4.29
2024,%,,,63 и более лет,14.67
2024,%,мужчина,,63 и более лет,15.86
2024,%,женщина,,63 и более лет,13.86
