Year,Units,Пол,Категория,Возраст,Value
2015,%,,,,2.11
2016,%,,,,2.21
2017,%,,,,2.12
2018,%,,,,2.2
2019,%,,,,2.43
2020,%,,,,2.58
2015,%,мужчина,,,2.31
2016,%,мужчина,,,2.42
2017,%,мужчина,,,2.36
2018,%,мужчина,,,2.44
2019,%,мужчина,,,2.66
2020,%,мужчина,,,2.79
2015,%,женщина,,,1.93
2016,%,женщина,,,2.02
2017,%,женщина,,,1.9
2018,%,женщина,,,1.98
2019,%,женщина,,,2.21
2020,%,женщина,,,2.39
2015,%,,по старости,,0.12
2016,%,,по старости,,0.13
2017,%,,по старости,,0.16
2018,%,,по старости,,0.19
2019,%,,по старости,,0.26
2020,%,,по старости,,0.33
2015,%,мужчина,по старости,,0.04
2016,%,мужчина,по старости,,0.06
2017,%,мужчина,по старости,,0.07
2018,%,мужчина,по старости,,0.09
2019,%,мужчина,по старости,,0.13
2020,%,мужчина,по старости,,0.16
2015,%,женщина,по старости,,0.18
2016,%,женщина,по старости,,0.2
2017,%,женщина,по старости,,0.23
2018,%,женщина,по старости,,0.28
2019,%,женщина,по старости,,0.38
2020,%,женщина,по старости,,0.48
2015,%,,по инвалидности,,1.6
2016,%,,по инвалидности,,1.68
2017,%,,по инвалидности,,1.57
2018,%,,по инвалидности,,1.61
2019,%,,по инвалидности,,1.76
2020,%,,по инвалидности,,1.84
2015,%,мужчина,по инвалидности,,1.94
2016,%,мужчина,по инвалидности,,2.02
2017,%,мужчина,по инвалидности,,1.95
2018,%,мужчина,по инвалидности,,2.0
2019,%,мужчина,по инвалидности,,2.17
2020,%,мужчина,по инвалидности,,2.26
2015,%,женщина,по инвалидности,,1.29
2016,%,женщина,по инвалидности,,1.36
2017,%,женщина,по инвалидности,,1.23
2018,%,женщина,по инвалидности,,1.26
2019,%,женщина,по инвалидности,,1.39
2020,%,женщина,по инвалидности,,1.46
2015,%,,в случае потери кормильца,,0.39
2016,%,,в случае потери кормильца,,0.4
2017,%,,в случае потери кормильца,,0.39
2018,%,,в случае потери кормильца,,0.4
2019,%,,в случае потери кормильца,,0.41
2020,%,,в случае потери кормильца,,0.41
2015,%,мужчина,в случае потери кормильца,,0.32
2016,%,мужчина,в случае потери кормильца,,0.34
2017,%,мужчина,в случае потери кормильца,,0.34
2018,%,мужчина,в случае потери кормильца,,0.35
2019,%,мужчина,в случае потери кормильца,,0.36
2020,%,мужчина,в случае потери кормильца,,0.37
2015,%,женщина,в случае потери кормильца,,0.46
2016,%,женщина,в случае потери кормильца,,0.45
2017,%,женщина,в случае потери кормильца,,0.44
2018,%,женщина,в случае потери кормильца,,0.44
2019,%,женщина,в случае потери кормильца,,0.44
2020,%,женщина,в случае потери кормильца,,0.45
2015,%,,,до 51 лет,2.39
2016,%,,,до 51 лет,2.46
2017,%,,,до 51 лет,2.34
2018,%,,,до 51 лет,2.35
2019,%,,,до 51 лет,2.48
2020,%,,,до 51 лет,2.51
2015,%,мужчина,,до 51 лет,2.77
2016,%,мужчина,,до 51 лет,2.87
2017,%,мужчина,,до 51 лет,2.77
2018,%,мужчина,,до 51 лет,2.79
2019,%,мужчина,,до 51 лет,2.93
2020,%,мужчина,,до 51 лет,2.96
2015,%,женщина,,до 51 лет,2.02
2016,%,женщина,,до 51 лет,2.06
2017,%,женщина,,до 51 лет,1.93
2018,%,женщина,,до 51 лет,1.93
2019,%,женщина,,до 51 лет,2.03
2020,%,женщина,,до 51 лет,2.06
2015,%,,,51-55 лет,1.99
2016,%,,,51-55 лет,2.36
2017,%,,,51-55 лет,2.2
2018,%,,,51-55 лет,2.47
2019,%,,,51-55 лет,3.03
2020,%,,,51-55 лет,3.5
2015,%,мужчина,,51-55 лет,1.8
2016,%,мужчина,,51-55 лет,2.27
2017,%,мужчина,,51-55 лет,2.37
2018,%,мужчина,,51-55 лет,2.84
2019,%,мужчина,,51-55 лет,3.62
2020,%,мужчина,,51-55 лет,4.23
2015,%,женщина,,51-55 лет,2.15
2016,%,женщина,,51-55 лет,2.44
2017,%,женщина,,51-55 лет,2.06
2018,%,женщина,,51-55 лет,2.18
2019,%,женщина,,51-55 лет,2.57
2020,%,женщина,,51-55 лет,2.93
2015,%,,,56-62 лет,1.24
2016,%,,,56-62 лет,1.37
2017,%,,,56-62 лет,1.27
2018,%,,,56-62 лет,1.48
2019,%,,,56-62 лет,1.9
2020,%,,,56-62 лет,2.26
2015,%,мужчина,,56-62 лет,0.87
2016,%,мужчина,,56-62 лет,0.98
2017,%,мужчина,,56-62 лет,1.02
2018,%,мужчина,,56-62 лет,1.26
2019,%,мужчина,,56-62 лет,1.73
2020,%,мужчина,,56-62 лет,2.18
2015,%,женщина,,56-62 лет,1.55
2016,%,женщина,,56-62 лет,1.69
2017,%,женщина,,56-62 лет,1.46
2018,%,женщина,,56-62 лет,1.65
2019,%,женщина,,56-62 лет,2.03
2020,%,женщина,,56-62 лет,2.32
2015,%,,,63 и более лет,1.24
2016,%,,,63 и более лет,1.39
2017,%,,,63 и более лет,1.54
2018,%,,,63 и более лет,1.81
2019,%,,,63 и более лет,2.3
2020,%,,,63 и более лет,2.78
2015,%,мужчина,,63 и более лет,0.6
2016,%,мужчина,,63 и более лет,0.72
2017,%,мужчина,,63 и более лет,0.84
2018,%,мужчина,,63 и более лет,1.05
2019,%,мужчина,,63 и более лет,1.36
2020,%,мужчина,,63 и более лет,1.67
