Year,Units,Пол,Возраст,Категория,Value
2015,человек,,,,864.0
2016,человек,,,,810.0
2017,человек,,,,824.0
2018,человек,,,,784.0
2019,человек,,,,764.0
2020,человек,,,,751.0
2015,человек,мужчина,,,456.0
2016,человек,мужчина,,,445.0
2017,человек,мужчина,,,445.0
2018,человек,мужчина,,,424.0
2019,человек,мужчина,,,414.0
2020,человек,мужчина,,,414.0
2015,человек,женщина,,,408.0
2016,человек,женщина,,,365.0
2017,человек,женщина,,,379.0
2018,человек,женщина,,,360.0
2019,человек,женщина,,,350.0
2020,человек,женщина,,,337.0
2015,человек,,до 1 года,,68.0
2016,человек,,до 1 года,,47.0
2017,человек,,до 1 года,,59.0
2018,человек,,до 1 года,,49.0
2019,человек,,до 1 года,,55.0
2020,человек,,до 1 года,,42.0
2015,человек,мужчина,до 1 года,,34.0
2016,человек,мужчина,до 1 года,,25.0
2017,человек,мужчина,до 1 года,,27.0
2018,человек,мужчина,до 1 года,,27.0
2019,человек,мужчина,до 1 года,,25.0
2020,человек,мужчина,до 1 года,,24.0
2015,человек,женщина,до 1 года,,34.0
2016,человек,женщина,до 1 года,,22.0
2017,человек,женщина,до 1 года,,32.0
2018,человек,женщина,до 1 года,,22.0
2019,человек,женщина,до 1 года,,30.0
2020,человек,женщина,до 1 года,,18.0
2015,человек,,1-6 лет,,199.0
2016,человек,,1-6 лет,,208.0
2017,человек,,1-6 лет,,170.0
2018,человек,,1-6 лет,,166.0
2019,человек,,1-6 лет,,161.0
2020,человек,,1-6 лет,,131.0
2015,человек,мужчина,1-6 лет,,107.0
2016,человек,мужчина,1-6 лет,,117.0
2017,человек,мужчина,1-6 лет,,95.0
2018,человек,мужчина,1-6 лет,,86.0
2019,человек,мужчина,1-6 лет,,90.0
2020,человек,мужчина,1-6 лет,,71.0
2015,человек,женщина,1-6 лет,,92.0
2016,человек,женщина,1-6 лет,,91.0
2017,человек,женщина,1-6 лет,,75.0
2018,человек,женщина,1-6 лет,,80.0
2019,человек,женщина,1-6 лет,,71.0
2020,человек,женщина,1-6 лет,,60.0
2015,человек,,7-9 лет,,147.0
2016,человек,,7-9 лет,,145.0
2017,человек,,7-9 лет,,176.0
2018,человек,,7-9 лет,,141.0
2019,человек,,7-9 лет,,139.0
2020,человек,,7-9 лет,,122.0
2015,человек,мужчина,7-9 лет,,79.0
2016,человек,мужчина,7-9 лет,,76.0
2017,человек,мужчина,7-9 лет,,99.0
2018,человек,мужчина,7-9 лет,,82.0
2019,человек,мужчина,7-9 лет,,77.0
2020,человек,мужчина,7-9 лет,,69.0
2015,человек,женщина,7-9 лет,,68.0
2016,человек,женщина,7-9 лет,,69.0
2017,человек,женщина,7-9 лет,,77.0
2018,человек,женщина,7-9 лет,,59.0
2019,человек,мужчина,7-9 лет,,62.0
2020,человек,мужчина,7-9 лет,,53.0
2015,человек,,10-15 лет,,246.0
2016,человек,,10-15 лет,,231.0
2017,человек,,10-15 лет,,221.0
2018,человек,,10-15 лет,,197.0
2019,человек,,10-15 лет,,209.0
2020,человек,,10-15 лет,,209.0
2015,человек,мужчина,10-15 лет,,136.0
2016,человек,мужчина,10-15 лет,,137.0
2017,человек,мужчина,10-15 лет,,132.0
2018,человек,мужчина,10-15 лет,,115.0
2019,человек,мужчина,10-15 лет,,117.0
2020,человек,мужчина,10-15 лет,,119.0
2015,человек,женщина,10-15 лет,,110.0
2016,человек,женщина,10-15 лет,,94.0
2017,человек,женщина,10-15 лет,,89.0
2018,человек,женщина,10-15 лет,,82.0
2019,человек,женщина,10-15 лет,,92.0
2020,человек,женщина,10-15 лет,,90.0
2015,человек,,16-17 лет,,204.0
2016,человек,,16-17 лет,,179.0
2017,человек,,16-17 лет,,198.0
2018,человек,,16-17 лет,,231.0
2019,человек,,16-17 лет,,200.0
2020,человек,,16-17 лет,,247.0
2015,человек,мужчина,16-17 лет,,100.0
2016,человек,мужчина,16-17 лет,,90.0
2017,человек,мужчина,16-17 лет,,92.0
2018,человек,мужчина,16-17 лет,,114.0
2019,человек,мужчина,16-17 лет,,105.0
2020,человек,мужчина,16-17 лет,,131.0
2015,человек,женщина,16-17 лет,,104.0
2016,человек,женщина,16-17 лет,,89.0
2017,человек,женщина,16-17 лет,,106.0
2018,человек,женщина,16-17 лет,,117.0
2019,человек,женщина,16-17 лет,,95.0
2020,человек,женщина,16-17 лет,,116.0
2015,%,,,всего к населению соответствующего возраста,0.12
2016,%,,,всего к населению соответствующего возраста,0.12
2017,%,,,всего к населению соответствующего возраста,0.12
2018,%,,,всего к населению соответствующего возраста,0.11
2019,%,,,всего к населению соответствующего возраста,0.11
2020,%,,,всего к населению соответствующего возраста,0.11
2015,%,мужчина,,всего к населению соответствующего возраста,0.12
2016,%,мужчина,,всего к населению соответствующего возраста,0.12
2017,%,мужчина,,всего к населению соответствующего возраста,0.12
2018,%,мужчина,,всего к населению соответствующего возраста,0.11
2019,%,мужчина,,всего к населению соответствующего возраста,0.11
2020,%,мужчина,,всего к населению соответствующего возраста,0.11
2015,%,женщина,,всего к населению соответствующего возраста,0.13
2016,%,женщина,,всего к населению соответствующего возраста,0.11
2017,%,женщина,,всего к населению соответствующего возраста,0.12
2018,%,женщина,,всего к населению соответствующего возраста,0.11
2019,%,женщина,,всего к населению соответствующего возраста,0.11
2020,%,женщина,,всего к населению соответствующего возраста,0.1
2015,%,,до 1 года,,0.16
2016,%,,до 1 года,,0.12
2017,%,,до 1 года,,0.16
2018,%,,до 1 года,,0.13
2019,%,,до 1 года,,0.15
2020,%,,до 1 года,,0.12
2015,%,мужчина,до 1 года,,0.15
2016,%,мужчина,до 1 года,,0.12
2017,%,мужчина,до 1 года,,0.14
2018,%,мужчина,до 1 года,,0.14
2019,%,мужчина,до 1 года,,0.13
2020,%,мужчина,до 1 года,,0.13
2015,%,женщина,до 1 года,,0.17
2016,%,женщина,до 1 года,,0.11
2017,%,женщина,до 1 года,,0.18
2018,%,женщина,до 1 года,,0.13
2019,%,женщина,до 1 года,,0.18
2020,%,женщина,до 1 года,,0.1
2015,%,,1-6 лет,,0.08
2016,%,,1-6 лет,,0.08
2017,%,,1-6 лет,,0.07
2018,%,,1-6 лет,,0.07
2019,%,,1-6 лет,,0.07
2020,%,,1-6 лет,,0.06
2015,%,мужчина,1-6 лет,,0.08
2016,%,мужчина,1-6 лет,,0.09
2017,%,мужчина,1-6 лет,,0.07
2018,%,мужчина,1-6 лет,,0.07
2019,%,мужчина,1-6 лет,,0.07
2020,%,мужчина,1-6 лет,,0.06
2015,%,женщина,1-6 лет,,0.08
2016,%,женщина,1-6 лет,,0.08
2017,%,женщина,1-6 лет,,0.06
2018,%,женщина,1-6 лет,,0.07
2019,%,женщина,1-6 лет,,0.06
2020,%,женщина,1-6 лет,,0.05
2015,%,,7-9 лет,,0.13
2016,%,,7-9 лет,,0.12
2017,%,,7-9 лет,,0.14
2018,%,,7-9 лет,,0.11
2019,%,,7-9 лет,,0.11
2020,%,,7-9 лет,,0.1
2015,%,мужчина,7-9 лет,,0.13
2016,%,мужчина,7-9 лет,,0.12
2017,%,мужчина,7-9 лет,,0.15
2018,%,мужчина,7-9 лет,,0.12
2019,%,мужчина,7-9 лет,,0.12
2020,%,мужчина,7-9 лет,,0.1
2015,%,женщина,7-9 лет,,0.13
2016,%,женщина,7-9 лет,,0.12
2017,%,женщина,7-9 лет,,0.13
2018,%,женщина,7-9 лет,,0.1
2019,%,женщина,7-9 лет,,0.11
2020,%,женщина,7-9 лет,,0.09
2015,%,,10-15 лет,,0.12
2016,%,,10-15 лет,,0.11
2017,%,,10-15 лет,,0.1
2018,%,,10-15 лет,,0.09
2019,%,,10-15 лет,,0.09
2020,%,,10-15 лет,,0.09
2015,%,мужчина,10-15 лет,,0.12
2016,%,мужчина,10-15 лет,,0.12
2017,%,мужчина,10-15 лет,,0.11
2018,%,мужчина,10-15 лет,,0.09
2019,%,мужчина,10-15 лет,,0.09
2020,%,мужчина,10-15 лет,,0.09
2015,%,женщина,10-15 лет,,0.11
2016,%,женщина,10-15 лет,,0.1
2017,%,женщина,10-15 лет,,0.09
2018,%,женщина,10-15 лет,,0.08
2019,%,женщина,10-15 лет,,0.08
2020,%,женщина,10-15 лет,,0.08
2015,%,,16-17 лет,,0.29
2016,%,,16-17 лет,,0.26
2017,%,,16-17 лет,,0.3
2018,%,,16-17 лет,,0.36
2019,%,,16-17 лет,,0.3
2020,%,,16-17 лет,,0.35
2015,%,мужчина,16-17 лет,,0.27
2016,%,мужчина,16-17 лет,,0.25
2017,%,мужчина,16-17 лет,,0.26
2018,%,мужчина,16-17 лет,,0.33
2019,%,мужчина,16-17 лет,,0.29
2020,%,мужчина,16-17 лет,,0.34
2015,%,женщина,16-17 лет,,0.31
2016,%,женщина,16-17 лет,,0.28
2017,%,женщина,16-17 лет,,0.34
2018,%,женщина,16-17 лет,,0.39
2019,%,женщина,16-17 лет,,0.3
2020,%,женщина,16-17 лет,,0.35
2021,человек,,,,740.0
2021,человек,мужчина,,,406.0
2021,человек,женщина,,,334.0
2021,человек,,до 1 года,,38.0
2021,человек,мужчина,до 1 года,,20.0
2021,человек,женщина,до 1 года,,18.0
2021,человек,,1-6 лет,,103.0
2021,человек,мужчина,1-6 лет,,58.0
2021,человек,женщина,1-6 лет,,45.0
2021,человек,,7-9 лет,,77.0
2021,человек,мужчина,7-9 лет,,39.0
2021,человек,женщина,7-9 лет,,38.0
2021,человек,,10-15 лет,,245.0
2021,человек,мужчина,10-15 лет,,139.0
2021,человек,женщина,10-15 лет,,106.0
2021,человек,,16-17 лет,,277.0
2021,человек,мужчина,16-17 лет,,150.0
2021,человек,женщина,16-17 лет,,127.0
2021,%,,,всего к населению соответствующего возраста,0.1
2021,%,мужчина,,всего к населению соответствующего возраста,0.11
2021,%,женщина,,всего к населению соответствующего возраста,0.1
2021,%,,до 1 года,,0.1
2021,%,мужчина,до 1 года,,0.11
2021,%,женщина,до 1 года,,0.1
2021,%,,1-6 лет,,0.05
2021,%,мужчина,1-6 лет,,0.05
2021,%,женщина,1-6 лет,,0.04
2021,%,,7-9 лет,,0.06
2021,%,мужчина,7-9 лет,,0.06
2021,%,женщина,7-9 лет,,0.06
2021,%,,10-15 лет,,0.1
2021,%,мужчина,10-15 лет,,0.11
2021,%,женщина,10-15 лет,,0.09
2021,%,,16-17 лет,,0.38
2021,%,мужчина,16-17 лет,,0.38
2021,%,женщина,16-17 лет,,0.38
2022,человек,,,,746.0
2022,человек,мужчина,,,389.0
2022,человек,женщина,,,357.0
2022,человек,,до 1 года,,33.0
2022,человек,мужчина,до 1 года,,15.0
2022,человек,женщина,до 1 года,,18.0
2022,человек,,1-6 лет,,126.0
2022,человек,мужчина,1-6 лет,,69.0
2022,человек,женщина,1-6 лет,,57.0
2022,человек,,7-9 лет,,85.0
2022,человек,мужчина,7-9 лет,,44.0
2022,человек,женщина,7-9 лет,,41.0
2022,человек,,10-15 лет,,244.0
2022,человек,мужчина,10-15 лет,,128.0
2022,человек,женщина,10-15 лет,,116.0
2022,человек,,16-17 лет,,276.0
2022,человек,мужчина,16-17 лет,,151.0
2022,человек,женщина,16-17 лет,,125.0
2022,%,,,всего к населению соответствующего возраста,0.1
2022,%,мужчина,,всего к населению соответствующего возраста,0.1
2022,%,женщина,,всего к населению соответствующего возраста,0.11
2022,%,,до 1 года,,0.09
2022,%,мужчина,до 1 года,,0.08
2022,%,женщина,до 1 года,,0.11
2022,%,,1-6 лет,,0.06
2022,%,мужчина,1-6 лет,,0.06
2022,%,женщина,1-6 лет,,0.05
2022,%,,7-9 лет,,0.07
2022,%,мужчина,7-9 лет,,0.07
2022,%,женщина,7-9 лет,,0.07
2022,%,,10-15 лет,,0.1
2022,%,мужчина,10-15 лет,,0.1
2022,%,женщина,10-15 лет,,0.1
2022,%,,16-17 лет,,0.37
2022,%,мужчина,16-17 лет,,0.38
2022,%,женщина,16-17 лет,,0.36
2023,человек,,,,668.0
2023,человек,мужчина,,,363.0
2023,человек,женщина,,,305.0
2023,человек,,до 1 года,,47.0
2023,человек,мужчина,до 1 года,,21.0
2023,человек,женщина,до 1 года,,26.0
2023,человек,,1-6 лет,,85.0
2023,человек,мужчина,1-6 лет,,51.0
2023,человек,женщина,1-6 лет,,34.0
2023,человек,,7-9 лет,,78.0
2023,человек,мужчина,7-9 лет,,42.0
2023,человек,женщина,7-9 лет,,36.0
2023,человек,,10-15 лет,,219.0
2023,человек,мужчина,10-15 лет,,118.0
2023,человек,женщина,10-15 лет,,101.0
2023,человек,,16-17 лет,,239.0
2023,человек,мужчина,16-17 лет,,131.0
2023,человек,женщина,16-17 лет,,108.0
2023,%,,,всего к населению соответствующего возраста,0.1
2023,%,мужчина,,всего к населению соответствующего возраста,0.1
2023,%,женщина,,всего к населению соответствующего возраста,0.1
2023,%,,до 1 года,,0.13
2023,%,мужчина,до 1 года,,0.11
2023,%,женщина,до 1 года,,0.15
2023,%,,1-6 лет,,0.04
2023,%,мужчина,1-6 лет,,0.05
2023,%,женщина,1-6 лет,,0.03
2023,%,,7-9 лет,,0.07
2023,%,мужчина,7-9 лет,,0.07
2023,%,женщина,7-9 лет,,0.06
2023,%,,10-15 лет,,0.09
2023,%,мужчина,10-15 лет,,0.1
2023,%,женщина,10-15 лет,,0.09
2023,%,,16-17 лет,,0.35
2023,%,мужчина,16-17 лет,,0.37
2023,%,женщина,16-17 лет,,0.33
