Year,Units,Пол,Категория,Value
2015,человек,,,469.0
2016,человек,,,478.0
2017,человек,,,474.0
2018,человек,,,363.0
2019,человек,,,351.0
2020,человек,,,367.0
2015,человек,мужчина,,256.0
2016,человек,мужчина,,273.0
2017,человек,мужчина,,262.0
2018,человек,мужчина,,208.0
2019,человек,мужчина,,199.0
2020,человек,мужчина,,218.0
2015,человек,женщина,,213.0
2016,человек,женщина,,205.0
2017,человек,женщина,,212.0
2018,человек,женщина,,155.0
2019,человек,женщина,,152.0
2020,человек,женщина,,149.0
2015,%,,всего к детям в возрасте 0-17 лет с имеющие инвалидность,6.01
2016,%,,всего к детям в возрасте 0-17 лет с имеющие инвалидность,5.85
2017,%,,всего к детям в возрасте 0-17 лет с имеющие инвалидность,5.76
2018,%,,всего к детям в возрасте 0-17 лет с имеющие инвалидность,4.43
2019,%,,всего к детям в возрасте 0-17 лет с имеющие инвалидность,4.07
2020,%,,всего к детям в возрасте 0-17 лет с имеющие инвалидность,4.18
2015,%,мужчина,всего к детям в возрасте 0-17 лет с имеющие инвалидность,4.76
2016,%,мужчина,всего к детям в возрасте 0-17 лет с имеющие инвалидность,4.89
2017,%,мужчина,всего к детям в возрасте 0-17 лет с имеющие инвалидность,4.65
2018,%,мужчина,всего к детям в возрасте 0-17 лет с имеющие инвалидность,3.7
2019,%,мужчина,всего к детям в возрасте 0-17 лет с имеющие инвалидность,3.36
2020,%,мужчина,всего к детям в возрасте 0-17 лет с имеющие инвалидность,3.62
2015,%,женщина,всего к детям в возрасте 0-17 лет с имеющие инвалидность,8.78
2016,%,женщина,всего к детям в возрасте 0-17 лет с имеющие инвалидность,7.89
2017,%,женщина,всего к детям в возрасте 0-17 лет с имеющие инвалидность,8.17
2018,%,женщина,всего к детям в возрасте 0-17 лет с имеющие инвалидность,6.03
2019,%,женщина,всего к детям в возрасте 0-17 лет с имеющие инвалидность,5.61
2020,%,женщина,всего к детям в возрасте 0-17 лет с имеющие инвалидность,5.4
2021,человек,,,499.0
2021,человек,мужчина,,285.0
2021,человек,женщина,,214.0
2021,%,,всего к детям в возрасте 0-17 лет с имеющие инвалидность,5.43
2021,%,мужчина,всего к детям в возрасте 0-17 лет с имеющие инвалидность,4.54
2021,%,женщина,всего к детям в возрасте 0-17 лет с имеющие инвалидность,7.37
2022,человек,,,528.0
2022,человек,мужчина,,298.0
2022,человек,женщина,,230.0
2022,%,,всего к детям в возрасте 0-17 лет с имеющие инвалидность,5.66
2022,%,мужчина,всего к детям в возрасте 0-17 лет с имеющие инвалидность,7.93
2022,%,женщина,всего к детям в возрасте 0-17 лет с имеющие инвалидность,7.77
2023,человек,,,492.0
2023,человек,мужчина,,280.0
2023,человек,женщина,,212.0
2023,%,,,5.77
2023,%,мужчина,,4.83
2023,%,женщина,,7.79
2024,%,,,218.0
2024,%,boys,,121.0
2024,%,girls,,97.0
2024,%,,,3.36
2024,%,boys,,2.76
2024,%,girls,,4.6
