Year,Units,Категория,Value
2015,"1,000 тонна",Потери продовольствия,579.9
2016,"1,000 тонна",Потери продовольствия,523.4
2017,"1,000 тонна",Потери продовольствия,499.0
2018,"1,000 тонна",Потери продовольствия,363.0
2019,"1,000 тонна",Потери продовольствия,273.8
2020,"1,000 тонна",Потери продовольствия,256.1
2021,"1,000 тонна",Потери продовольствия,217.2
2022,"1,000 тонна",Потери продовольствия,211.9
2023,"1,000 тонна",Потери продовольствия,232.9
2015,%,Доля потерь продовольствия в общем объеме,4.0
2016,%,Доля потерь продовольствия в общем объеме,3.9
2017,%,Доля потерь продовольствия в общем объеме,3.9
2018,%,Доля потерь продовольствия в общем объеме,3.7
2019,%,Доля потерь продовольствия в общем объеме,3.3
2020,%,Доля потерь продовольствия в общем объеме,3.0
2021,%,Доля потерь продовольствия в общем объеме,2.6
2022,%,Доля потерь продовольствия в общем объеме,2.7
2023,%,Доля потерь продовольствия в общем объеме,2.9
