Year,Series,Units,Value
2015,Субсидии на ископаемое топливо (потребление и производство) в процентах от общего ВВП,%,0.283
2016,Субсидии на ископаемое топливо (потребление и производство) в процентах от общего ВВП,%,0.196
2017,Субсидии на ископаемое топливо (потребление и производство) в процентах от общего ВВП,%,0.184
2018,Субсидии на ископаемое топливо (потребление и производство) в процентах от общего ВВП,%,0.035
2019,Субсидии на ископаемое топливо (потребление и производство) в процентах от общего ВВП,%,0.032
2020,Субсидии на ископаемое топливо (потребление и производство) в процентах от общего ВВП,%,0.092
2015,Субсидии на ископаемое топливо (потребление и производство),billions of nominal USD,0.032
2016,Субсидии на ископаемое топливо (потребление и производство),billions of nominal USD,0.022
2017,Субсидии на ископаемое топливо (потребление и производство),billions of nominal USD,0.022
2018,Субсидии на ископаемое топливо (потребление и производство),billions of nominal USD,0.004
2019,Субсидии на ископаемое топливо (потребление и производство),billions of nominal USD,0.004
2020,Субсидии на ископаемое топливо (потребление и производство),billions of nominal USD,0.012
2015,Субсидии на ископаемое топливо (потребление и производство) на душу населения,номинальные доллары США,10.8
2016,Субсидии на ископаемое топливо (потребление и производство) на душу населения,номинальные доллары США,7.5
2017,Субсидии на ископаемое топливо (потребление и производство) на душу населения,номинальные доллары США,7.6
2018,Субсидии на ископаемое топливо (потребление и производство) на душу населения,номинальные доллары США,1.5
2019,Субсидии на ископаемое топливо (потребление и производство) на душу населения,номинальные доллары США,1.5
2020,Субсидии на ископаемое топливо (потребление и производство) на душу населения,номинальные доллары США,4.0
