Year,Units,Тип,Value
2015,%,общая площадь особо охраняемых природных территорий в процентах от площади страны,13.0
2015,единица,общее количество государственных заповедников (категория Ib),3.0
2015,%,общая площадь государственных заповедников (категория Iб) в % от территории страны,1.0
2015,единица,общее количество национальных парков (категория II),4.0
2015,%,общая площадь национальных парков (категория II ) в % от территории страны,8.0
2015,единица,общее количество государственных заповедников (категория IV),27.0
2015,%,общая площадь государственных заповедников (категория IV) в % от территории страны,4.0
2015,единица,общее количество памятников природы (категория III ),232.0
2016,%,общая площадь особо охраняемых природных территорий в процентах от площади страны,13.0
2016,единица,общее количество государственных заповедников (категория Ib),3.0
2016,%,общая площадь государственных заповедников (категория Iб) в % от территории страны,1.0
2016,единица,общее количество национальных парков (категория II),4.0
2016,%,общая площадь национальных парков (категория II ) в % от территории страны,8.0
2016,единица,общее количество государственных заповедников (категория IV),27.0
2016,%,общая площадь государственных заповедников (категория IV) в % от территории страны,4.0
2016,единица,общее количество памятников природы (категория III ),232.0
2017,%,общая площадь особо охраняемых природных территорий в процентах от площади страны,13.0
2017,единица,общее количество государственных заповедников (категория Ib),3.0
2017,%,общая площадь государственных заповедников (категория Iб) в % от территории страны,1.0
2017,единица,общее количество национальных парков (категория II),4.0
2017,%,общая площадь национальных парков (категория II ) в % от территории страны,8.0
2017,единица,общее количество государственных заповедников (категория IV),27.0
2017,%,общая площадь государственных заповедников (категория IV) в % от территории страны,4.0
2017,единица,общее количество памятников природы (категория III ),232.0
2018,%,общая площадь особо охраняемых природных территорий в процентах от площади страны,13.0
2018,единица,общее количество государственных заповедников (категория Ib),3.0
2018,%,общая площадь государственных заповедников (категория Iб) в % от территории страны,1.0
2018,единица,общее количество национальных парков (категория II),4.0
2018,%,общая площадь национальных парков (категория II ) в % от территории страны,8.0
2018,единица,общее количество государственных заповедников (категория IV),27.0
2018,%,общая площадь государственных заповедников (категория IV) в % от территории страны,4.0
2018,единица,общее количество памятников природы (категория III ),232.0
2019,%,общая площадь особо охраняемых природных территорий в процентах от площади страны,13.0
2019,единица,общее количество государственных заповедников (категория Ib),3.0
2019,%,общая площадь государственных заповедников (категория Iб) в % от территории страны,1.0
2019,единица,общее количество национальных парков (категория II),4.0
2019,%,общая площадь национальных парков (категория II ) в % от территории страны,8.0
2019,единица,общее количество государственных заповедников (категория IV),27.0
2019,%,общая площадь государственных заповедников (категория IV) в % от территории страны,4.0
2019,единица,общее количество памятников природы (категория III ),232.0
2020,%,общая площадь особо охраняемых природных территорий в процентах от площади страны,13.0
2020,единица,общее количество государственных заповедников (категория Ib),3.0
2020,%,общая площадь государственных заповедников (категория Iб) в % от территории страны,1.0
2020,единица,общее количество национальных парков (категория II),4.0
2020,%,общая площадь национальных парков (категория II ) в % от территории страны,8.0
2020,единица,общее количество государственных заповедников (категория IV),27.0
2020,%,общая площадь государственных заповедников (категория IV) в % от территории страны,4.0
2020,единица,общее количество памятников природы (категория III ),232.0
2021,%,общая площадь особо охраняемых природных территорий в процентах от площади страны,13.0
2021,единица,общее количество государственных заповедников (категория Ib),3.0
2021,%,общая площадь государственных заповедников (категория Iб) в % от территории страны,1.0
2021,единица,общее количество национальных парков (категория II),4.0
2021,%,общая площадь национальных парков (категория II ) в % от территории страны,8.0
2021,единица,общее количество государственных заповедников (категория IV),27.0
2021,%,общая площадь государственных заповедников (категория IV) в % от территории страны,4.0
2021,единица,общее количество памятников природы (категория III ),232.0
2022,%,общая площадь особо охраняемых природных территорий в процентах от площади страны,13.0
2022,единица,общее количество государственных заповедников (категория Ib),3.0
2022,%,общая площадь государственных заповедников (категория Iб) в % от территории страны,1.0
2022,единица,общее количество национальных парков (категория II),4.0
2022,%,общая площадь национальных парков (категория II ) в % от территории страны,8.0
2022,единица,общее количество государственных заповедников (категория IV),27.0
2022,%,общая площадь государственных заповедников (категория IV) в % от территории страны,4.0
2022,единица,общее количество памятников природы (категория III ),233.0
2023,%,общая площадь особо охраняемых природных территорий в процентах от площади страны,13.0
2023,единица,общее количество государственных заповедников (категория Ib),3.0
2023,%,общая площадь государственных заповедников (категория Iб) в % от территории страны,1.0
2023,единица,общее количество национальных парков (категория II),4.0
2023,%,общая площадь национальных парков (категория II ) в % от территории страны,8.0
2023,единица,общее количество государственных заповедников (категория IV),27.0
2023,%,общая площадь государственных заповедников (категория IV) в % от территории страны,4.0
2023,единица,общее количество памятников природы (категория III ),233.0
2024,%,общая площадь особо охраняемых природных территорий в процентах от площади страны,12.9
2024,единица,общее количество государственных заповедников (категория Ib),3.0
2024,%,общая площадь государственных заповедников (категория Iб) в % от территории страны,1.2
2024,единица,общее количество национальных парков (категория II),4.0
2024,%,общая площадь национальных парков (категория II ) в % от территории страны,7.8
2024,единица,общее количество государственных заповедников (категория IV),24.0
2024,%,общая площадь государственных заповедников (категория IV) в % от территории страны,3.9
2024,единица,общее количество памятников природы (категория III ),233.0
