Year,Сервисы,Value
2015,водоснабжение,83.0
2016,водоснабжение,85.8
2017,водоснабжение,85.8
2018,водоснабжение,87.3
2019,водоснабжение,89.6
2020,водоснабжение,94.0
2015,канализация,72.3
2016,канализация,70.8
2017,канализация,74.2
2018,канализация,76.5
2019,канализация,94.6
2020,канализация,97.5
2015,сбор мусора,78.2
2016,сбор мусора,79.8
2017,сбор мусора,76.4
2018,сбор мусора,78.7
2019,сбор мусора,82.3
2020,сбор мусора,96.4
2015,телефон стационарный,61.1
2016,телефон стационарный,57.1
2017,телефон стационарный,53.1
2018,телефон стационарный,49.2
2019,телефон стационарный,96.7
2020,телефон стационарный,98.8
2015,блок питания,97.9
2016,блок питания,98.0
2017,блок питания,98.4
2018,блок питания,98.9
2019,блок питания,97.7
2020,блок питания,98.7
2015,почта,80.6
2016,почта,76.5
2017,почта,75.8
2018,почта,73.5
2019,почта,96.3
2020,почта,97.3
2015,банковские работы,74.4
2016,банковские работы,70.8
2017,банковские работы,71.9
2018,банковские работы,73.7
2019,банковские работы,86.1
2020,банковские работы,88.9
2015,орошение,17.6
2016,орошение,23.7
2017,орошение,22.8
2018,орошение,21.5
2019,орошение,
2020,орошение,
2015,здравоохранение,61.5
2016,здравоохранение,61.4
2017,здравоохранение,63.6
2018,здравоохранение,62.3
2019,здравоохранение,78.1
2020,здравоохранение,87.1
2015,образование,52.3
2016,образование,53.8
2017,образование,56.3
2018,образование,54.9
2019,образование,85.1
2020,образование,90.5
2015,общественный транспорт,81.2
2016,общественный транспорт,82.2
2017,общественный транспорт,76.6
2018,общественный транспорт,72.1
2019,общественный транспорт,75.9
2020,общественный транспорт,82.8
