Year,Units,Series,Должность,Пол,Возраст,Тип,Value
2024,Соотношение,"б)Доля должностей в государственной службе (исключая законодательные и судебные), сравнимая с национальным распределением, в разбивке по полу, возрасту, признаку инвалидности и группам населения","Численность государственных служащих, всего",женщина,,,0.95
2024,Соотношение,"б)Доля должностей в государственной службе (исключая законодательные и судебные), сравнимая с национальным распределением, в разбивке по полу, возрасту, признаку инвалидности и группам населения","Численность государственных служащих, всего",женщина,18-24,,1.51
2024,Соотношение,"б)Доля должностей в государственной службе (исключая законодательные и судебные), сравнимая с национальным распределением, в разбивке по полу, возрасту, признаку инвалидности и группам населения","Численность государственных служащих, всего",женщина,25-34,,1.4
2024,Соотношение,"б)Доля должностей в государственной службе (исключая законодательные и судебные), сравнимая с национальным распределением, в разбивке по полу, возрасту, признаку инвалидности и группам населения","Численность государственных служащих, всего",женщина,35-44,,0.83
2024,Соотношение,"б)Доля должностей в государственной службе (исключая законодательные и судебные), сравнимая с национальным распределением, в разбивке по полу, возрасту, признаку инвалидности и группам населения","Численность государственных служащих, всего",женщина,45-54,,0.98
2024,Соотношение,"б)Доля должностей в государственной службе (исключая законодательные и судебные), сравнимая с национальным распределением, в разбивке по полу, возрасту, признаку инвалидности и группам населения","Численность государственных служащих, всего",женщина,55-64,,0.81
2024,Соотношение,"б)Доля должностей в государственной службе (исключая законодательные и судебные), сравнимая с национальным распределением, в разбивке по полу, возрасту, признаку инвалидности и группам населения","Численность государственных служащих, всего",женщина,65-74,,0.44
2024,Соотношение,"б)Доля должностей в государственной службе (исключая законодательные и судебные), сравнимая с национальным распределением, в разбивке по полу, возрасту, признаку инвалидности и группам населения","Численность государственных служащих, всего",женщина,,С инвалидностью,0.92
2024,Соотношение,"б)Доля должностей в государственной службе (исключая законодательные и судебные), сравнимая с национальным распределением, в разбивке по полу, возрасту, признаку инвалидности и группам населения",Руководители и должностные лица органов государственного управления и прочие руководители,женщина,,,0.61
2024,Соотношение,"с) Доли должностей в судебной власти (национальной и местной), по различным характеристикам, по сравнению с национальными распределениями",Суды первой инстанции общей юрисдикции и специализированные суды,женщина,,,0.62
2024,Соотношение,"с) Доли должностей в судебной власти (национальной и местной), по различным характеристикам, по сравнению с национальными распределениями",Конституционный Суд,женщина,,,0.21
2024,Соотношение,"с) Доли должностей в судебной власти (национальной и местной), по различным характеристикам, по сравнению с национальными распределениями",Вышестоящие суды (Кассационный и апелляционные суды),женщина,,,0.59
2024,Соотношение,"б)Доля должностей в государственной службе (исключая законодательные и судебные), сравнимая с национальным распределением, в разбивке по полу, возрасту, признаку инвалидности и группам населения","Офисные служащие и операторы, работающие с клавиатурой",женщина,,,1.2
2024,Соотношение,"б)Доля должностей в государственной службе (исключая законодательные и судебные), сравнимая с национальным распределением, в разбивке по полу, возрасту, признаку инвалидности и группам населения",Специалисты средней квалификации в сфере предпринимательской деятельности и администрирования,женщина,,,1.15
2024,Соотношение,"б)Доля должностей в государственной службе (исключая законодательные и судебные), сравнимая с национальным распределением, в разбивке по полу, возрасту, признаку инвалидности и группам населения",Высококвалифицированные специалисты в сфере администрирования,женщина,,,0.97
2024,Соотношение,"с) Доли должностей в судебной власти (национальной и местной), по различным характеристикам, по сравнению с национальными распределениями",Судьи,женщина,,,0.6
