Year,Units,Индикатор,Value
2016,%,"Индекс потребителльских цен, продовольственные товары (2015 = 100)",-1.4
2017,%,"Индекс потребителльских цен, продовольственные товары (2015 = 100)",-0.4
2018,%,"Индекс потребителльских цен, продовольственные товары (2015 = 100)",2.1
2019,%,"Индекс потребителльских цен, продовольственные товары (2015 = 100)",3.5
2020,%,"Индекс потребителльских цен, продовольственные товары (2015 = 100)",4.8
2021,%,"Индекс потребителльских цен, продовольственные товары (2015 = 100)",12.3
2022,%,"Индекс потребителльских цен, продовольственные товары (2015 = 100)",22.0
2023,%,"Индекс потребителльских цен, продовольственные товары (2015 = 100)",24.4
2024,%,"Индекс потребителльских цен, продовольственные товары (2015 = 100)",24.8
2015,index,"Индикатор аномалий цен на продукты питания (IFPA) по индексу потребительских цен на продукты питания, всего",0.75
2016,index,"Индикатор аномалий цен на продукты питания (IFPA) по индексу потребительских цен на продукты питания, всего",0.59
2017,index,"Индикатор аномалий цен на продукты питания (IFPA) по индексу потребительских цен на продукты питания, всего",1.06
