Year,Units,Индикатор,Value
2016,%,"Индекс потребителльских цен, продовольственные товары (2015 = 100)",-3.26
2017,%,"Индекс потребителльских цен, продовольственные товары (2015 = 100)",0.66
2018,%,"Индекс потребителльских цен, продовольственные товары (2015 = 100)",3.01
2019,%,"Индекс потребителльских цен, продовольственные товары (2015 = 100)",4.94
2020,%,"Индекс потребителльских цен, продовольственные товары (2015 = 100)",5.23
2021,%,"Индекс потребителльских цен, продовольственные товары (2015 = 100)",17.03
2022,%,"Индекс потребителльских цен, продовольственные товары (2015 = 100)",32.19
2023,%,"Индекс потребителльских цен, продовольственные товары (2015 = 100)",31.54
2024,%,"Индекс потребителльских цен, продовольственные товары (2015 = 100)",28.93
2015,индекс,"Индикатор аномалий цен на продукты питания (IFPA) по индексу потребительских цен на продукты питания, всего",-0.75
2016,индекс,"Индикатор аномалий цен на продукты питания (IFPA) по индексу потребительских цен на продукты питания, всего",-0.59
2017,индекс,"Индикатор аномалий цен на продукты питания (IFPA) по индексу потребительских цен на продукты питания, всего",1.06
2018,индекс,"Индикатор аномалий цен на продукты питания (IFPA) по индексу потребительских цен на продукты питания, всего",-0.11
2019,индекс,"Индикатор аномалий цен на продукты питания (IFPA) по индексу потребительских цен на продукты питания, всего",-0.1
2020,индекс,"Индикатор аномалий цен на продукты питания (IFPA) по индексу потребительских цен на продукты питания, всего",-0.27
2021,индекс,"Индикатор аномалий цен на продукты питания (IFPA) по индексу потребительских цен на продукты питания, всего",1.68
2022,индекс,"Индикатор аномалий цен на продукты питания (IFPA) по индексу потребительских цен на продукты питания, всего",0.91
2023,индекс,"Индикатор аномалий цен на продукты питания (IFPA) по индексу потребительских цен на продукты питания, всего",-1.12
2015,индекс,"Индикатор аномалий цен на продовольствие (IFPA), пшеница",-0.52
2016,индекс,"Индикатор аномалий цен на продовольствие (IFPA), пшеница",-0.49
2017,индекс,"Индикатор аномалий цен на продовольствие (IFPA), пшеница",0.02
2018,индекс,"Индикатор аномалий цен на продовольствие (IFPA), пшеница",-0.65
2019,индекс,"Индикатор аномалий цен на продовольствие (IFPA), пшеница",0.49
2020,индекс,"Индикатор аномалий цен на продовольствие (IFPA), пшеница",0.71
2021,индекс,"Индикатор аномалий цен на продовольствие (IFPA), пшеница",0.28
2022,индекс,"Индикатор аномалий цен на продовольствие (IFPA), пшеница",-0.01
2023,индекс,"Индикатор аномалий цен на продовольствие (IFPA), пшеница",-2.23
2024,индекс,"Индикатор аномалий цен на продовольствие (IFPA), пшеница",-0.23
2025,%,"Индекс потребителльских цен, продовольственные товары (2015 = 100)",35.38
2024,индекс,"Индикатор аномалий цен на продукты питания (IFPA) по индексу потребительских цен на продукты питания, всего",-0.64
2025,индекс,"Индикатор аномалий цен на продовольствие (IFPA), пшеница",0.17
