Year,Units,Пол,Value
2015,"на 1,000 живорожденных",ընդամենը,10.4
2016,"на 1,000 живорожденных",ընդամենը,10.1
2017,"на 1,000 живорожденных",ընդամենը,9.6
2018,"на 1,000 живорожденных",ընդամենը,8.7
2019,"на 1,000 живорожденных",ընդամենը,7.5
2020,"на 1,000 живорожденных",ընդամենը,8.2
2021,"на 1,000 живорожденных",ընդամենը,8.1
2015,"на 1,000 живорожденных",տղա,11.2
2016,"на 1,000 живорожденных",տղա,11.5
2017,"на 1,000 живорожденных",տղա,10.6
2018,"на 1,000 живорожденных",տղա,9.1
2019,"на 1,000 живорожденных",տղա,8.1
2020,"на 1,000 живорожденных",տղա,9.2
2021,"на 1,000 живорожденных",տղա,9.0
2015,"на 1,000 живорожденных",աղջիկ,9.5
2016,"на 1,000 живорожденных",աղջիկ,8.5
2017,"на 1,000 живорожденных",աղջիկ,8.5
2018,"на 1,000 живорожденных",աղջիկ,8.1
2019,"на 1,000 живорожденных",աղջիկ,6.9
2020,"на 1,000 живорожденных",աղջիկ,7.1
2021,"на 1,000 живорожденных",աղջիկ,7.1
