Year,Индикатор,Units,Value
2015,Количество пациентов с лейшманиозом,человек,18.0
2016,Количество пациентов с лейшманиозом,человек,18.0
2017,Количество пациентов с лейшманиозом,человек,17.0
2018,Количество пациентов с лейшманиозом,человек,17.0
2019,Количество пациентов с лейшманиозом,человек,17.0
2020,Количество пациентов с лейшманиозом,человек,16.0
2021,Количество пациентов с лейшманиозом,человек,11.0
2022,Количество пациентов с лейшманиозом,человек,14.0
2023,Количество пациентов с лейшманиозом,человек,30.0
2015,Случаи смерти от лейшманиоза,случай,0.0
