Year,Units,Value
2015,"на 100,000 населения",11.5
2016,"на 100,000 населения",8.9
2017,"на 100,000 населения",9.4
2018,"на 100,000 населения",11.6
2019,"на 100,000 населения",11.5
2020,"на 100,000 населения",11.8
2015,человек,346.0
2016,человек,267.0
2017,человек,279.0
2018,человек,343.0
2019,человек,341.0
2020,человек,348.0
2021,человек,368.0
2021,"на 100,000 населения",12.4
2022,человек,321.0
2022,"на 100,000 населения",10.8
2023,"на 100,000 населения",12.8
2023,человек,378.0
2024,"на 100,000 населения",11.0
2024,человек,333.0
