Year,Units,Тип,Расположение,Value
2015,%,10% от ежедневного потребления  в домашних хозяйствах (на душу населения) (%),,22.43
2016,%,10% от ежедневного потребления  в домашних хозяйствах (на душу населения) (%),,19.29
2017,%,10% от ежедневного потребления  в домашних хозяйствах (на душу населения) (%),,20.98
2018,%,10% от ежедневного потребления  в домашних хозяйствах (на душу населения) (%),,20.78
2019,%,10% от ежедневного потребления  в домашних хозяйствах (на душу населения) (%),,22.49
2020,%,10% от ежедневного потребления  в домашних хозяйствах (на душу населения) (%),,21.0
2015,%,10% от ежедневного потребления  в домашних хозяйствах (на душу населения) (%),село,16.8
2016,%,10% от ежедневного потребления  в домашних хозяйствах (на душу населения) (%),село,14.71
2017,%,10% от ежедневного потребления  в домашних хозяйствах (на душу населения) (%),село,15.91
2018,%,10% от ежедневного потребления  в домашних хозяйствах (на душу населения) (%),село,17.06
2019,%,10% от ежедневного потребления  в домашних хозяйствах (на душу населения) (%),село,20.92
2020,%,10% от ежедневного потребления  в домашних хозяйствах (на душу населения) (%),село,20.2
2015,%,10% от ежедневного потребления  в домашних хозяйствах (на душу населения) (%),город,25.97
2016,%,10% от ежедневного потребления  в домашних хозяйствах (на душу населения) (%),город,22.03
2017,%,10% от ежедневного потребления  в домашних хозяйствах (на душу населения) (%),город,24.29
2018,%,10% от ежедневного потребления  в домашних хозяйствах (на душу населения) (%),город,23.16
2019,%,10% от ежедневного потребления  в домашних хозяйствах (на душу населения) (%),город,23.45
2020,%,10% от ежедневного потребления  в домашних хозяйствах (на душу населения) (%),город,21.6
2015,%,25% от ежедневного потребления  в домашних хозяйствах (на душу населения) (%),,7.58
2016,%,25% от ежедневного потребления  в домашних хозяйствах (на душу населения) (%),,5.75
2017,%,25% от ежедневного потребления  в домашних хозяйствах (на душу населения) (%),,7.09
2018,%,25% от ежедневного потребления  в домашних хозяйствах (на душу населения) (%),,7.35
2019,%,25% от ежедневного потребления  в домашних хозяйствах (на душу населения) (%),,7.86
2020,%,25% от ежедневного потребления  в домашних хозяйствах (на душу населения) (%),,5.8
2015,%,25% от ежедневного потребления  в домашних хозяйствах (на душу населения) (%),село,3.83
2016,%,25% от ежедневного потребления  в домашних хозяйствах (на душу населения) (%),село,3.69
2017,%,25% от ежедневного потребления  в домашних хозяйствах (на душу населения) (%),село,4.56
2018,%,25% от ежедневного потребления  в домашних хозяйствах (на душу населения) (%),село,6.0
2019,%,25% от ежедневного потребления  в домашних хозяйствах (на душу населения) (%),село,8.34
2020,%,25% от ежедневного потребления  в домашних хозяйствах (на душу населения) (%),село,5.2
2015,%,25% от ежедневного потребления  в домашних хозяйствах (на душу населения) (%),город,9.95
2016,%,25% от ежедневного потребления  в домашних хозяйствах (на душу населения) (%),город,6.98
2017,%,25% от ежедневного потребления  в домашних хозяйствах (на душу населения) (%),город,8.75
2018,%,25% от ежедневного потребления  в домашних хозяйствах (на душу населения) (%),город,8.21
2019,%,25% от ежедневного потребления  в домашних хозяйствах (на душу населения) (%),город,7.56
2020,%,25% от ежедневного потребления  в домашних хозяйствах (на душу населения) (%),город,6.1
