Year,Units,Категория,Value
2015,"на 1,000 населения",врачи,4.4
2016,"на 1,000 населения",врачи,4.4
2017,"на 1,000 населения",врачи,4.4
2018,"на 1,000 населения",врачи,4.5
2019,"на 1,000 населения",врачи,4.7
2020,"на 1,000 населения",врачи,4.9
2021,"на 1,000 населения",врачи,4.9
2015,"на 1,000 населения",средний медицинский персонал,5.9
2016,"на 1,000 населения",средний медицинский персонал,5.8
2017,"на 1,000 населения",средний медицинский персонал,5.6
2018,"на 1,000 населения",средний медицинский персонал,5.6
2019,"на 1,000 населения",средний медицинский персонал,5.7
2020,"на 1,000 населения",средний медицинский персонал,5.7
2021,"на 1,000 населения",средний медицинский персонал,5.6
2015,"на 1,000 населения",младший медицинский персонал,1.8
2016,"на 1,000 населения",младший медицинский персонал,1.8
2017,"на 1,000 населения",младший медицинский персонал,1.7
2018,"на 1,000 населения",младший медицинский персонал,1.6
2019,"на 1,000 населения",младший медицинский персонал,1.7
2020,"на 1,000 населения",младший медицинский персонал,1.7
2021,"на 1,000 населения",младший медицинский персонал,1.6
2022,"на 1,000 населения",врачи,5.1
2022,"на 1,000 населения",средний медицинский персонал,5.5
2022,"на 1,000 населения",младший медицинский персонал,1.5
2023,"на 1,000 населения",врачи,4.7
2023,"на 1,000 населения",средний медицинский персонал,5.4
2023,"на 1,000 населения",младший медицинский персонал,1.6
2024,"на 1,000 населения",врачи,4.2
2024,"на 1,000 населения",средний медицинский персонал,5.4
2024,"на 1,000 населения",младший медицинский персонал,1.5
