Year,Units,Уровень образования,Value
2013,%,nачальное,99.4
2013,%,nеполное среднее,97.5
2013,%,pолное среднее,88.8
2014,%,nачальное,99.4
2014,%,nеполное среднее,97.6
2014,%,pолное среднее,88.9
2015,%,nачальное,99.4
2015,%,nеполное среднее,97.6
2015,%,pолное среднее,89.0
2016,%,nачальное,99.4
2016,%,nеполное среднее,97.6
2016,%,pолное среднее,89.2
2017,%,nачальное,99.4
2017,%,nеполное среднее,97.7
2017,%,pолное среднее,89.3
2018,%,nачальное,99.4
2018,%,nеполное среднее,97.7
2018,%,pолное среднее,89.3
2019,%,nачальное,99.4
2019,%,nеполное среднее,97.7
2019,%,pолное среднее,89.6
2020,%,nачальное,99.4
2020,%,nеполное среднее,97.8
2020,%,pолное среднее,89.7
2021,%,nачальное,99.5
2021,%,nеполное среднее,97.8
2021,%,pолное среднее,89.9
