Year,Units,тип образования,Пол,Value
2015,%,общеобразовательная,,86.4
2016,%,общеобразовательная,,86.0
2017,%,общеобразовательная,,85.7
2018,%,общеобразовательная,,83.0
2019,%,общеобразовательная,,83.2
2020,%,общеобразовательная,,83.2
2015,%,общеобразовательная,мужчина,84.6
2016,%,общеобразовательная,мужчина,84.7
2017,%,общеобразовательная,мужчина,84.6
2018,%,общеобразовательная,мужчина,81.4
2019,%,общеобразовательная,мужчина,81.7
2020,%,общеобразовательная,мужчина,81.8
2015,%,общеобразовательная,женщина,88.3
2016,%,общеобразовательная,женщина,87.5
2017,%,общеобразовательная,женщина,87.0
2018,%,общеобразовательная,женщина,84.7
2019,%,общеобразовательная,женщина,85.0
2020,%,общеобразовательная,женщина,84.9
2015,%,начальное,,91.6
2016,%,начальное,,91.2
2017,%,начальное,,91.3
2018,%,начальное,,91.1
2019,%,начальное,,92.9
2020,%,начальное,,93.2
2015,%,начальное,мужчина,91.6
2016,%,начальное,мужчина,91.3
2017,%,начальное,мужчина,91.5
2018,%,начальное,мужчина,90.9
2019,%,начальное,мужчина,92.3
2020,%,начальное,мужчина,93.0
2015,%,начальное,женщина,91.6
2016,%,начальное,женщина,91.2
2017,%,начальное,женщина,91.1
2018,%,начальное,женщина,91.4
2019,%,начальное,женщина,93.6
2020,%,начальное,женщина,93.5
2015,%,основная,,96.3
2016,%,основная,,90.7
2017,%,основная,,90.1
2018,%,основная,,89.4
2019,%,основная,,90.0
2020,%,основная,,90.6
2015,%,основная,мужчина,95.9
2016,%,основная,мужчина,90.3
2017,%,основная,мужчина,89.8
2018,%,основная,мужчина,88.8
2019,%,основная,мужчина,89.4
2020,%,основная,мужчина,90.2
2015,%,основная,женщина,96.7
2016,%,основная,женщина,91.0
2017,%,основная,женщина,90.4
2018,%,основная,женщина,90.1
2019,%,основная,женщина,90.6
2020,%,основная,женщина,91.1
2015,%,"высшее, старшая",,57.9
2016,%,"высшее, старшая",,65.1
2017,%,"высшее, старшая",,65.5
2018,%,"высшее, старшая",,59.9
2019,%,"высшее, старшая",,59.5
2020,%,"высшее, старшая",,57.9
2015,%,"высшее, старшая",мужчина,53.1
2016,%,"высшее, старшая",мужчина,59.4
2017,%,"высшее, старшая",мужчина,60.5
2018,%,"высшее, старшая",мужчина,54.8
2019,%,"высшее, старшая",мужчина,54.5
2020,%,"высшее, старшая",мужчина,53.0
2015,%,"высшее, старшая",женщина,63.5
2016,%,"высшее, старшая",женщина,71.7
2017,%,"высшее, старшая",женщина,71.1
2018,%,"высшее, старшая",женщина,65.7
2019,%,"высшее, старшая",женщина,65.1
2020,%,"высшее, старшая",женщина,63.5
2015,%,начальное профессиональное (ремесленное),,7.2
2016,%,начальное профессиональное (ремесленное),,8.1
2017,%,начальное профессиональное (ремесленное),,8.6
2018,%,начальное профессиональное (ремесленное),,6.7
2019,%,начальное профессиональное (ремесленное),,6.3
2020,%,начальное профессиональное (ремесленное),,6.2
2015,%,начальное профессиональное (ремесленное),мужчина,9.8
2016,%,начальное профессиональное (ремесленное),мужчина,10.9
2017,%,начальное профессиональное (ремесленное),мужчина,11.4
2018,%,начальное профессиональное (ремесленное),мужчина,9.2
2019,%,начальное профессиональное (ремесленное),мужчина,8.9
2020,%,начальное профессиональное (ремесленное),мужчина,8.9
2015,%,начальное профессиональное (ремесленное),женщина,4.2
2016,%,начальное профессиональное (ремесленное),женщина,4.9
2017,%,начальное профессиональное (ремесленное),женщина,5.4
2018,%,начальное профессиональное (ремесленное),женщина,3.9
2019,%,начальное профессиональное (ремесленное),женщина,3.3
2020,%,начальное профессиональное (ремесленное),женщина,3.1
2015,%,среднепрофессиональное,,10.9
2016,%,среднепрофессиональное,,11.1
2017,%,среднепрофессиональное,,11.5
2018,%,среднепрофессиональное,,11.7
2019,%,среднепрофессиональное,,12.5
2020,%,среднепрофессиональное,,13.9
2015,%,среднепрофессиональное,мужчина,9.5
2016,%,среднепрофессиональное,мужчина,9.8
2017,%,среднепрофессиональное,мужчина,10.0
2018,%,среднепрофессиональное,мужчина,10.4
2019,%,среднепрофессиональное,мужчина,11.2
2020,%,среднепрофессиональное,мужчина,12.8
2015,%,среднепрофессиональное,женщина,12.5
2016,%,среднепрофессиональное,женщина,12.5
2017,%,среднепрофессиональное,женщина,13.1
2018,%,среднепрофессиональное,женщина,13.1
2019,%,среднепрофессиональное,женщина,13.9
2020,%,среднепрофессиональное,женщина,15.1
2015,%,"specialized high education, first stage (bachelor's Degree)",,52.9
2016,%,"specialized high education, first stage (bachelor's Degree)",,54.1
2017,%,"specialized high education, first stage (bachelor's Degree)",,56.4
2018,%,"specialized high education, first stage (bachelor's Degree)",,52.2
2019,%,"specialized high education, first stage (bachelor's Degree)",,50.4
2020,%,"specialized high education, first stage (bachelor's Degree)",,54.4
2015,%,"specialized high education, first stage (bachelor's Degree)",мужчина,47.0
2016,%,"specialized high education, first stage (bachelor's Degree)",мужчина,48.6
2017,%,"specialized high education, first stage (bachelor's Degree)",мужчина,51.5
2018,%,"specialized high education, first stage (bachelor's Degree)",мужчина,48.2
2019,%,"specialized high education, first stage (bachelor's Degree)",мужчина,44.8
2020,%,"specialized high education, first stage (bachelor's Degree)",мужчина,48.3
2015,%,"specialized high education, first stage (bachelor's Degree)",женщина,59.1
2016,%,"specialized high education, first stage (bachelor's Degree)",женщина,60.0
2017,%,"specialized high education, first stage (bachelor's Degree)",женщина,61.8
2018,%,"specialized high education, first stage (bachelor's Degree)",женщина,56.6
2019,%,"specialized high education, first stage (bachelor's Degree)",женщина,56.6
2020,%,"specialized high education, first stage (bachelor's Degree)",женщина,61.1
2015,%,"post-graduate education, second stage (master's Degree)",,12.7
2016,%,"post-graduate education, second stage (master's Degree)",,13.1
2017,%,"post-graduate education, second stage (master's Degree)",,14.8
2018,%,"post-graduate education, second stage (master's Degree)",,14.1
2019,%,"post-graduate education, second stage (master's Degree)",,14.6
2020,%,"post-graduate education, second stage (master's Degree)",,15.7
2015,%,"post-graduate education, second stage (master's Degree)",мужчина,9.9
2016,%,"post-graduate education, second stage (master's Degree)",мужчина,10.7
2017,%,"post-graduate education, second stage (master's Degree)",мужчина,9.9
