Year,Units,Возраст,Категория,Value
2015,%,total(15-49),физическое насилие,4.5
2015,%,total(15-49),сексуальное насилие,0.3
2021,%,total(15-59),физическое насилие,3.5
2021,%,total(15-59),сексуальное насилие,1.9
2021,%,15-24,физическое насилие,3.1
2021,%,25-34,физическое насилие,4.1
2021,%,35-44,физическое насилие,4.0
2021,%,45-59,физическое насилие,2.8
2021,%,15-24,сексуальное насилие,2.5
2021,%,25-34,сексуальное насилие,1.6
2021,%,35-44,сексуальное насилие,2.5
2021,%,45-59,сексуальное насилие,1.6
2021,%,total (15-59),физическое и/или сексуальное насилие,4.6
2021,%,15-24,физическое и/или сексуальное насилие,5.7
2021,%,25-34,физическое и/или сексуальное насилие,5.0
2021,%,35-44,физическое и/или сексуальное насилие,5.3
2021,%,45-59,физическое и/или сексуальное насилие,3.8
2021,%,total(15-59),психологическое насилие,13.0
2021,%,15-24,психологическое насилие,15.7
2021,%,25-34,психологическое насилие,34.8
2021,%,35-44,психологическое насилие,29.9
2021,%,45-59,психологическое насилие,30.0
2015,%,total (15-49),физическое и/или сексуальное насилие,8.2
