Year,Units,Отделения/Банкоматы,Value
2015,на 100 000 взрослых,Банкоматы,59.0
2016,на 100 000 взрослых,Банкоматы,60.1
2017,на 100 000 взрослых,Банкоматы,63.0
2018,на 100 000 взрослых,Банкоматы,65.0
2019,на 100 000 взрослых,Банкоматы,67.9
2020,на 100 000 взрослых,Банкоматы,67.9
2021,на 100 000 взрослых,Банкоматы,70.3
2022,на 100 000 взрослых,Банкоматы,69.6
2015,на 100 000 взрослых,Отделения,22.8
2016,на 100 000 взрослых,Отделения,22.7
2017,на 100 000 взрослых,Отделения,22.9
2018,на 100 000 взрослых,Отделения,23.4
2019,на 100 000 взрослых,Отделения,24.1
2020,на 100 000 взрослых,Отделения,24.4
2021,на 100 000 взрослых,Отделения,24.1
2022,на 100 000 взрослых,Отделения,24.2
2023,на 100 000 взрослых,Банкоматы,69.2
2024,на 100 000 взрослых,Банкоматы,71.5
2025,на 100 000 взрослых,Банкоматы,71.6
2023,на 100 000 взрослых,Отделения,22.9
2024,на 100 000 взрослых,Отделения,22.7
2025,на 100 000 взрослых,Отделения,22.4
