Year,Series,Units,Возраст,Пол,Вид деятельности,Value
2015,Average hourly earnings of employees by sex and occupation,в местной валюте,15+,BOTHSEX,всего,562.86
2015,Average hourly earnings of employees by sex and occupation,в местной валюте,15+,BOTHSEX,isco08-1,817.42
2015,Average hourly earnings of employees by sex and occupation,в местной валюте,15+,BOTHSEX,isco08-2,718.07
2015,Average hourly earnings of employees by sex and occupation,в местной валюте,15+,BOTHSEX,isco08-3,564.99
2015,Average hourly earnings of employees by sex and occupation,в местной валюте,15+,BOTHSEX,isco08-4,474.43
2015,Average hourly earnings of employees by sex and occupation,в местной валюте,15+,BOTHSEX,isco08-5,434.38
2015,Average hourly earnings of employees by sex and occupation,в местной валюте,15+,BOTHSEX,isco08-6,526.86
2015,Average hourly earnings of employees by sex and occupation,в местной валюте,15+,BOTHSEX,isco08-7,494.83
2015,Average hourly earnings of employees by sex and occupation,в местной валюте,15+,BOTHSEX,isco08-8,542.56
2015,Average hourly earnings of employees by sex and occupation,в местной валюте,15+,BOTHSEX,isco08-9,388.55
2015,Average hourly earnings of employees by sex and occupation,в местной валюте,15+,FEMALE,всего,497.84
2015,Average hourly earnings of employees by sex and occupation,в местной валюте,15+,FEMALE,isco08-1,684.03
2015,Average hourly earnings of employees by sex and occupation,в местной валюте,15+,FEMALE,isco08-2,626.91
2015,Average hourly earnings of employees by sex and occupation,в местной валюте,15+,FEMALE,isco08-3,494.56
2015,Average hourly earnings of employees by sex and occupation,в местной валюте,15+,FEMALE,isco08-4,448.46
2015,Average hourly earnings of employees by sex and occupation,в местной валюте,15+,FEMALE,isco08-5,374.03
2015,Average hourly earnings of employees by sex and occupation,в местной валюте,15+,FEMALE,isco08-6,485.86
2015,Average hourly earnings of employees by sex and occupation,в местной валюте,15+,FEMALE,isco08-7,369.49
2015,Average hourly earnings of employees by sex and occupation,в местной валюте,15+,FEMALE,isco08-8,539.04
2015,Average hourly earnings of employees by sex and occupation,в местной валюте,15+,FEMALE,isco08-9,368.42
2015,Average hourly earnings of employees by sex and occupation,в местной валюте,15+,MALE,всего,620.39
