Year,Units,Категория,Возраст,Пол,Место нахождения,Value
2015,%,,15-75,,,18.5
2016,%,,15-75,,,18.0
2017,%,,15-75,,,17.8
2018,%,,15-74,,,19.0
2019,%,,15-74,,,18.3
2020,%,,15-74,,,18.2
2018,%,,15-29,,,26.7
2015,%,,15-75,мужчина,,17.6
2016,%,,15-75,мужчина,,18.1
2017,%,,15-75,мужчина,,18.0
2018,%,,15-74,мужчина,,17.9
2019,%,,15-74,мужчина,,17.5
2020,%,,15-74,мужчина,,19.1
2018,%,,30-44,,,19.5
2015,%,,15-75,женщина,,19.5
2016,%,,15-75,женщина,,17.8
2017,%,,15-75,женщина,,17.5
2018,%,,15-74,женщина,,20.4
2019,%,,15-74,женщина,,19.3
2020,%,,15-74,женщина,,17.2
2018,%,,45-59,,,14.9
2015,%,,15-75,,город,27.0
2016,%,,15-75,,город,26.8
2017,%,,15-75,,город,25.4
2018,%,,15-74,,город,24.9
2019,%,,15-74,,город,22.6
2020,%,,15-74,,город,22.3
2018,%,,60-74,,,12.9
2015,%,,15-75,,село,6.7
2016,%,,15-75,,село,5.7
2017,%,,15-75,,село,7.4
2018,%,,15-74,,село,11.3
2019,%,,15-74,,село,11.4
2020,%,,15-74,,село,12.1
2021,%,имеющие инвалидность,15-74,,,15.4
2015,%,,15-24,,,32.5
2016,%,,15-24,,,36.6
2017,%,,15-24,,,38.4
2018,%,,15-24,,,33.5
2019,%,,15-24,,,32.6
2020,%,,15-24,,,32.3
2015,%,,15-24,мужчина,,28.6
2016,%,,15-24,мужчина,,29.8
2017,%,,15-24,мужчина,,33.1
2019,%,,15-29,,,25.7
2019,%,,30-44,,,18.1
2020,%,,15-29,,,26.5
2015,%,,15-24,женщина,,37.2
2016,%,,15-24,женщина,,46.0
2017,%,,15-24,женщина,,45.0
2019,%,,45-59,,,15.6
2019,%,,60-74,,,12.5
2020,%,,30-44,,,19.2
2015,%,,15-24,,город,42.5
2016,%,,15-24,,город,50.1
2017,%,,15-24,,город,48.8
2020,%,,15-64,,,18.6
2019,%,,15-64,,,18.6
2020,%,,45-59,,,14.8
2015,%,,15-24,,село,18.9
2016,%,,15-24,,село,19.5
2017,%,,15-24,,село,22.2
2018,%,,15-64,,,19.3
2021,%,,15-74,,,15.5
2020,%,,60-74,,,12.0
2015,%,имеющие инвалидность,15-75,,,15.7
2016,%,имеющие инвалидность,15-75,,,18.9
2017,%,имеющие инвалидность,15-75,,,14.1
2018,%,имеющие инвалидность,15-74,,,20.6
2019,%,имеющие инвалидность,15-74,,,17.7
2020,%,имеющие инвалидность,15-74,,,13.7
2021,%,,15-24,,,30.5
2021,%,,15-29,,,24.4
2021,%,,30-44,,,15.0
2021,%,,45-59,,,14.1
2021,%,,60-74,,,8.6
2021,%,,15-64,,,15.9
2021,%,,15-74,мужчина,,15.7
2021,%,,15-74,женщина,,15.2
2021,%,,15-74,,город,20.3
2021,%,,15-74,,село,8.8
