Year,Series,Units,Value
2015,Общий объем официальных потоков (выплат) помощи для развития торговли по странам-получателям,млн долларов США в постоянных ценах 2024 года,240.726
2016,Общий объем официальных потоков (выплат) помощи для развития торговли по странам-получателям,млн долларов США в постоянных ценах 2024 года,198.952
2017,Общий объем официальных потоков (выплат) помощи для развития торговли по странам-получателям,млн долларов США в постоянных ценах 2024 года,237.62
2018,Общий объем официальных потоков (выплат) помощи для развития торговли по странам-получателям,млн долларов США в постоянных ценах 2024 года,115.731
2019,Общий объем официальных потоков (выплат) помощи для развития торговли по странам-получателям,млн долларов США в постоянных ценах 2024 года,84.4021
2020,Общий объем официальных потоков (выплат) помощи для развития торговли по странам-получателям,млн долларов США в постоянных ценах 2024 года,102.029
2021,Общий объем официальных потоков (выплат) помощи для развития торговли по странам-получателям,млн долларов США в постоянных ценах 2024 года,194.551
2022,Общий объем официальных потоков (выплат) помощи для развития торговли по странам-получателям,млн долларов США в постоянных ценах 2024 года,254.316
2023,Общий объем официальных потоков (выплат) помощи для развития торговли по странам-получателям,млн долларов США в постоянных ценах 2024 года,97.0976
2024,Общий объем официальных потоков (выплат) помощи для развития торговли по странам-получателям,млн долларов США в постоянных ценах 2024 года,61.1282
2015,Общий объем официальных потоков (обязательств) в рамках программы помощи торговле по странам-получателям,млн долларов США в постоянных ценах 2024 года,300.996
2016,Общий объем официальных потоков (обязательств) в рамках программы помощи торговле по странам-получателям,млн долларов США в постоянных ценах 2024 года,265.243
2017,Общий объем официальных потоков (обязательств) в рамках программы помощи торговле по странам-получателям,млн долларов США в постоянных ценах 2024 года,157.939
2018,Общий объем официальных потоков (обязательств) в рамках программы помощи торговле по странам-получателям,млн долларов США в постоянных ценах 2024 года,53.7545
2019,Общий объем официальных потоков (обязательств) в рамках программы помощи торговле по странам-получателям,млн долларов США в постоянных ценах 2024 года,119.822
2020,Общий объем официальных потоков (обязательств) в рамках программы помощи торговле по странам-получателям,млн долларов США в постоянных ценах 2024 года,124.756
2021,Общий объем официальных потоков (обязательств) в рамках программы помощи торговле по странам-получателям,млн долларов США в постоянных ценах 2024 года,224.775
2022,Общий объем официальных потоков (обязательств) в рамках программы помощи торговле по странам-получателям,млн долларов США в постоянных ценах 2024 года,42.628
2023,Общий объем официальных потоков (обязательств) в рамках программы помощи торговле по странам-получателям,млн долларов США в постоянных ценах 2024 года,48.5641
2024,Общий объем официальных потоков (обязательств) в рамках программы помощи торговле по странам-получателям,млн долларов США в постоянных ценах 2024 года,78.9039
