Year,Units,Категория,вид транспорта,Value
2015,"1,000 человек",объем пассажироперевозок,,208941.4
2016,"1,000 человек",объем пассажироперевозок,,206277.6
2017,"1,000 человек",объем пассажироперевозок,,200498.2
2018,"1,000 человек",объем пассажироперевозок,,186430.7
2019,"1,000 человек",объем пассажироперевозок,,194616.1
2020,"1,000 человек",объем пассажироперевозок,,69899.7
2015,"1,000 человек",,железнодорожный транспорт,346.3
2016,"1,000 человек",,железнодорожный транспорт,352.0
2017,"1,000 человек",,железнодорожный транспорт,366.8
2018,"1,000 человек",,железнодорожный транспорт,384.2
2019,"1,000 человек",,железнодорожный транспорт,426.7
2020,"1,000 человек",,железнодорожный транспорт,304.5
2015,"1,000 человек",,автомобильный транспорт,185333.7
2016,"1,000 человек",,автомобильный транспорт,182617.6
2017,"1,000 человек",,автомобильный транспорт,175732.9
2018,"1,000 человек",,автомобильный транспорт,159037.4
2019,"1,000 человек",,автомобильный транспорт,164806.8
2020,"1,000 человек",,автомобильный транспорт,54822.3
2015,"1,000 человек",,of which  passenger taxi,10319.9
2016,"1,000 человек",,of which  passenger taxi,8711.9
2017,"1,000 человек",,of which  passenger taxi,7692.0
2018,"1,000 человек",,of which  passenger taxi,6740.0
2019,"1,000 человек",,of which  passenger taxi,4627.9
2020,"1,000 человек",,of which  passenger taxi,2213.2
2015,"1,000 человек",,воздушный транспорт,1919.0
2016,"1,000 человек",,воздушный транспорт,2117.8
2017,"1,000 человек",,воздушный транспорт,2553.8
2018,"1,000 человек",,воздушный транспорт,2856.7
2019,"1,000 человек",,воздушный транспорт,3595.6
2020,"1,000 человек",,воздушный транспорт,887.3
2015,"1,000 человек",,электротранспорт,21342.4
2016,"1,000 человек",,электротранспорт,21190.2
2017,"1,000 человек",,электротранспорт,21844.7
2018,"1,000 человек",,электротранспорт,24152.4
2019,"1,000 человек",,электротранспорт,25787.0
2020,"1,000 человек",,электротранспорт,13885.6
2015,"1,000 тонна",объем грузоперевозок,,11052.6
2016,"1,000 тонна",объем грузоперевозок,,20483.8
2017,"1,000 тонна",объем грузоперевозок,,28133.1
2018,"1,000 тонна",объем грузоперевозок,,29182.9
2019,"1,000 тонна",объем грузоперевозок,,14732.3
2020,"1,000 тонна",объем грузоперевозок,,14889.2
2015,"1,000 тонна",,железнодорожный транспорт,2531.7
2016,"1,000 тонна",,железнодорожный транспорт,2610.9
2017,"1,000 тонна",,железнодорожный транспорт,2640.0
2018,"1,000 тонна",,железнодорожный транспорт,2880.3
2019,"1,000 тонна",,железнодорожный транспорт,3212.6
2020,"1,000 тонна",,железнодорожный транспорт,3201.0
2015,"1,000 тонна",,автомобильный транспорт,6864.9
2016,"1,000 тонна",,автомобильный транспорт,16248.8
2017,"1,000 тонна",,автомобильный транспорт,23683.9
2018,"1,000 тонна",,автомобильный транспорт,24519.0
