Year,Value,Units
2015,1,"1=соответствует, 0=частично соответствует"
2016,1,"1=соответствует, 0=частично соответствует"
2017,1,"1=соответствует, 0=частично соответствует"
2018,1,"1=соответствует, 0=частично соответствует"
2015,1,"1=соответствует, 0=частично соответствует"
2016,1,"1=соответствует, 0=частично соответствует"
2017,1,"1=соответствует, 0=частично соответствует"
2018,1,"1=соответствует, 0=частично соответствует"
2019,1,"1=соответствует, 0=частично соответствует"
2020,1,"1=соответствует, 0=частично соответствует"
2021,1,"1=соответствует, 0=частично соответствует"
2022,1,"1=соответствует, 0=частично соответствует"
2023,1,"1=соответствует, 0=частично соответствует"
2024,1,"1=соответствует, 0=частично соответствует"
