Year,Value,Units
2015,0.3,"на 100,000 населения"
2016,0.2,"на 100,000 населения"
2017,0.3,"на 100,000 населения"
2015,8.0,случай
2016,7.0,случай
2017,10.0,случай
2018,0.6,"на 100,000 населения"
2018,19.0,случай
2019,1.0,"на 100,000 населения"
2019,30.0,случай
2020,0.3,"на 100,000 населения"
2020,10.0,случай
2021,0.7,"на 100,000 населения"
2021,20.0,случай
2022,17.0,случай
2022,0.6,"на 100,000 населения"
2023,15.0,случай
2023,0.5,"на 100,000 населения"
2024,19.0,случай
2024,0.6,"на 100,000 населения"
