Year,Value,Units,Series
2015,240.726,millions of constant 2024 United States dollars,Общий объем официальных потоков (выплат) помощи для развития торговли по странам-получателям
2016,198.952,millions of constant 2024 United States dollars,Общий объем официальных потоков (выплат) помощи для развития торговли по странам-получателям
2017,237.62,millions of constant 2024 United States dollars,Общий объем официальных потоков (выплат) помощи для развития торговли по странам-получателям
2018,115.731,millions of constant 2024 United States dollars,Общий объем официальных потоков (выплат) помощи для развития торговли по странам-получателям
2019,84.4021,millions of constant 2024 United States dollars,Общий объем официальных потоков (выплат) помощи для развития торговли по странам-получателям
2020,102.029,millions of constant 2024 United States dollars,Общий объем официальных потоков (выплат) помощи для развития торговли по странам-получателям
2021,194.551,millions of constant 2024 United States dollars,Общий объем официальных потоков (выплат) помощи для развития торговли по странам-получателям
2022,254.316,millions of constant 2024 United States dollars,Общий объем официальных потоков (выплат) помощи для развития торговли по странам-получателям
2023,97.0976,millions of constant 2024 United States dollars,Общий объем официальных потоков (выплат) помощи для развития торговли по странам-получателям
2024,61.1282,millions of constant 2024 United States dollars,Общий объем официальных потоков (выплат) помощи для развития торговли по странам-получателям
2015,300.996,millions of constant 2024 United States dollars,Общий объем официальных потоков (обязательств) в рамках программы помощи торговле по странам-получателям
2016,265.243,millions of constant 2024 United States dollars,Общий объем официальных потоков (обязательств) в рамках программы помощи торговле по странам-получателям
2017,157.939,millions of constant 2024 United States dollars,Общий объем официальных потоков (обязательств) в рамках программы помощи торговле по странам-получателям
2018,53.7545,millions of constant 2024 United States dollars,Общий объем официальных потоков (обязательств) в рамках программы помощи торговле по странам-получателям
2019,119.822,millions of constant 2024 United States dollars,Общий объем официальных потоков (обязательств) в рамках программы помощи торговле по странам-получателям
2020,124.756,millions of constant 2024 United States dollars,Общий объем официальных потоков (обязательств) в рамках программы помощи торговле по странам-получателям
2021,224.775,millions of constant 2024 United States dollars,Общий объем официальных потоков (обязательств) в рамках программы помощи торговле по странам-получателям
2022,42.628,millions of constant 2024 United States dollars,Общий объем официальных потоков (обязательств) в рамках программы помощи торговле по странам-получателям
2023,48.5641,millions of constant 2024 United States dollars,Общий объем официальных потоков (обязательств) в рамках программы помощи торговле по странам-получателям
2024,78.9039,millions of constant 2024 United States dollars,Общий объем официальных потоков (обязательств) в рамках программы помощи торговле по странам-получателям
