Year,Units,Location,Sex,Poverty,Category,Quintiles,Value
2015,%,,,,,,2.7
2016,%,,,,,,2.7
2019,%,,,,,,2.3
2020,%,,,,,,1.5
2021,%,,,,,,1.1
2022,%,,,,,,2.7
2023,%,,,,,,2.0
2019,%,urban,,,,,2.5
2020,%,urban,,,,,1.8
2021,%,urban,,,,,1.2
2022,%,urban,,,,,3.4
2023,%,urban,,,,,2.3
2019,%,rural,,,,,2.0
2020,%,rural,,,,,1.2
2021,%,rural,,,,,0.8
2022,%,rural,,,,,1.6
2023,%,rural,,,,,1.5
2019,%,,male,,,,2.2
2020,%,,male,,,,1.6
2021,%,,male,,,,1.0
2022,%,,male,,,,2.6
2023,%,,male,,,,2.0
2019,%,,female,,,,2.3
2020,%,,female,,,,1.5
2021,%,,female,,,,1.1
2022,%,,female,,,,2.8
2023,%,,female,,,,2.0
2019,%,,,non poor,,,1.7
2020,%,,,non poor,,,1.3
2021,%,,,non poor,,,0.9
2022,%,,,non poor,,,1.9
2023,%,,,non poor,,,1.9
2019,%,,,poor,,,4.0
2020,%,,,poor,,,2.1
2021,%,,,poor,,,1.5
2022,%,,,poor,,,4.6
2023,%,,,poor,,,2.2
2019,%,,,extreme poor,,,6.6
2020,%,,,extreme poor,,,3.5
2021,%,,,extreme poor,,,0.0
2022,%,,,extreme poor,,,7.2
2023,%,,,extreme poor,,,5.5
2019,%,,,,disabled,,3.1
2020,%,,,,disabled,,2.0
2021,%,,,,disabled,,1.4
2022,%,,,,disabled,,4.0
2023,%,,,,disabled,,2.5
2019,%,,,,,I quintile,4.4
2020,%,,,,,I quintile,2.3
2021,%,,,,,I quintile,1.6
2022,%,,,,,I quintile,5.0
2023,%,,,,,I quintile,2.3
2019,%,,,,,II quintile,2.0
2020,%,,,,,II quintile,1.3
2021,%,,,,,II quintile,0.9
2022,%,,,,,II quintile,3.0
2023,%,,,,,II quintile,2.0
2019,%,,,,,III quintile,1.9
2020,%,,,,,III quintile,1.3
2021,%,,,,,III quintile,1.1
2022,%,,,,,III quintile,1.5
2023,%,,,,,III quintile,1.9
2019,%,,,,,IV quintile,1.9
2020,%,,,,,IV quintile,1.3
2021,%,,,,,IV quintile,1.1
2022,%,,,,,IV quintile,2.7
2023,%,,,,,IV quintile,1.9
2019,%,,,,,V quintile,1.3
2020,%,,,,,V quintile,1.4
2021,%,,,,,V quintile,0.6
2022,%,,,,,V quintile,1.4
2023,%,,,,,V quintile,1.8
