Year,Units,Series,Value
2015,%,Fossil-fuel subsidies (consumption and production) as a proportion of total GDP,0.283
2016,%,Fossil-fuel subsidies (consumption and production) as a proportion of total GDP,0.196
2017,%,Fossil-fuel subsidies (consumption and production) as a proportion of total GDP,0.184
2018,%,Fossil-fuel subsidies (consumption and production) as a proportion of total GDP,0.035
2019,%,Fossil-fuel subsidies (consumption and production) as a proportion of total GDP,0.032
2020,%,Fossil-fuel subsidies (consumption and production) as a proportion of total GDP,0.092
2015,bn nominal USD,Fossil-fuel subsidies (consumption and production),0.032
2016,bn nominal USD,Fossil-fuel subsidies (consumption and production),0.022
2017,bn nominal USD,Fossil-fuel subsidies (consumption and production),0.022
2018,bn nominal USD,Fossil-fuel subsidies (consumption and production),0.004
2019,bn nominal USD,Fossil-fuel subsidies (consumption and production),0.004
2020,bn nominal USD,Fossil-fuel subsidies (consumption and production),0.012
2015,nominal USD,Fossil-fuel subsidies (consumption and production) per capita,10.8
2016,nominal USD,Fossil-fuel subsidies (consumption and production) per capita,7.5
2017,nominal USD,Fossil-fuel subsidies (consumption and production) per capita,7.6
2018,nominal USD,Fossil-fuel subsidies (consumption and production) per capita,1.5
2019,nominal USD,Fossil-fuel subsidies (consumption and production) per capita,1.5
2020,nominal USD,Fossil-fuel subsidies (consumption and production) per capita,4.0
