Year,Series,Units,Value
2015,Total reported number of Standard Material Transfer Agreements (SMTAs) transferring plant genetic resources for food and agriculture to the country,number,138
2016,Total reported number of Standard Material Transfer Agreements (SMTAs) transferring plant genetic resources for food and agriculture to the country,number,153
2017,Total reported number of Standard Material Transfer Agreements (SMTAs) transferring plant genetic resources for food and agriculture to the country,number,161
2018,Total reported number of Standard Material Transfer Agreements (SMTAs) transferring plant genetic resources for food and agriculture to the country,number,165
2019,Total reported number of Standard Material Transfer Agreements (SMTAs) transferring plant genetic resources for food and agriculture to the country,number,165
2020,Total reported number of Standard Material Transfer Agreements (SMTAs) transferring plant genetic resources for food and agriculture to the country,number,165
2021,Total reported number of Standard Material Transfer Agreements (SMTAs) transferring plant genetic resources for food and agriculture to the country,number,165
2022,Total reported number of Standard Material Transfer Agreements (SMTAs) transferring plant genetic resources for food and agriculture to the country,number,166
2023,Total reported number of Standard Material Transfer Agreements (SMTAs) transferring plant genetic resources for food and agriculture to the country,number,166
2024,Total reported number of Standard Material Transfer Agreements (SMTAs) transferring plant genetic resources for food and agriculture to the country,number,166
2021,Countries that are parties to the Nagoya Protocol,"yes=1, no=0",0
2022,Countries that are parties to the Nagoya Protocol,"yes=1, no=0",0
2023,Countries that are parties to the Nagoya Protocol,"yes=1, no=0",0
2024,Countries that are parties to the Nagoya Protocol,"yes=1, no=0",0
2021,"Countries that have legislative, administrative and policy framework or measures reported to the Access and Benefit-Sharing Clearing-House","yes=1, no=0",0
2022,"Countries that have legislative, administrative and policy framework or measures reported to the Access and Benefit-Sharing Clearing-House","yes=1, no=0",0
2023,"Countries that have legislative, administrative and policy framework or measures reported to the Access and Benefit-Sharing Clearing-House","yes=1, no=0",0
2024,"Countries that have legislative, administrative and policy framework or measures reported to the Access and Benefit-Sharing Clearing-House","yes=1, no=0",0
2016,"Countries that have legislative, administrative and policy framework or measures reported through the Online Reporting System on Compliance of the International Treaty on Plant Genetic Resources for Food and Agriculture","yes=1, no=0",0
2017,"Countries that have legislative, administrative and policy framework or measures reported through the Online Reporting System on Compliance of the International Treaty on Plant Genetic Resources for Food and Agriculture","yes=1, no=0",0
2018,"Countries that have legislative, administrative and policy framework or measures reported through the Online Reporting System on Compliance of the International Treaty on Plant Genetic Resources for Food and Agriculture","yes=1, no=0",0
2019,"Countries that have legislative, administrative and policy framework or measures reported through the Online Reporting System on Compliance of the International Treaty on Plant Genetic Resources for Food and Agriculture","yes=1, no=0",0
2020,"Countries that have legislative, administrative and policy framework or measures reported through the Online Reporting System on Compliance of the International Treaty on Plant Genetic Resources for Food and Agriculture","yes=1, no=0",0
2021,"Countries that have legislative, administrative and policy framework or measures reported through the Online Reporting System on Compliance of the International Treaty on Plant Genetic Resources for Food and Agriculture","yes=1, no=0",1
2022,"Countries that have legislative, administrative and policy framework or measures reported through the Online Reporting System on Compliance of the International Treaty on Plant Genetic Resources for Food and Agriculture","yes=1, no=0",1
2023,"Countries that have legislative, administrative and policy framework or measures reported through the Online Reporting System on Compliance of the International Treaty on Plant Genetic Resources for Food and Agriculture","yes=1, no=0",1
2024,"Countries that have legislative, administrative and policy framework or measures reported through the Online Reporting System on Compliance of the International Treaty on Plant Genetic Resources for Food and Agriculture","yes=1, no=0",1
2015,Countries that are contracting Parties to the International Treaty on Plant Genetic Resources for Food and Agriculture,"yes=1, no=0",1
2016,Countries that are contracting Parties to the International Treaty on Plant Genetic Resources for Food and Agriculture,"yes=1, no=0",1
2017,Countries that are contracting Parties to the International Treaty on Plant Genetic Resources for Food and Agriculture,"yes=1, no=0",1
2018,Countries that are contracting Parties to the International Treaty on Plant Genetic Resources for Food and Agriculture,"yes=1, no=0",1
2019,Countries that are contracting Parties to the International Treaty on Plant Genetic Resources for Food and Agriculture,"yes=1, no=0",1
2020,Countries that are contracting Parties to the International Treaty on Plant Genetic Resources for Food and Agriculture,"yes=1, no=0",1
2021,Countries that are contracting Parties to the International Treaty on Plant Genetic Resources for Food and Agriculture,"yes=1, no=0",1
2022,Countries that are contracting Parties to the International Treaty on Plant Genetic Resources for Food and Agriculture,"yes=1, no=0",1
2023,Countries that are contracting Parties to the International Treaty on Plant Genetic Resources for Food and Agriculture,"yes=1, no=0",1
2024,Countries that are contracting Parties to the International Treaty on Plant Genetic Resources for Food and Agriculture,"yes=1, no=0",1
