Year,Units,Sex,Value
2015,"per 100,000 population",,6.9
2015,"per 100,000 population",male,11.2
2015,"per 100,000 population",female,3.0
2016,"per 100,000 population",,6.5
2016,"per 100,000 population",male,10.7
2016,"per 100,000 population",female,2.7
2017,"per 100,000 population",,5.3
2017,"per 100,000 population",male,8.3
2017,"per 100,000 population",female,2.5
2018,"per 100,000 population",,6.0
2018,"per 100,000 population",male,8.4
2018,"per 100,000 population",female,2.5
2019,"per 100,000 population",,5.2
2019,"per 100,000 population",male,9.1
2019,"per 100,000 population",female,1.7
2020,"per 100,000 population",,6.0
2020,"per 100,000 population",male,10.2
2020,"per 100,000 population",female,2.6
2021,"per 100,000 population",,6.4
2021,"per 100,000 population",male,11.2
2021,"per 100,000 population",female,2.2
2022,"per 100,000 population",,6.3
2022,"per 100,000 population",male,10.6
2022,"per 100,000 population",female,2.5
2023,"per 100,000 population",,6.7
2023,"per 100,000 population",male,10.8
2023,"per 100,000 population",female,3.0
2024,"per 100,000 population",,5.9
2024,"per 100,000 population",male,9.4
2024,"per 100,000 population",female,2.8
