Year,Indicator,Units,Sex,Category,Age,Value
2015,The share of pensioners to the total number of population at the end of the year,%,,,,15.53
2016,The share of pensioners to the total number of population at the end of the year,%,,,,15.69
2017,The share of pensioners to the total number of population at the end of the year,%,,,,15.41
2018,The share of pensioners to the total number of population at the end of the year,%,,,,15.62
2019,The share of pensioners to the total number of population at the end of the year,%,,,,15.76
2020,The share of pensioners to the total number of population at the end of the year,%,,,,15.76
2015,The share of pensioners to the total number of population at the end of the year,%,male,,,12.73
2016,The share of pensioners to the total number of population at the end of the year,%,male,,,12.93
2017,The share of pensioners to the total number of population at the end of the year,%,male,,,12.74
2018,The share of pensioners to the total number of population at the end of the year,%,male,,,12.97
2019,The share of pensioners to the total number of population at the end of the year,%,male,,,13.14
2020,The share of pensioners to the total number of population at the end of the year,%,male,,,13.15
2015,The share of pensioners to the total number of population at the end of the year,%,female,,,18.09
2016,The share of pensioners to the total number of population at the end of the year,%,female,,,18.19
2017,The share of pensioners to the total number of population at the end of the year,%,female,,,17.82
2018,The share of pensioners to the total number of population at the end of the year,%,female,,,17.99
2019,The share of pensioners to the total number of population at the end of the year,%,female,,,18.11
2020,The share of pensioners to the total number of population at the end of the year,%,female,,,18.09
2015,The share of pensioners to the total number of population at the end of the year,%,,age-related,,10.19
2016,The share of pensioners to the total number of population at the end of the year,%,,age-related,,10.33
2017,The share of pensioners to the total number of population at the end of the year,%,,age-related,,10.52
2018,The share of pensioners to the total number of population at the end of the year,%,,age-related,,10.88
2019,The share of pensioners to the total number of population at the end of the year,%,,age-related,,11.15
2020,The share of pensioners to the total number of population at the end of the year,%,,age-related,,11.29
2015,The share of pensioners to the total number of population at the end of the year,%,male,age-related,,7.93
2016,The share of pensioners to the total number of population at the end of the year,%,male,age-related,,8.09
2017,The share of pensioners to the total number of population at the end of the year,%,male,age-related,,8.3
2018,The share of pensioners to the total number of population at the end of the year,%,male,age-related,,8.65
2019,The share of pensioners to the total number of population at the end of the year,%,male,age-related,,8.93
2020,The share of pensioners to the total number of population at the end of the year,%,male,age-related,,9.08
2015,The share of pensioners to the total number of population at the end of the year,%,female,age-related,,12.25
2016,The share of pensioners to the total number of population at the end of the year,%,female,age-related,,12.36
2017,The share of pensioners to the total number of population at the end of the year,%,female,age-related,,12.53
2018,The share of pensioners to the total number of population at the end of the year,%,female,age-related,,12.88
2019,The share of pensioners to the total number of population at the end of the year,%,female,age-related,,13.14
2020,The share of pensioners to the total number of population at the end of the year,%,female,age-related,,13.18
2015,The share of pensioners to the total number of population at the end of the year,%,,on privileged terms,,0.09
2016,The share of pensioners to the total number of population at the end of the year,%,,on privileged terms,,0.08
2017,The share of pensioners to the total number of population at the end of the year,%,,on privileged terms,,0.08
2018,The share of pensioners to the total number of population at the end of the year,%,,on privileged terms,,0.07
2019,The share of pensioners to the total number of population at the end of the year,%,,on privileged terms,,0.06
2020,The share of pensioners to the total number of population at the end of the year,%,,on privileged terms,,0.05
2015,The share of pensioners to the total number of population at the end of the year,%,male,on privileged terms,,0.14
2016,The share of pensioners to the total number of population at the end of the year,%,male,on privileged terms,,0.13
2017,The share of pensioners to the total number of population at the end of the year,%,male,on privileged terms,,0.12
2018,The share of pensioners to the total number of population at the end of the year,%,male,on privileged terms,,0.11
2019,The share of pensioners to the total number of population at the end of the year,%,male,on privileged terms,,0.09
2020,The share of pensioners to the total number of population at the end of the year,%,male,on privileged terms,,0.08
2015,The share of pensioners to the total number of population at the end of the year,%,female,on privileged terms,,0.05
2016,The share of pensioners to the total number of population at the end of the year,%,female,on privileged terms,,0.05
2017,The share of pensioners to the total number of population at the end of the year,%,female,on privileged terms,,0.04
2018,The share of pensioners to the total number of population at the end of the year,%,female,on privileged terms,,0.03
2019,The share of pensioners to the total number of population at the end of the year,%,female,on privileged terms,,0.03
2020,The share of pensioners to the total number of population at the end of the year,%,female,on privileged terms,,0.03
2015,The share of pensioners to the total number of population at the end of the year,%,,long-term service,,0.04
2016,The share of pensioners to the total number of population at the end of the year,%,,long-term service,,0.02
2017,The share of pensioners to the total number of population at the end of the year,%,,long-term service,,0.02
2018,The share of pensioners to the total number of population at the end of the year,%,,long-term service,,0.02
2019,The share of pensioners to the total number of population at the end of the year,%,,long-term service,,0.02
2020,The share of pensioners to the total number of population at the end of the year,%,,long-term service,,0.01
2015,The share of pensioners to the total number of population at the end of the year,%,male,long-term service,,0.04
2016,The share of pensioners to the total number of population at the end of the year,%,male,long-term service,,0.03
2017,The share of pensioners to the total number of population at the end of the year,%,male,long-term service,,0.03
2018,The share of pensioners to the total number of population at the end of the year,%,male,long-term service,,0.02
2019,The share of pensioners to the total number of population at the end of the year,%,male,long-term service,,0.02
2020,The share of pensioners to the total number of population at the end of the year,%,male,long-term service,,0.02
2015,The share of pensioners to the total number of population at the end of the year,%,female,long-term service,,0.04
2016,The share of pensioners to the total number of population at the end of the year,%,female,long-term service,,0.02
2017,The share of pensioners to the total number of population at the end of the year,%,female,long-term service,,0.01
2018,The share of pensioners to the total number of population at the end of the year,%,female,long-term service,,0.01
2019,The share of pensioners to the total number of population at the end of the year,%,female,long-term service,,0.01
2020,The share of pensioners to the total number of population at the end of the year,%,female,long-term service,,0.01
2015,The share of pensioners to the total number of population at the end of the year,%,,partially,,0.5
2016,The share of pensioners to the total number of population at the end of the year,%,,partially,,0.49
2017,The share of pensioners to the total number of population at the end of the year,%,,partially,,0.47
2018,The share of pensioners to the total number of population at the end of the year,%,,partially,,0.44
2019,The share of pensioners to the total number of population at the end of the year,%,,partially,,0.41
2020,The share of pensioners to the total number of population at the end of the year,%,,partially,,0.37
2015,The share of pensioners to the total number of population at the end of the year,%,male,partially,,0.11
2016,The share of pensioners to the total number of population at the end of the year,%,male,partially,,0.11
2017,The share of pensioners to the total number of population at the end of the year,%,male,partially,,0.1
2018,The share of pensioners to the total number of population at the end of the year,%,male,partially,,0.09
2019,The share of pensioners to the total number of population at the end of the year,%,male,partially,,0.09
2020,The share of pensioners to the total number of population at the end of the year,%,male,partially,,0.07
2015,The share of pensioners to the total number of population at the end of the year,%,female,partially,,0.85
2016,The share of pensioners to the total number of population at the end of the year,%,female,partially,,0.83
2017,The share of pensioners to the total number of population at the end of the year,%,female,partially,,0.8
2018,The share of pensioners to the total number of population at the end of the year,%,female,partially,,0.76
2019,The share of pensioners to the total number of population at the end of the year,%,female,partially,,0.7
2020,The share of pensioners to the total number of population at the end of the year,%,female,partially,,0.64
2015,The share of pensioners to the total number of population at the end of the year,%,,disability,,4.28
2016,The share of pensioners to the total number of population at the end of the year,%,,disability,,4.35
2017,The share of pensioners to the total number of population at the end of the year,%,,disability,,3.93
2018,The share of pensioners to the total number of population at the end of the year,%,,disability,,3.84
2019,The share of pensioners to the total number of population at the end of the year,%,,disability,,3.78
2020,The share of pensioners to the total number of population at the end of the year,%,,disability,,3.7
2015,The share of pensioners to the total number of population at the end of the year,%,male,disability,,4.13
2016,The share of pensioners to the total number of population at the end of the year,%,male,disability,,4.19
2017,The share of pensioners to the total number of population at the end of the year,%,male,disability,,3.82
2018,The share of pensioners to the total number of population at the end of the year,%,male,disability,,3.74
2019,The share of pensioners to the total number of population at the end of the year,%,male,disability,,3.68
2020,The share of pensioners to the total number of population at the end of the year,%,male,disability,,3.59
2015,The share of pensioners to the total number of population at the end of the year,%,female,disability,,4.41
2016,The share of pensioners to the total number of population at the end of the year,%,female,disability,,4.48
2017,The share of pensioners to the total number of population at the end of the year,%,female,disability,,4.02
2018,The share of pensioners to the total number of population at the end of the year,%,female,disability,,3.92
2019,The share of pensioners to the total number of population at the end of the year,%,female,disability,,3.88
2020,The share of pensioners to the total number of population at the end of the year,%,female,disability,,3.81
2015,The share of pensioners to the total number of population at the end of the year,%,,in case of losing a breadwinner,,0.36
2016,The share of pensioners to the total number of population at the end of the year,%,,in case of losing a breadwinner,,0.34
2017,The share of pensioners to the total number of population at the end of the year,%,,in case of losing a breadwinner,,0.31
2018,The share of pensioners to the total number of population at the end of the year,%,,in case of losing a breadwinner,,0.29
2019,The share of pensioners to the total number of population at the end of the year,%,,in case of losing a breadwinner,,0.26
2020,The share of pensioners to the total number of population at the end of the year,%,,in case of losing a breadwinner,,0.25
2015,The share of pensioners to the total number of population at the end of the year,%,male,in case of losing a breadwinner,,0.21
2016,The share of pensioners to the total number of population at the end of the year,%,male,in case of losing a breadwinner,,0.21
2017,The share of pensioners to the total number of population at the end of the year,%,male,in case of losing a breadwinner,,0.19
2018,The share of pensioners to the total number of population at the end of the year,%,male,in case of losing a breadwinner,,0.18
2019,The share of pensioners to the total number of population at the end of the year,%,male,in case of losing a breadwinner,,0.16
2020,The share of pensioners to the total number of population at the end of the year,%,male,in case of losing a breadwinner,,0.15
2015,The share of pensioners to the total number of population at the end of the year,%,female,in case of losing a breadwinner,,0.49
2016,The share of pensioners to the total number of population at the end of the year,%,female,in case of losing a breadwinner,,0.45
2017,The share of pensioners to the total number of population at the end of the year,%,female,in case of losing a breadwinner,,0.42
2018,The share of pensioners to the total number of population at the end of the year,%,female,in case of losing a breadwinner,,0.39
2019,The share of pensioners to the total number of population at the end of the year,%,female,in case of losing a breadwinner,,0.35
2020,The share of pensioners to the total number of population at the end of the year,%,female,in case of losing a breadwinner,,0.33
2016,The share of pensioners to the total number of population at the end of the year,%,,by other laws,,0.01
2017,The share of pensioners to the total number of population at the end of the year,%,,by other laws,,0.02
2018,The share of pensioners to the total number of population at the end of the year,%,,by other laws,,0.02
2019,The share of pensioners to the total number of population at the end of the year,%,,by other laws,,0.02
2020,The share of pensioners to the total number of population at the end of the year,%,,by other laws,,0.02
2016,The share of pensioners to the total number of population at the end of the year,%,male,by other laws,,0.01
2017,The share of pensioners to the total number of population at the end of the year,%,male,by other laws,,0.04
2018,The share of pensioners to the total number of population at the end of the year,%,male,by other laws,,0.04
2019,The share of pensioners to the total number of population at the end of the year,%,male,by other laws,,0.04
2020,The share of pensioners to the total number of population at the end of the year,%,male,by other laws,,0.05
2016,The share of pensioners to the total number of population at the end of the year,%,female,by other laws,,0.002
2017,The share of pensioners to the total number of population at the end of the year,%,female,by other laws,,0.004
2018,The share of pensioners to the total number of population at the end of the year,%,female,by other laws,,0.004
2019,The share of pensioners to the total number of population at the end of the year,%,female,by other laws,,0.004
2020,The share of pensioners to the total number of population at the end of the year,%,female,by other laws,,0.004
2015,The share of pensioners to the total number of population at the end of the year,%,,related to military service,,0.08
2016,The share of pensioners to the total number of population at the end of the year,%,,related to military service,,0.07
2017,The share of pensioners to the total number of population at the end of the year,%,,related to military service,,0.07
2018,The share of pensioners to the total number of population at the end of the year,%,,related to military service,,0.06
2019,The share of pensioners to the total number of population at the end of the year,%,,related to military service,,0.06
2020,The share of pensioners to the total number of population at the end of the year,%,,related to military service,,0.06
2015,The share of pensioners to the total number of population at the end of the year,%,male,related to military service,,0.16
2016,The share of pensioners to the total number of population at the end of the year,%,male,related to military service,,0.15
2017,The share of pensioners to the total number of population at the end of the year,%,male,related to military service,,0.14
2018,The share of pensioners to the total number of population at the end of the year,%,male,related to military service,,0.13
2019,The share of pensioners to the total number of population at the end of the year,%,male,related to military service,,0.13
2020,The share of pensioners to the total number of population at the end of the year,%,male,related to military service,,0.12
2015,The share of pensioners to the total number of population at the end of the year,%,female,related to military service,,0.002
2016,The share of pensioners to the total number of population at the end of the year,%,female,related to military service,,0.001
