Year,Units,Sex,Value
2015,"per 100,000 population",ընդամենը,0.3
2016,"per 100,000 population",ընդամենը,0.2
2017,"per 100,000 population",ընդամենը,0.3
2015,case,ընդամենը,8.0
2016,case,ընդամենը,7.0
2017,case,ընդամենը,10.0
2018,"per 100,000 population",ընդամենը,0.6
2018,case,ընդամենը,19.0
2019,"per 100,000 population",ընդամենը,1.0
2019,case,ընդամենը,30.0
2020,"per 100,000 population",ընդամենը,0.3
2020,case,ընդամենը,10.0
2021,"per 100,000 population",ընդամենը,0.7
2021,case,ընդամենը,20.0
2015,"per 100,000 population",տղամարդ,0.3
2015,case,տղամարդ,5.0
2015,"per 100,000 population",կին,0.2
2015,case,կին,3.0
2016,case,տղամարդ,4.0
2016,"per 100,000 population",տղամարդ,0.3
2016,case,կին,3.0
2016,"per 100,000 population",կին,0.2
2017,case,տղամարդ,6.0
2017,"per 100,000 population",տղամարդ,0.4
2017,case,կին,4.0
2017,"per 100,000 population",կին,0.3
2018,case,տղամարդ,15.0
2018,"per 100,000 population",տղամարդ,1.1
2018,case,կին,4.0
2018,"per 100,000 population",կին,0.3
2019,case,տղամարդ,19.0
2019,"per 100,000 population",տղամարդ,1.4
2019,case,կին,11.0
2019,"per 100,000 population",կին,0.7
2020,case,տղամարդ,8.0
2020,"per 100,000 population",տղամարդ,0.6
2020,case,կին,2.0
2020,"per 100,000 population",կին,0.1
2021,case,տղամարդ,12.0
2021,"per 100,000 population",տղամարդ,0.9
2021,case,կին,8.0
2021,"per 100,000 population",կին,0.5
