Year,Type,Units,Value
2015,All renewables,Millions of constant United States dollars,24.72
2015,Bioenergy,Millions of constant United States dollars,0.0
2015,Geothermal energy,Millions of constant United States dollars,9.75
2015,Hydropower,Millions of constant United States dollars,14.87
2015,Multiple renewables,Millions of constant United States dollars,0.1
2015,Solar energy,Millions of constant United States dollars,0.0
2016,All renewables,Millions of constant United States dollars,126.49
2016,Bioenergy,Millions of constant United States dollars,0.0
2016,Geothermal energy,Millions of constant United States dollars,0.0
2016,Hydropower,Millions of constant United States dollars,73.16
2016,Multiple renewables,Millions of constant United States dollars,3.4
2016,Solar energy,Millions of constant United States dollars,49.93
2017,All renewables,Millions of constant United States dollars,1.63
2017,Bioenergy,Millions of constant United States dollars,0.09
2017,Geothermal energy,Millions of constant United States dollars,0.0
2017,Hydropower,Millions of constant United States dollars,1.46
2017,Multiple renewables,Millions of constant United States dollars,0.08
2017,Solar energy,Millions of constant United States dollars,0.0
2018,All renewables,Millions of constant United States dollars,29.37
2018,Bioenergy,Millions of constant United States dollars,0.0
2018,Geothermal energy,Millions of constant United States dollars,0.0
2018,Hydropower,Millions of constant United States dollars,0.0
2018,Multiple renewables,Millions of constant United States dollars,0.05
2018,Solar energy,Millions of constant United States dollars,29.32
2019,All renewables,Millions of constant United States dollars,56.91
2019,Bioenergy,Millions of constant United States dollars,0.0
2019,Geothermal energy,Millions of constant United States dollars,0.0
2019,Hydropower,Millions of constant United States dollars,0.0
2019,Multiple renewables,Millions of constant United States dollars,56.88
2019,Solar energy,Millions of constant United States dollars,0.03
2020,All renewables,Millions of constant United States dollars,26.98
2020,Bioenergy,Millions of constant United States dollars,0.0
2020,Geothermal energy,Millions of constant United States dollars,0.0
2020,Hydropower,Millions of constant United States dollars,0.0
2020,Multiple renewables,Millions of constant United States dollars,16.97
2020,Solar energy,Millions of constant United States dollars,10.01
2021,All renewables,Millions of constant United States dollars,63.99
2021,Bioenergy,Millions of constant United States dollars,0.0
2021,Geothermal energy,Millions of constant United States dollars,0.0
2021,Hydropower,Millions of constant United States dollars,0.0
2021,Multiple renewables,Millions of constant United States dollars,63.85
2021,Solar energy,Millions of constant United States dollars,0.14
2022,All renewables,Millions of constant United States dollars,1.13
2022,Bioenergy,Millions of constant United States dollars,0.0
2022,Geothermal energy,Millions of constant United States dollars,0.0
2022,Hydropower,Millions of constant United States dollars,0.0
2022,Multiple renewables,Millions of constant United States dollars,0.12
2022,Solar energy,Millions of constant United States dollars,1.01
2023,All renewables,Millions of constant United States dollars,20.58
2023,Bioenergy,Millions of constant United States dollars,0.0
2023,Geothermal energy,Millions of constant United States dollars,0.0
2023,Hydropower,Millions of constant United States dollars,0.0
2023,Multiple renewables,Millions of constant United States dollars,19.59
2023,Solar energy,Millions of constant United States dollars,0.99
