Year,Value,Units
2015,21.6,"Bank branches per 100,000 adults"
2016,21.9,"Bank branches per 100,000 adults"
2017,22.1,"Bank branches per 100,000 adults"
2018,22.7,"Bank branches per 100,000 adults"
2019,23.3,"Bank branches per 100,000 adults"
2020,23.6,"Bank branches per 100,000 adults"
2021,23.4,"Bank branches per 100,000 adults"
2022,23.4,"Bank branches per 100,000 adults"
2015,58.8,"ATMs per 100,000 adults"
2016,58.6,"ATMs per 100,000 adults"
2017,61.1,"ATMs per 100,000 adults"
2018,64.9,"ATMs per 100,000 adults"
2019,67.9,"ATMs per 100,000 adults"
2020,67.8,"ATMs per 100,000 adults"
2021,70.5,"ATMs per 100,000 adults"
2022,69.6,"ATMs per 100,000 adults"
