Year,Value,Units,Series
2015,240.726,mill constant 2024 USD,"Total official flows (disbursement) for Aid for Trade, by recipient countries"
2016,198.952,mill constant 2024 USD,"Total official flows (disbursement) for Aid for Trade, by recipient countries"
2017,237.62,mill constant 2024 USD,"Total official flows (disbursement) for Aid for Trade, by recipient countries"
2018,115.731,mill constant 2024 USD,"Total official flows (disbursement) for Aid for Trade, by recipient countries"
2019,84.4021,mill constant 2024 USD,"Total official flows (disbursement) for Aid for Trade, by recipient countries"
2020,102.029,mill constant 2024 USD,"Total official flows (disbursement) for Aid for Trade, by recipient countries"
2021,194.551,mill constant 2024 USD,"Total official flows (disbursement) for Aid for Trade, by recipient countries"
2022,254.316,mill constant 2024 USD,"Total official flows (disbursement) for Aid for Trade, by recipient countries"
2023,97.0976,mill constant 2024 USD,"Total official flows (disbursement) for Aid for Trade, by recipient countries"
2024,61.1282,mill constant 2024 USD,"Total official flows (disbursement) for Aid for Trade, by recipient countries"
2015,300.996,mill constant 2024 USD,"Total official flows (commitments) for Aid for Trade, by recipient countries"
2016,265.243,mill constant 2024 USD,"Total official flows (commitments) for Aid for Trade, by recipient countries"
2017,157.939,mill constant 2024 USD,"Total official flows (commitments) for Aid for Trade, by recipient countries"
2018,53.7545,mill constant 2024 USD,"Total official flows (commitments) for Aid for Trade, by recipient countries"
2019,119.822,mill constant 2024 USD,"Total official flows (commitments) for Aid for Trade, by recipient countries"
2020,124.756,mill constant 2024 USD,"Total official flows (commitments) for Aid for Trade, by recipient countries"
2021,224.775,mill constant 2024 USD,"Total official flows (commitments) for Aid for Trade, by recipient countries"
2022,42.628,mill constant 2024 USD,"Total official flows (commitments) for Aid for Trade, by recipient countries"
2023,48.5641,mill constant 2024 USD,"Total official flows (commitments) for Aid for Trade, by recipient countries"
2024,78.9039,mill constant 2024 USD,"Total official flows (commitments) for Aid for Trade, by recipient countries"
