Value,Disaggregation combinations using this value,Number of indicators
"16.7.1b: Proportions of positions in the public service (national and local), by various characteristics, compared to national distributions.",26,1
"16.7.1c: Proportions of positions in the judiciary (national and local), by various characteristics, compared to national distributions.",12,1
Fungi,1,1
Higher plants,1,1
Invertebrates,1,1
Long Tearm Strategy,1,1
National Communication,1,1
National Greenhouse Gas Inventory Document of Armenia 1990-2022,1,1
National Greenhouse Gas Inventory Report,1,1
Nationally Adaptation Plan,1,1
Nationally Determined Contributions,1,1
Red List Index,1,1
Vertebrates,1,1
Փոքր արդյունաբերական ձեռնարկությունների համամասնությունն ամբողջ արդյունաբերության ավելացված արժեքում,1,1
