Value,Disaggregation combinations using this value,Number of indicators
10% of daily per capita total household consumption,3,1
25% of daily per capita total household consumption,3,1
All renewables,1,1
Bioenergy,1,1
Biomass,3,1
disabled,4,4
Fossil fuels,3,1
Geothermal energy,1,1
Hazardous waste generated,1,1
Hydropower,1,1
Metal ores,3,1
Mixed and complex products n.e.c.,3,1
Multiple renewables,1,1
Non-metallic minerals,3,1
Solar energy,1,1
Total or no breakdown,3,1
Transported to landfills by means of organizations,1,1
Treated and destructed by organizations,1,1
Waste for final treatment and disposal,3,1
Waste transmitted to other organizations,1,1
Waste used by organizations,1,1
With disability,1,1
